model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime
ideal,25,1,1,100,2000,10000,0,0,0.05551613718108222,0.026671134136704883,0.018968356815530392,0.009876646228846944
particle,25,1,1,100,2000,10000,0,0,0.0006384205808856119,0.0003469747076649543,0.00016733753851434159,0.0001241083347063162
franken,25,1,1,100,2000,10000,0,0,0.002979214295491722,-0.0009866140567154902,0.0009210958314470172,0.003044732520760196
ideal,25,1,2,100,2000,10000,0,0,0.06094275743511866,0.05579010919269475,0.03958738643525728,-0.03443473819283337,NA,NA,NA
particle,25,1,2,100,2000,10000,0,0,3.301336782139108,-0.7147836356979664,2.8099469239700947,1.2061734938669797,NA,NA,0.231250112
franken,25,1,2,100,2000,10000,0,0,3.250515037008393,-0.7148232076607142,2.758543486405178,1.2067947582639285,NA,NA,0.199536126
ideal,25,1,3,100,2000,10000,0,0,0.07224971567338719,0.052835003581109735,0.04168451056077662,-0.022269798468499157,NA,NA,NA
particle,25,1,3,100,2000,10000,0,0,4.757464124892882,-0.3038480184682169,4.291231395961173,0.770080747399927,NA,NA,0.141062327
franken,25,1,3,100,2000,10000,0,0,4.963098523928599,-0.3646497271114273,4.514262864394344,0.813485386645682,NA,NA,0.022754312
ideal,25,1,4,100,2000,10000,0,0,0.06427101635212976,-0.0010447029685275444,0.03307613366856488,0.03223958565209244,NA,NA,NA
particle,25,1,4,100,2000,10000,0,0,9.671510644866403,0.08301715894265857,9.101499745250312,0.48699374067343193,NA,NA,0.101781429
franken,25,1,4,100,2000,10000,0,0,8.98251072689256,-0.16543094538813827,8.48169944658169,0.6662422256990089,NA,NA,0.027952445
ideal,25,1,5,100,2000,10000,0,0,0.06928841368444327,0.07041970494168995,0.030711779058847102,-0.03184307031609377,NA,NA,NA
particle,25,1,5,100,2000,10000,0,0,7.177277993384116,0.7192989296887854,6.5434842179177615,-0.08550515422243064,NA,NA,0.135342049
franken,25,1,5,100,2000,10000,0,0,11.513291993630986,-0.08565883347026854,11.013796089628165,0.5851547374730889,NA,NA,0.024563677
ideal,25,1,6,100,2000,10000,0,0,0.09404485864263995,0.07512217775281887,0.07222850284506027,-0.05330582195523917,NA,NA,NA
particle,25,1,6,100,2000,10000,0,0,35.75568172722466,0.4464505293374322,35.10446459637379,0.20476660151343207,NA,NA,0.110074216
