model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType
ideal,25,1,1,100,2000,10000,0,0,0.05580381275650978,0.07393427788509477,0.010058972126935451,-0.02818943725552044,0,none,,,2.0870093136698786
particle,25,1,1,100,2000,10000,0,0,0.0005360658287016043,0.0018160409479977269,0.00022257391982553396,-0.0015025490391216564,0,none,,,2.057318812554999
franken,25,1,1,100,2000,10000,0,0,0.0034806088281681817,0.01044959838593526,0.0011717182372924207,-0.008140707795059498,0,none,,,2.0637571724405688
ideal,25,1,2,100,2000,10000,0,0,0.051427409460054044,0.07773136159151944,0.028267916953750617,-0.05457186908521602,0,none,,,1.6184781218288173
particle,25,1,2,100,2000,10000,0,0,6.5269375266481715,-0.7232805454408707,6.031477689890177,1.218740382198865,0,none,0.846701076,,4.927041911373949
franken,25,1,2,100,2000,10000,0,0,6.369920124395589,-0.7195558233155741,5.877359378178193,1.2121165695329708,0,none,0.244704986,,4.916085163041783
ideal,25,1,3,100,2000,10000,0,0,0.07590462055782767,0.09512416739474616,0.04269817547862319,-0.0619177223155417,0,none,,,2.338445871216283
particle,25,1,3,100,2000,10000,0,0,5.16391770977655,-0.3034327522460665,4.664943794654725,0.8024066673678913,0,none,0.194155396,,4.604272207836482
franken,25,1,3,100,2000,10000,0,0,4.1837150565142025,-0.38746181938576746,3.7392544047287206,0.83192247117125,0,none,0.035641157,,4.211394603706241
ideal,25,1,4,100,2000,10000,0,0,0.09149598874775125,0.06479000853576075,0.05351236369141179,-0.02680638347942129,0,none,,,3.7071313656761435
particle,25,1,4,100,2000,10000,0,0,10.305795483424342,0.4314199877855994,9.806910453420373,0.06746504221836871,0,none,0.1817203,,5.6313684070255245
franken,25,1,4,100,2000,10000,0,0,6.152585939163792,-0.25476016798647816,5.665230805321986,0.7421153018282833,0,none,0.023178826,,4.11226400074201
ideal,25,1,5,100,2000,10000,0,0,0.09863446357153667,0.05244270699601428,0.05727201740030806,-0.011080260824785682,0,none,,,5.882458512954369
particle,25,1,5,100,2000,10000,0,0,17.850013328420722,-0.16669864928799152,17.266665265365802,0.7500467123429113,0,none,0.327064134,,6.633466077773113
franken,25,1,5,100,2000,10000,0,0,7.1605730116955835,-0.12678089218134803,6.630022814474302,0.6573310894026303,0,none,0.032388424,,5.369163247677847
ideal,25,1,6,100,2000,10000,0,0,0.17864395541925449,0.14813768194623114,0.13459069983938463,-0.10408442636636127,0,none,,,12.066086473848333
particle,25,1,6,100,2000,10000,0,0,17.262417954395747,0.19591445274611913,16.74175815401787,0.3247453476317592,0,none,0.120489687,,8.870679322848506
franken,25,1,6,100,2000,10000,0,0,15.98627758135422,-0.08355987995568412,15.45570790752485,0.614129553785054,0,none,0.024092129,,6.564038120172737
ideal,25,1,7,100,2000,10000,0,0,0.1147152747204339,0.1457958667003631,0.06457822212243518,-0.09565881410236438,0,none,,,27.117437097477126
particle,25,1,7,100,2000,10000,0,0,44.08901255912602,0.07159195363978527,43.32305495425431,0.6943656512319173,0,none,0.146243578,,14.345041063724798
franken,25,1,7,100,2000,10000,0,0,35.155510782344905,-0.03481697975574108,34.59898075755475,0.5913470045459015,0,none,0.026215481,,10.007422466885936
ideal,25,1,8,100,2000,10000,0,0,0.09155796131581047,0.00801670730286369,0.06378884018611355,0.019752413826833216,0,none,,,64.75313879140265
particle,25,1,8,100,2000,10000,0,0,51.66934567390368,0.6210632648471859,51.018774819307794,0.029507589748703718,0,none,0.115713129,,29.745664137441064
franken,25,1,8,100,2000,10000,0,0,48.5965189838727,0.26624943465662076,47.92931832770956,0.40095122150651635,0,none,0.021228659,,20.379808354044297
