model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType
ideal,50,1,1,400,32000,160000,0,0,0.003926385322473384,-0.009338649210770614,0.0016249660393458814,0.011640068493898115,0,none,,,2.134405952307616,none
particle,50,1,1,400,32000,160000,0,0,3063915248384916e-20,-0.00021282329158615887,11072040310242555e-21,0.0002323904037597655,0,none,,,2.1142148482079413,none
franken,50,1,1,400,32000,160000,0,0,0.00017664233084675268,-0.0013177968855501987,654525466454387e-19,0.0014289866697515126,0,none,,,2.1138427655625533,none
ideal,50,1,2,400,32000,160000,0,0,0.005381355662943457,0.005828445073462585,0.002012057825157459,-0.002459147235676586,0,none,,,2.2720856378436607,none
particle,50,1,2,400,32000,160000,0,0,4.950946817063754,-0.6802860162944967,4.5308990014297645,1.1003338319284859,0,none,32.367111702,,4.934583395282498,none
franken,50,1,2,400,32000,160000,0,0,4.980056843589477,-0.6831530118036928,4.557988289922377,1.1052215654707933,0,none,12.45656589,,4.936841594869751,none
ideal,50,1,3,400,32000,160000,1,0,0.005346705957699576,-8535766027915892e-20,0.003115269980654402,0.002316793637324335,0,none,,,2.5039911931501986,none
particle,50,1,3,400,32000,160000,1,0,4.851018478661865,-0.005934101701413105,4.548762114618423,0.3081904657448543,0,none,5.619996625,,4.13721351334904,none
franken,50,1,3,400,32000,160000,1,0,3.59805678691637,-0.42579116638271663,3.2266605193761424,0.7971874339229446,0,none,8.408908354,,3.9247885010161916,none
ideal,50,1,4,400,32000,160000,1,0,0.007347927802666882,0.001933669770837712,0.004501531304592494,0.0009127267272366776,0,none,,,2.78446566840442,none
particle,50,1,4,400,32000,160000,1,0,7.665728054542545,-0.03707262222574263,7.2954326292731,0.40736804749518535,0,none,25.422913068,,6.628042524513005,none
franken,50,1,4,400,32000,160000,1,0,3.893832910819528,-0.3283406364531524,3.505148540409344,0.7170250068633361,0,none,8.183635722,,5.112097860355293,none
ideal,50,1,5,400,32000,160000,1,0,0.00836774409962816,-0.014650924017359582,0.005205733846807507,0.01781293427018023,0,none,,,2.616002466153386,none
particle,50,1,5,400,32000,160000,1,0,5.631363457669942,0.33709834723756393,5.238003645343749,0.056261465088629045,0,none,30.205132857,,5.5846950939493585,none
franken,50,1,5,400,32000,160000,1,0,5.39019841181957,-0.2787471167088338,4.990620876519213,0.6783246520091901,0,none,8.070376442,,5.271949084628892,none
ideal,50,1,6,400,32000,160000,1,0,0.009824704709581526,0.00806402427407231,0.0069307766752859275,-0.005170096239776711,0,none,,,2.7661646535323117,none
particle,50,1,6,400,32000,160000,1,0,10.924367693766467,-0.1506344840186581,10.533205648318203,0.5417965294669206,0,none,30.578298108,,8.458271359816289,none
franken,50,1,6,400,32000,160000,1,0,7.598670173633668,-0.26141919136364566,7.194295036818055,0.6657943281792588,0,none,7.968295801,,7.477984078639955,none
ideal,50,1,7,400,32000,160000,1,0,0.0063744361151319645,0.005720604955580494,0.0033536180167175462,-0.0026997868571660743,0,none,,,2.756027202923221,none
particle,50,1,7,400,32000,160000,1,0,16.893521629809438,0.2678512566268698,16.45333614626913,0.172334226913435,0,none,24.300552317,,11.924926798466359,none
franken,50,1,7,400,32000,160000,1,0,19.903602395711196,-0.24580123915913943,19.496552416721162,0.6528512181491749,0,none,8.012585412,,10.584969729375034,none
ideal,50,1,8,400,32000,160000,1,0,0.009327698479101837,0.004191847796638726,0.006466991861100262,-0.001331141178637151,0,none,,,2.9881436588263846,none
particle,50,1,8,400,32000,160000,1,0,48.264254203935586,0.10367463029277386,47.777396191593404,0.38318338204941377,0,none,38.893652725,,20.58385645603825,none
franken,50,1,8,400,32000,160000,1,0,37.559966759894586,-0.19275459460271732,37.154399668993456,0.5983216855038542,0,none,8.245914215,,16.52914734317213,none
ideal,50,1,9,400,32000,160000,1,0,0.007686411343678986,0.012806378319315956,0.004827217537278097,-0.009947184512915066,0,none,,,2.861657176984829,none
particle,50,1,9,400,32000,160000,1,0,53.49804767833391,0.30644065229683404,53.073038023644045,0.11856900239303875,0,none,33.854600422,,28.80219085299973,none
franken,50,1,9,400,32000,160000,1,0,49.36050446795355,-0.1739737563869435,48.96143208020848,0.5730461441320012,0,none,8.184472666,,21.117626634966552,none
ideal,50,1,10,400,32000,160000,1,0,0.00827219059990775,0.010771973464493212,0.005260147123018957,-0.007759929987604419,0,none,,,2.9735438732072996,none
particle,50,1,10,400,32000,160000,1,0,117.16276452771793,-0.033871313266836206,116.69402037789926,0.5026154630855211,0,none,20.381958679,,41.24529085748576,none
