model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,60,1,1,,,,,0,,,,,0,none,,,,none,,,0.8464989783736077,0
observed,60,1,1,,,,,0,,,,,0,none,,,,none,,,-1.0150552652512457,0
ideal,60,1,1,80,6400,32000,0,0,,,,,0,none,,,2.1773846759176116,none,,,0,3
particle,60,1,1,80,6400,32000,0,0,0.0001771221204564904,-0.00024188583687756449,7926493534049235e-20,0.00033974302199356245,0,none,,,2.1962986705508865,none,,,-0.01999504804147431,2.972410256706377
franken,60,1,1,80,6400,32000,0,0,0.0008004884618911113,0.0018688064814704891,0.00029191662963639345,-0.0013602346492157717,0,none,,,2.1955588852761236,none,,4,-0.03381769194522591,2.9940582390234165
truth,60,1,2,,,,,0,,,,,0,none,,,,none,,,-0.07903964984788292,0
observed,60,1,2,,,,,0,1.060116431179483,0,1.060116431179483,0,0,none,,,,none,,,-3.396660628679858,27
ideal,60,1,2,80,6400,32000,0,0,0.0045309380184456426,0.004564680007576122,0.0012409091859804408,-0.0012746511751109194,0,none,,,2.041640579306172,none,,,-1.8062917394552591,2.989318466860442
particle,60,1,2,80,6400,32000,0,0,1.507425676147692,-0.5842033230431833,1.2265274376230841,0.8651015615677915,0,none,1.201743756,,3.3326915165155473,none,,,-0.29329058673514513,2.8112855581046903
franken,60,1,2,80,6400,32000,0,0,1.5040678782561652,-0.5854361427953718,1.2218093710286753,0.8676946500228615,0,none,0.662156152,,3.3373231015074225,none,,4,-1.4637800062149677,1.8043547740992576
truth,60,1,3,,,,,0,,,,,0,none,,,,none,,,-0.03402291247682743,0
observed,60,1,3,,,,,0,0.7394116213713772,0,0.7394116213713772,0,0,none,,,,none,,,0.6254943002033613,27
ideal,60,1,3,80,6400,32000,1,0,0.003425278678517228,-0.0019593829319718703,0.0007754054880477596,0.004609256122441339,0,none,,,1.3701393801543942,none,,,-0.31551780803894547,3.1166868507782306
particle,60,1,3,80,6400,32000,1,0,1.7927147259361553,-0.4669069198359299,1.537116575873163,0.7225050698989222,0,none,0.691083192,,2.6323896761723122,none,,,0.5931456901394709,0.9263642990543253
franken,60,1,3,80,6400,32000,1,0,1.2317574443176744,-0.48705385792274,0.9809997030574524,0.737811599182962,0,none,0.473156328,,2.50380031221476,none,,4,-0.09912309832638824,1.7746215271222627
truth,60,1,4,,,,,0,,,,,0,none,,,,none,,,-0.30102248693349365,0
observed,60,1,4,,,,,0,0.8040223922814802,0,0.8040223922814802,0,0,none,,,,none,,,-2.477782514541401,27
