model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,60,1,1,,,,,0,,,,,0,none,,,,none,,,2.3098461124271177,0
observed,60,1,1,,,,,0,,,,,0,none,,,,none,,,0.5560851348564892,0
ideal,60,1,1,80,12800,64000,0,0,,,,,0,none,,,2.594297554889445,none,,,0,3
particle,60,1,1,80,12800,64000,0,0,7627174734259028e-20,-0.0008854051053016343,18965816808918227e-21,0.0009427110358353063,0,none,,,2.5978087864871156,none,,,0.010478909748648419,3.0230161110602465
franken,60,1,1,80,12800,64000,0,0,0.0003456276963765112,-0.0008926695505410559,0.00013754293805802762,0.0011007543088595397,0,none,,,2.597411319498575,none,,4,0.02242497151791592,3.0267859577696816
truth,60,1,2,,,,,0,,,,,0,none,,,,none,,,5.181442227623695,0
observed,60,1,2,,,,,0,0.61681463448646,0,0.61681463448646,0,0,none,,,,none,,,-1.2119861689639781,27
ideal,60,1,2,80,12800,64000,0,0,0.0047868372617685465,0.012971700942180336,0.0012661444474706034,-0.009451008127882393,0,none,,,1.9078297718274941,none,,,-0.18500509431856418,2.989318466860442
particle,60,1,2,80,12800,64000,0,0,1.0222037959964907,-0.5862592862201149,0.7399299301047625,0.8685331521118431,0,none,3.948809701,,3.032069770614532,none,,,1.641896135414165,0.10204509827946469
franken,60,1,2,80,12800,64000,0,0,1.0290515678280163,-0.5867496919468482,0.7461043513215669,0.8696969084532977,0,none,1.968187823,,3.0281326474049535,none,,4,-0.11990822053491877,1.8199370823309633
truth,60,1,3,,,,,0,,,,,0,none,,,,none,,,4.4423848018876235,0
observed,60,1,3,,,,,0,1.0474791180339336,0,1.0474791180339336,0,0,none,,,,none,,,2.614500716490898,27
ideal,60,1,3,80,12800,64000,1,0,0.004052736732428735,-0.004319401819421295,0.0013822851113055163,0.006989853440544513,0,none,,,1.846108826793833,none,,,0.5360711113099074,3.1166868507782306
particle,60,1,3,80,12800,64000,1,0,1.5456379803812244,-0.3313011706267615,1.3603757165574264,0.5165634344505597,0,none,3.126983542,,2.7936688505428586,none,,,0.7057669265502056,0.17177948645304572
franken,60,1,3,80,12800,64000,1,0,1.6987378168720337,-0.48743909306811445,1.4478325795918945,0.7383443303482532,0,none,1.768907491,,2.710232352149906,none,,4,0.22322291147274056,1.7790179051393795
truth,60,1,4,,,,,0,,,,,0,none,,,,none,,,2.1746819157674517,0
observed,60,1,4,,,,,0,0.62357964159968,0,0.62357964159968,0,0,none,,,,none,,,0.4647314079203142,27
ideal,60,1,4,80,12800,64000,1,0,0.003480836821064834,0.014223155611599717,0.001246373903072798,-0.01198869269360768,0,none,,,1.9077841574924554,none,,,0.5219053933094351,3.154264455727636
particle,60,1,4,80,12800,64000,1,0,1.9535678871213107,-0.34437415696074875,1.7620429124626609,0.5358991316193985,0,none,1.981616804,,2.832126549828498,none,,,1.1614310717786045,1.3671380236175448
franken,60,1,4,80,12800,64000,1,0,1.4840861628987543,-0.47673297404654436,1.237817096223289,0.7230020407220095,0,none,1.761640164,,2.734215306004801,none,,4,0.21159538213168655,1.7689300589965646
truth,60,1,5,,,,,0,,,,,0,none,,,,none,,,2.3081803887805687,0
observed,60,1,5,,,,,0,0.7246100891690176,-4163336342344337e-32,0.7246100891690178,0,0,none,,,,none,,,0.6280434415209184,27
ideal,60,1,5,80,12800,64000,1,0,0.003980695216344156,-7155087845735209e-20,0.0014301053704469167,0.0026221407243545935,0,none,,,1.584129211295323,none,,,1.4829956772866804,3.164004606363714
particle,60,1,5,80,12800,64000,1,0,2.1739928142130567,-0.42469078822266976,1.9383107986807275,0.6603728037549985,0,none,5.085983333,,2.8409106467955483,none,,,1.9102290752671491,1.112738187233954
franken,60,1,5,80,12800,64000,1,0,1.6657625861255125,-0.46949548236499006,1.417079628809461,0.718178439681042,0,none,2.052307858,,3.0325335556247732,none,,4,1.1676065185006403,1.7435260696944095
truth,60,1,6,,,,,0,,,,,0,none,,,,none,,,3.073237058701486,0
observed,60,1,6,,,,,0,1.1787402654676453,-13877787807814457e-33,1.1787402654676453,0,0,none,,,,none,,,3.5372711039549554,27
ideal,60,1,6,80,12800,64000,1,0,0.0047830303115118464,0.003127083311606771,0.0016810424208931393,-25095420988065307e-21,0,none,,,1.6207087132875078,none,,,3.1205573262667183,3.1664862025845855
particle,60,1,6,80,12800,64000,1,0,1.2343553139280088,-0.4533013751903245,0.9895830367695284,0.6980736523488049,0,none,3.383943887,,2.2418757051662754,none,,,0.6346576738497055,0.9881366448661052
franken,60,1,6,80,12800,64000,1,0,1.3724774344535637,-0.4660125174766663,1.1246709303447262,0.7138190215855041,0,none,2.050123919,,2.3828648432056063,none,,4,2.3670075469007026,1.7516095382194266
truth,60,1,7,,,,,0,,,,,0,none,,,,none,,,1.9084007197600206,0
