model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,36,1,1,,,,,0,,,,,0,none,,,,none,,,0.914625381775434,0
observed,36,1,1,,,,,0,,,,,0,none,,,,none,,,-0.6446719188697037,0
ideal,36,1,1,40,320,1600,0,0,,,,,0,none,,,10.289537692481879,none,,,0,15.000000000000004
particle,36,1,1,40,320,1600,0,0,0.027857565499375497,-0.0005864304518738798,0.02611261087622382,0.0023313850750255505,0,none,,,10.333701765246609,none,,,-0.12350398328084783,14.515393552865248
franken,36,1,1,40,320,1600,0,0,0.14174687742902123,0.036878589792449235,0.12997090409419781,-0.025102616457625834,0,none,,,10.461729912981346,none,,4,0.37286729990987,16.025863076171504
truth,36,1,2,,,,,0,,,,,0,none,,,,none,,,1.3564424554593915,0
observed,36,1,2,,,,,0,1.1304608247958494,0,1.1304608247958494,0,0,none,,,,none,,,2.8267775804137436,8.25
ideal,36,1,2,40,320,1600,0,0,0.002855213794507245,0.023445718898194745,0.00037898688635077966,-0.02096949199003828,0,none,,,0.7632622824612748,none,,,1.8550968608163323,1.1664135977901895
particle,36,1,2,40,320,1600,0,0,7.20443427005308,-1.0223673801073774,5.9825052901619395,2.2442963599985166,0,none,0.134829044,,2.301601452447474,none,,,0.5871301563243819,0.00834954966672946
franken,36,1,2,40,320,1600,0,0,7.653593412771348,-1.015028397310044,6.439827460902985,2.2287943491784072,0,none,0.234861677,,0.8843337265665132,none,,4,2.075677739724712,1.3077503773398087
truth,36,1,3,,,,,0,,,,,0,none,,,,none,,,1.1934891808480155,0
observed,36,1,3,,,,,0,0.4791165862115682,29605947323337506e-32,0.4791165862115679,0,0,none,,,,none,,,1.9669207972633895,8.25
ideal,36,1,3,40,320,1600,1,0,0.004262913918918508,0.03233929942575018,3926448117931815e-20,-0.02811564998801099,0,none,,,0.31211873023757825,none,,,1.4688065187958794,0.49348726689187705
particle,36,1,3,40,320,1600,1,0,1.7032248198594335,1.1484316525350644,0.38681203920843954,0.16798112811592955,0,none,0.040026476,,0.787666428826083,none,,,0.8037444903235473,0.16912740458567466
franken,36,1,3,40,320,1600,1,0,0.7893694651246768,-0.39451094234930606,0.11155477046661827,1.0723256370073646,0,none,0.00946873,,0.34271919024432573,none,,4,1.6018188179475796,0.43185461224463384
truth,36,1,4,,,,,0,,,,,0,none,,,,none,,,0.883002830193952,0
observed,36,1,4,,,,,0,0.47675984374290775,0,0.47675984374290775,0,0,none,,,,none,,,3.5960864576662166,8.25
ideal,36,1,4,40,320,1600,1,0,0.002610112048004987,0.010499542900610078,15546807065595493e-21,-0.007904977659670685,0,none,,,0.2675868404168815,none,,,1.7847438026632578,0.36781695838403106
particle,36,1,4,40,320,1600,1,0,1.1408284500526154,-0.07758073251655943,0.47105245271002977,0.7473567298591447,0,none,0.015303027,,0.5127147660339956,none,,,0.609645974836681,0.10511318567947206
franken,36,1,4,40,320,1600,1,0,1.1669185994797908,-0.44769333874911976,0.5810628369723524,1.033549101256558,0,none,0.003211342,,0.2761448376065074,none,,4,1.8489447641464887,0.3879430718730309
truth,36,1,5,,,,,0,,,,,0,none,,,,none,,,1.646169487759647,0
observed,36,1,5,,,,,0,0.32328261160242194,-29605947323337506e-32,0.3232826116024223,0,0,none,,,,none,,,4.889028742230554,8.25
ideal,36,1,5,40,320,1600,1,0,0.0026243019478213348,-0.0013980103590498876,17715800154112143e-21,0.00400459650671711,0,none,,,0.19320356666932553,none,,,2.7894305353616766,0.33403099370795164
particle,36,1,5,40,320,1600,1,0,1.415755728717657,-0.2782986816080417,0.8078621860121872,0.8861922243135116,0,none,0.017538915,,0.2952990754080964,none,,,0.8403709352680022,7904999639977718e-20
franken,36,1,5,40,320,1600,1,0,1.2979101673797577,-0.45922254742924534,0.7254197492754008,1.0317129655336024,0,none,0.003990713,,0.17142088564964175,none,,4,2.70922148995253,0.25446419577317403
truth,36,1,6,,,,,0,,,,,0,none,,,,none,,,1.2219644379595733,0
observed,36,1,6,,,,,0,0.4054321240267115,0,0.4054321240267115,0,0,none,,,,none,,,-1.7871055087995542,8.25
ideal,36,1,6,40,320,1600,1,0,0.0030576537550295805,0.004395856680562619,14870502567648443e-21,-0.0013530734281006873,0,none,,,0.18831947355379727,none,,,1.4569132164688583,0.3247172432859839
particle,36,1,6,40,320,1600,1,0,1.0291951355050326,-0.047933778460390965,0.3954628307679727,0.6816660831974509,0,none,0.050083121,,0.2774353208521812,none,,,0.084960353154298,0.005847358201407729
franken,36,1,6,40,320,1600,1,0,0.8864765452937919,-0.4645161235279662,0.3154164225406843,1.0355762462810736,0,none,0.005610289,,0.17772079976593025,none,,4,1.5185502019096186,0.31978068876071386
truth,36,1,7,,,,,0,,,,,0,none,,,,none,,,1.1780897589984969,0
observed,36,1,7,,,,,0,0.26117385880548427,-29605947323337506e-32,0.26117385880548455,0,0,none,,,,none,,,0.23736427515933067,8.25
ideal,36,1,7,40,320,1600,1,0,0.003123572157934644,-0.007054087166429394,211927199785728e-19,0.010156466604385465,0,none,,,0.18029461884390904,none,,,1.3643367088062852,0.3222678528634971
particle,36,1,7,40,320,1600,1,0,1.372372062692647,-0.08240966184977526,0.7600089717822504,0.6947727527601718,0,none,0.017756256,,0.39566413086512703,none,,,-0.013403207489584002,0.0904837342243703
franken,36,1,7,40,320,1600,1,0,1.237092664996264,-0.4948350445480378,0.6705220882797556,1.0614056212645457,0,none,0.006489347,,0.17729033079661202,none,,4,1.328550302818708,0.2670999646596466
truth,36,1,8,,,,,0,,,,,0,none,,,,none,,,-0.7177110436126899,0
observed,36,1,8,,,,,0,0.23971052039288268,0,0.23971052039288268,0,0,none,,,,none,,,-0.9703841713206582,8.25
