model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,30,1,1,,,,,0,,,,,0,none,,,,none,,,1.5491438122916479,0
observed,30,1,1,,,,,0,,,,,0,none,,,,none,,,1.016459911004826,0
ideal,30,1,1,40,320,1600,0,0,,,,,0,none,,,10.01223833677749,none,,,0,15.000000000000004
particle,30,1,1,40,320,1600,0,0,0.023534267661989926,-0.000610806809437725,0.021825039452232874,0.002320035019194779,0,none,,,10.048575400267259,none,,,0.08305774976799012,15.311706574243232
franken,30,1,1,40,320,1600,0,0,0.16777107496298826,-0.014718057103027204,0.15644014490653352,0.026048987159481944,0,none,,,9.877514518693289,none,,3,0.35504629631676904,15.422858083618499
truth,30,1,2,,,,,0,,,,,0,none,,,,none,,,1.62408802995564,0
observed,30,1,2,,,,,0,1.5758773701089641,0,1.5758773701089641,0,0,none,,,,none,,,5.949745539370496,3
ideal,30,1,2,40,320,1600,0,0,0.003443541064749692,0.012569545559346662,0.0005019119593747286,-0.009627916453971699,0,none,,,1.3768055738760758,none,,,4.238052759222302,2.2404347605316914
particle,30,1,2,40,320,1600,0,0,5.098259858039794,-1.023207913905352,4.115472398805083,2.005995373140064,0,none,0.113251243,,1.5873454244383247,none,,,4.978764532207903,9693763150586938e-21
franken,30,1,2,40,320,1600,0,0,4.871190583542546,-1.022643540708096,3.883949967076633,2.0098841571740094,0,none,0.199081288,,1.3759290756923004,none,,3,3.2531099139215067,1.577621584216593
truth,30,1,3,,,,,0,,,,,0,none,,,,none,,,1.9509356840930958,0
observed,30,1,3,,,,,0,1.2350887545544085,4440892098500626e-31,1.235088754554408,0,0,none,,,,none,,,0.7799903885722543,3
ideal,30,1,3,40,320,1600,1,0,0.00312192475303593,0.007389139786018517,0.0002362166751842223,-0.004503431708166808,0,none,,,0.5945240903639227,none,,,1.9802360651339694,1.4561552805714753
particle,30,1,3,40,320,1600,1,0,1.2380859184339899,0.8022441495841288,0.4145990112881731,0.02124275756168781,0,none,0.054550527,,0.8628222765601034,none,,,2.7931716490605796,1.7062698628887407
franken,30,1,3,40,320,1600,1,0,0.8767085035848577,-0.5597299821283608,0.5301657215237828,0.9062727641894357,0,none,0.011439034,,0.6013593083810718,none,,3,2.083393198947989,1.624155132224246
truth,30,1,4,,,,,0,,,,,0,none,,,,none,,,2.098479091438752,0
observed,30,1,4,,,,,0,0.5747737355329459,0,0.5747737355329459,0,0,none,,,,none,,,1.5755650053668318,3
ideal,30,1,4,40,320,1600,1,0,0.003338593999413382,-0.010003364863238917,0.0001518840488860441,0.013190074813766255,0,none,,,0.5854780018647181,none,,,1.6513119569719574,1.3126002234401124
