model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,30,1,1,,,,,0,,,,,0,none,,,,none,,,-2.7435843037540133,0,,,,
observed,30,1,1,,,,,0,,,,,0,none,,,,none,,,-2.217514841653634,0,,,,
ideal,30,1,1,400,32000,160000,0,0,,,,,0,none,,,9.469424265140537,none,,,0,15.000000000000004,,,,
particle,30,1,1,400,32000,160000,0,0,0.0003423361820348822,0.002512717497060565,0.00031392024844675994,-0.0024843015634724427,0,none,,,9.576419401047604,none,,,-0.001596826922907428,15.099926551952136,,,,
franken,30,1,1,400,32000,160000,0,0,0.0022654521803422392,0.000501531691390511,0.002098106895970423,-0.00033418640701869527,0,none,,,9.573176776374336,none,,3,0.0017250938675428392,14.979942792914459,0.0015315095917067876,-0.0036119832981109656,0.001453797796538709,0.003689695093279044
truth,30,1,2,,,,,0,,,,,0,none,,,,none,,,-0.5265333541377155,0,,,,
observed,30,1,2,,,,,0,0.46481515749817465,0,0.46481515749817465,0,0,none,,,,none,,,-2.1516106705793034,3,,,,
ideal,30,1,2,400,32000,160000,0,0,0.0029424082870125024,0.007233166342152253,0.00021316404248017954,-0.004503922097619929,0,none,,,0.9020011866731749,none,,,-1.504677176490398,2.2404347605316914,,,,
particle,30,1,2,400,32000,160000,0,0,79.86091374530038,84.24847248225761,1.0693208322259182,-5.456879569183145,0,none,21.024896593,,1.5092766662769304,none,,,-4.744593993196439,1.0468823713477038,,,,
franken,30,1,2,400,32000,160000,0,0,0.05041763957768488,-0.07490785439638985,0.030356722570974302,0.09496877140310044,0,none,8.076031522,,0.9418725954934247,none,,3,-1.3969883850915452,2.1111148430748297,,,,
truth,30,1,3,,,,,0,,,,,0,none,,,,none,,,-2.217784014511544,0,,,,
observed,30,1,3,,,,,0,0.2254447231483578,3172065784643304e-32,0.22544472314835776,0,0,none,,,,none,,,-2.598338230656398,3,,,,
ideal,30,1,3,400,32000,160000,1,0,0.0041560270064743,0.02650267687644727,0.00010589004818572466,-0.022452539918158702,0,none,,,0.622567323435735,none,,,-1.617207127984946,1.4561552805714753,,,,
particle,30,1,3,400,32000,160000,1,0,0.666345499101458,0.690932324976071,0.18833380817889872,-0.2129206340535117,0,none,27.7399105,,0.7979836944953203,none,,,-2.459494643334106,1.4230312531224496,,,,
franken,30,1,3,400,32000,160000,1,0,0.010138582217903728,-0.003855074346431873,0.0016853704415473003,0.0123082861227883,0,none,8.400453235,,0.647191540170485,none,,3,-1.5311882292375958,1.3265243241381337,,,,
truth,30,1,4,,,,,0,,,,,0,none,,,,none,,,-1.6372650895864425,0,,,,
observed,30,1,4,,,,,0,0.30847109285726343,-3172065784643304e-32,0.3084710928572635,0,0,none,,,,none,,,-1.8651246596650428,3,,,,
ideal,30,1,4,400,32000,160000,1,0,0.0033092638482409044,0.024297544580047424,0.0002793858844546676,-0.021267666616261192,0,none,,,0.702549029509031,none,,,-1.251219057486574,1.3126002234401124,,,,
particle,30,1,4,400,32000,160000,1,0,1.6757171222720653,2.675010843223268,0.0587907418541672,-1.0580844628053698,0,none,20.332420963,,0.7105224043235128,none,,,-0.8903203904986347,1.4654137419325508,,,,
franken,30,1,4,400,32000,160000,1,0,0.008907549449853133,0.011444532302729142,0.0006319406706239849,-0.0031689235234999913,0,none,7.983595727,,0.7082043907552441,none,,3,-1.1526787289937808,1.2152247621212848,,,,
truth,30,1,5,,,,,0,,,,,0,none,,,,none,,,0.524066588895725,0,,,,
observed,30,1,5,,,,,0,0.207181641734925,-6344131569286608e-32,0.20718164173492506,0,0,none,,,,none,,,-1.7952179012016813,3,,,,
