model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,30,1,1,,,,,0,,,,,0,none,,,,none,,,7.2892135846395085,0
observed,30,1,1,,,,,0,,,,,0,none,,,,none,,,5.825855784464286,0
ideal,30,1,1,40,320,1600,0,0,,,,,0,none,,,9.461428525896935,none,,,0,15.000000000000004
particle,30,1,1,40,320,1600,0,0,0.1368426150926609,0.06992972869421665,0.09735877949462829,-0.03044589309618403,0,none,,,9.339685048380824,none,,,-0.09052265873973471,15.272268004350636
franken,30,1,1,40,320,1600,0,0,0.49036720274283063,-0.06680913824560619,0.4437429667832997,0.11343337420513708,0,none,,,9.440523085562546,none,,3,0.2541026785345226,15.341667068276877
truth,30,1,2,,,,,0,,,,,0,none,,,,none,,,6.392607983392535,0
observed,30,1,2,,,,,0,0.8927431847908082,0,0.8927431847908082,0,0,none,,,,none,,,7.332289526858804,3
ideal,30,1,2,40,320,1600,0,0,0.005025290178406212,0.030626562450349604,0.0006104510976441295,-0.02621172336958752,0,none,,,0.7304487503709347,none,,,6.038295367859828,2.2404347605316914
particle,30,1,2,40,320,1600,0,0,7192490.2544736685,7192542.4391972255,10.313364999224591,-62.49808855659229,0,none,0.116000907,,1.8929562208164972,none,,,1.854710497827152,0.43756187046413786
franken,30,1,2,40,320,1600,0,0,0.7353318703282087,0.5999265501882096,0.19263343071566752,-0.05722811057566843,0,none,0.218180983,,0.7517490197715443,none,,3,5.479133193164392,2.285997786642751
truth,30,1,3,,,,,0,,,,,0,none,,,,none,,,3.7693029099453073,0
observed,30,1,3,,,,,0,1.3317164840725932,4440892098500626e-31,1.3317164840725928,0,0,none,,,,none,,,2.3974208519358067,3
ideal,30,1,3,40,320,1600,1,0,0.0029734749945774493,0.0022292611655105434,0.0001297718815805819,0.000614441947486322,0,none,,,0.5683622097764819,none,,,3.4729636394548113,1.4561552805714753
particle,30,1,3,40,320,1600,1,0,463.6411606765287,481.4800566822963,0.16517420837151156,-18.004070214139077,0,none,0.022057012,,0.9068569587612837,none,,,2.9210559570978716,0.7491439408126697
franken,30,1,3,40,320,1600,1,0,0.30462675923119836,0.4789091360065183,0.020126899312098486,-0.1944092760874184,0,none,0.005430822,,0.5661400380405607,none,,3,3.4332171011376085,1.1627657187064013
truth,30,1,4,,,,,0,,,,,0,none,,,,none,,,3.292563846985291,0
observed,30,1,4,,,,,0,0.8127642122877599,0,0.8127642122877599,0,0,none,,,,none,,,1.0998195134483173,3
ideal,30,1,4,40,320,1600,1,0,0.0038049211884572777,0.010437947275821657,0.00021640107947566885,-0.006849427166840049,0,none,,,0.5283765375889902,none,,,1.5555122602513283,1.3126002234401124
particle,30,1,4,40,320,1600,1,0,119.30618002428014,131.91240233375711,1.9100924727403756,-14.516314782217338,0,none,0.017660318,,0.5273120160057406,none,,,2.943841923493133,1.094699252816988
franken,30,1,4,40,320,1600,1,0,0.20916317691030606,0.552723601007183,0.0032198262093931164,-0.3467802503062701,0,none,0.004995282,,0.5122367010283885,none,,3,1.5470720033684064,1.2475308048921947
truth,30,1,5,,,,,0,,,,,0,none,,,,none,,,4.051359791092006,0
observed,30,1,5,,,,,0,0.7546203426845368,0,0.7546203426845368,0,0,none,,,,none,,,-0.25575148923712865,3
ideal,30,1,5,40,320,1600,1,0,0.0028695637031627952,0.013278104323672957,0.0001609765139659604,-0.010569517134476122,0,none,,,0.6894384381918114,none,,,0.3305525961448678,1.2833839659166648
particle,30,1,5,40,320,1600,1,0,133.29679939291913,147.51400936438853,0.10318901777977812,-14.320398989249156,0,none,0.0557911,,0.7027024755339394,none,,,0.9457189777323194,0.49863295678495245
franken,30,1,5,40,320,1600,1,0,0.2230960165577352,0.6531365696335669,0.010190082137550871,-0.44023063521338257,0,none,0.005202263,,0.6947650416613097,none,,3,0.42964799055480357,1.098140696936385
truth,30,1,6,,,,,0,,,,,0,none,,,,none,,,2.9994339159335697,0
observed,30,1,6,,,,,0,1.1207408359737387,0,1.1207408359737387,0,0,none,,,,none,,,3.6122957798223894,3
ideal,30,1,6,40,320,1600,1,0,0.003742796111266826,0.008602946591012817,0.00025630590729693443,-0.005116456387042926,0,none,,,0.569217904071935,none,,,2.2323851728935966,1.2772059305087158
particle,30,1,6,40,320,1600,1,0,321.42815248744813,338.8333712902324,0.08606346053089758,-17.49128226331515,0,none,0.013830762,,0.672649292854976,none,,,2.0934346186408774,1.7908456318980734
franken,30,1,6,40,320,1600,1,0,0.13616097998252769,0.10038473822511396,0.01118673746582935,0.02458950429158436,0,none,0.004658465,,0.6059488793016164,none,,3,2.3710381382674157,1.4636887429788143
truth,30,1,7,,,,,0,,,,,0,none,,,,none,,,2.523894353351213,0
observed,30,1,7,,,,,0,1.5870264398494602,4440892098500626e-31,1.5870264398494598,0,0,none,,,,none,,,-1.9273082045786136,3
ideal,30,1,7,40,320,1600,1,0,0.0026619378419264167,0.019003352330848065,0.00010985003326784687,-0.016451264522189497,0,none,,,0.4628851731845498,none,,,0.9211761473307118,1.2758741605832842
particle,30,1,7,40,320,1600,1,0,2266.6218530407723,2291.0936273426623,0.4479995528769003,-24.919773854766568,0,none,0.018797896,,0.8943287200025295,none,,,0.8391757243301309,1.0366526122462274
franken,30,1,7,40,320,1600,1,0,0.5618879982011667,1.0397994977546454,0.017442419836364135,-0.4953539193898428,0,none,0.006306545,,0.4865546588884131,none,,3,0.842052267705982,1.1483035539812747
