model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvl
particle,28,1,1,800,128000,640000,0,0,6848823564435411e-21,-0.00011132984106448301,35362920753970273e-22,0.00011464237255352139,0,none,,,2.0515882108404555,none,,,(0.003270139268095113, 2.9977613273101187)
franken,28,1,1,800,128000,640000,0,0,333402381604482e-19,0.0011356226934152109,8395578439608041e-21,-0.0011106780336943706,0,none,,,2.0529627643077015,none,,4,(-0.008240071996419145, 2.998534616410101)
ideal,28,1,2,800,128000,640000,0,0,0.0035535604050814288,0.0160380163379334,0.0007436295091633757,-0.013228085442015345,0,none,,,2.126781058215784,none,,,(0.37926322368267795, 3.47249275656665)
particle,28,1,2,800,128000,640000,0,0,4.953198011755796,-0.6392720465046504,4.596866424243659,0.9956036340167872,0,none,332.62340004,,4.001734702493584,none,,,(-0.7399088918575494, 2.16162656562003)
franken,28,1,2,800,128000,640000,0,0,4.978533032960428,-0.6397612203886278,4.620842867851855,0.9974513854972002,0,none,84.757583032,,4.00848640316677,none,,4,(0.2447475820394484, 1.9640960104189331)
ideal,28,1,3,800,128000,640000,1,0,0.004374660868810831,0.005554151192632546,0.0014505805787144127,-0.0026300709025361274,0,none,,,2.163691088598676,none,,,(2.937274422836036, 3.9194642683849317)
particle,28,1,3,800,128000,640000,1,0,3.5221617856919627,-0.42504318860480694,3.1984373505853463,0.7487676237114234,0,none,189.843155134,,3.8960603020528053,none,,,(1.3358939362570783, 1.260655786992534)
franken,28,1,3,800,128000,640000,1,0,3.1558397399244935,-0.44991916544461014,2.847303490614424,0.7584554147546798,0,none,88.324125019,,3.8191622697952634,none,,4,(2.0522040230421634, 1.882252488699786)
ideal,28,1,4,800,128000,640000,1,0,0.003445450003210871,0.006424819061153182,0.0006485469790758593,-0.0036279160370181703,0,none,,,1.9153891803339322,none,,,(6.4666938087231145, 4.125672795826412)
particle,28,1,4,800,128000,640000,1,0,4.294224003301858,-0.38577255929546694,3.9879596849481476,0.6920368776491774,0,none,296.989783196,,3.9678428057462383,none,,,(4.151767732600525, 0.516546631010088)
franken,28,1,4,800,128000,640000,1,0,3.7923612641827824,-0.39720332246670725,3.48122163653719,0.7083429501122999,0,none,87.089813526,,3.6415872031530068,none,,4,(4.480710121696868, 1.84580743164477)
ideal,28,1,5,800,128000,640000,1,0,0.005087815294131142,0.013944255203059579,0.002045319125471548,-0.010901759034399983,0,none,,,2.004440947378573,none,,,(6.2581986061121215, 4.213027126475382)
particle,28,1,5,800,128000,640000,1,0,3.5808609614941975,-0.1595109570939165,3.3150107845381607,0.42536113404995324,0,none,461.689103829,,3.2640322333676224,none,,,(4.4993870535469735, 1.435763857498835)
franken,28,1,5,800,128000,640000,1,0,3.2542433900364363,-0.37882499638588946,2.9391202722285663,0.6939481141937591,0,none,92.15386641,,3.2651506184260692,none,,4,(4.093153286107047, 1.8582956216696846)
model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvl
Any["truth", 28, 1, 1, "", "", "", "", 0, "", "", "", "", 0, "none", "", "", "", "none", "", "", (-1.83508, 0.0)]
Any["observed", 28, 1, 1, "", "", "", "", 0, "", "", "", "", 0, "none", "", "", "", "none", "", "", (0.583593, 0.0)]
Any["ideal", 28, 1, 1, 800, 128000, 640000, 0, 0, "", "", "", "", 0, "none", "", "", 1.96813, "none", "", "", (0.0, 3.0)]
particle,28,1,1,800,128000,640000,0,0,7422599248387911e-21,0.00023531163524500207,252187844483398e-20,-0.00023041091444144814,0,none,,,1.9716878379398652,none,,,(0.0010375591301536257, 3.004086407873536)
franken,28,1,1,800,128000,640000,0,0,24688935188730642e-21,0.00024728113977702374,8428071662001922e-21,-0.0002310202762502951,0,none,,,1.9722003441105107,none,,4,(-0.007447243632907217, 2.9968684198553692)
ideal,28,1,2,800,128000,640000,0,0,0.0034231200671030345,-0.006572125285661473,0.001061944240713279,0.008933301112051227,0,none,,,1.6171098904247647,none,,,(-2.3405482176450545, 3.47249275656665)
particle,28,1,2,800,128000,640000,0,0,2.3264973464010534,-0.6399909826403166,1.9698322635776913,0.9966560654636785,0,none,316.189384342,,3.1195523127905136,none,,,(-1.6790258567127478, 2.9349315619059304)
franken,28,1,2,800,128000,640000,0,0,2.3258588149149477,-0.6405113516521352,1.9688096894506941,0.9975604771163893,0,none,84.376447049,,3.120292620480044,none,,4,(-1.7737336762386753, 1.979825179909148)
ideal,28,1,3,800,128000,640000,1,0,0.003537430025386084,0.0034822311330354122,0.0006750926129094777,-0.0006198937205588074,0,none,,,1.528899867679299,none,,,(-4.677040489709781, 3.9194642683849317)
particle,28,1,3,800,128000,640000,1,0,2.323650632788556,-0.4916800160366217,1.9819718189467663,0.8333588298784111,0,none,345.508637566,,2.9047884327719173,none,,,(-2.806402966901454, 2.017108144766519)
franken,28,1,3,800,128000,640000,1,0,2.124672007771359,-0.4522588143877441,1.8152751814413408,0.7616556407177622,0,none,82.682420341,,2.8035170494897437,none,,4,(-3.5302950514121765, 1.8781639126658627)
ideal,28,1,4,800,128000,640000,1,0,0.004869798827085891,-0.014344322610440767,0.0019333427921100908,0.017280778645416568,0,none,,,1.9732433453954337,none,,,(-4.01738151012222, 4.125672795826412)
particle,28,1,4,800,128000,640000,1,0,1.4676682292077163,-0.4440560667017393,1.1369707177284538,0.7747535781810018,0,none,365.610328037,,2.8443676135881875,none,,,(-2.5706728422313514, 1.8528221886180956)
franken,28,1,4,800,128000,640000,1,0,1.1162283967823674,-0.39807915211458395,0.8053437645890038,0.7089637843079477,0,none,83.177936817,,2.672020934926685,none,,4,(-2.6891345313162223, 1.8769658653512666)
ideal,28,1,5,800,128000,640000,1,0,0.004470427199993358,0.009683666130773217,0.001576829724959603,-0.006790068655739463,0,none,,,2.5445491342366466,none,,,(-1.495073760901763, 4.213027126475382)
particle,28,1,5,800,128000,640000,1,0,1.8692599305736555,-0.37925152635659587,1.551025976648665,0.6974854802815867,0,none,316.395926409,,2.901656193896437,none,,,(-0.7474089422452385, 2.1787987554457526)
