model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,28,1,1,,,,,0,,,,,0,none,,,,none,,,3.1812376681189414, 0.0
observed,28,1,1,,,,,0,,,,,0,none,,,,none,,,1.5189714527848488, 0.0
ideal,28,1,0,80,1280,6400,0,0,,,,,0,none,,,1.9791394400448525,none,,,0,3
particle,28,1,1,80,1280,6400,0,0,0.0008012364113718424,-0.005099521785586998,0.00034152052481051297,0.005559237672148328,0,none,,,2.00398510468255,none,,,-0.00897331540087668,3.034588503403376
franken,28,1,1,80,1280,6400,0,0,0.0044307351063347855,0.0073933295414805806,0.0017488645439188804,-0.004711458979064675,0,none,,,2.0158691767080246,none,,4,-0.10482668782153243,2.899678564706783
truth,28,1,3,,,,,0,,,,,0,none,,,,none,,,7.944680582805404, 0.0
observed,28,1,3,,,,,0,,,,,0,none,,,,none,,,3.6531826383515966, 0.0
ideal,28,1,2,80,1280,6400,0,0,0.0038067997777036493,-0.004151973963948569,0.0009197107958418846,0.007039062945810333,0,none,,,2.279424313981348,none,,,3.4773047218082027,3.47249275656665
particle,28,1,2,80,1280,6400,0,0,3.2544283546697343,-0.6438841514817418,2.8983611750366074,0.9999513311148688,0,none,0.18614884,,4.484570369496157,none,,,3.041369454970089,1.3633011522673992
franken,28,1,2,80,1280,6400,0,0,3.274253767159484,-0.6447805517922301,2.9262583511719376,0.9927759677797761,0,none,0.219487414,,4.494037241950153,none,,4,2.586168512792547,1.7427100511507485
truth,28,1,4,,,,,0,,,,,0,none,,,,none,,,11.54095155103872, 0.0
observed,28,1,4,,,,,0,,,,,0,none,,,,none,,,6.812292748904378, 0.0
ideal,28,1,3,80,1280,6400,1,0,0.004715080209504736,0.004760015003548501,0.0017416392197632778,-0.0017865740138070434,0,none,,,2.0430359779958294,none,,,6.772393792527057,3.9194642683849317
particle,28,1,3,80,1280,6400,1,0,3.712775527843275,-0.28700984997164203,3.4101986758429357,0.5895867019719814,0,none,0.09699833,,3.3623214269645443,none,,,5.366498665022866,0.9448255999795196
franken,28,1,3,80,1280,6400,1,0,2.8094843565049956,-0.45122735344623766,2.5089412287946247,0.751770481156608,0,none,0.032144836,,3.3487675656782785,none,,4,4.96894699891794,1.7594523189919138
truth,28,1,5,,,,,0,,,,,0,none,,,,none,,,13.413474098565619, 0.0
observed,28,1,5,,,,,0,,,,,0,none,,,,none,,,7.956430116978841, 0.0
ideal,28,1,4,80,1280,6400,1,0,0.0030673493832955273,0.013421818372489161,0.0010960182769121397,-0.011450487266105773,0,none,,,1.7099051583661722,none,,,9.660499342870715,4.125672795826412
particle,28,1,4,80,1280,6400,1,0,4.0822690844251035,-0.2635971762088842,3.8295378629877126,0.5163283976462744,0,none,0.085601166,,3.7522729412428055,none,,,6.568301976846457,0.5663278521525982
franken,28,1,4,80,1280,6400,1,0,3.6457343375491953,-0.3921991526218679,3.3266934710830136,0.7112400190880496,0,none,0.019940334,,3.5766883533008844,none,,4,6.650876927148194,1.8630460072172932
truth,28,1,6,,,,,0,,,,,0,none,,,,none,,,14.939033978449133, 0.0
observed,28,1,6,,,,,0,,,,,0,none,,,,none,,,6.00487115808304, 0.0
ideal,28,1,5,80,1280,6400,1,0,0.006470236035920946,0.015093277440160473,0.002766523288772178,-0.011389564693011703,0,none,,,1.9756395241125004,none,,,11.381509974565466,4.213027126475382
particle,28,1,5,80,1280,6400,1,0,4.1051448537121,-0.3198950724525584,3.809328521387546,0.6157114047771126,0,none,0.105509328,,3.5594980786993773,none,,,7.923144786348869,2.8633471176725975
franken,28,1,5,80,1280,6400,1,0,2.5095912261325575,-0.37767434622931817,2.193151282670227,0.6941142896916488,0,none,0.027744141,,3.0663176884568495,none,,4,7.956175355672678,1.921246491830057
truth,28,1,7,,,,,0,,,,,0,none,,,,none,,,16.526469546278385, 0.0
observed,28,1,7,,,,,0,,,,,0,none,,,,none,,,12.772312189312245, 0.0
ideal,28,1,6,80,1280,6400,1,0,0.0031436588574196966,0.019521257827707403,0.0010226586799092026,-0.017400257650196913,0,none,,,2.5322239612725577,none,,,15.932731992994263,4.24956868309018
