model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,30,1,1,,,,,0,,,,,0,none,,,,none,,,7.0469478964434735,0,,,,
observed,30,1,1,,,,,0,,,,,0,none,,,,none,,,6.551857814307823,0,,,,
ideal,30,1,1,40,320,1600,0,0,,,,,0,none,,,9.524195734676203,none,,,0,15.000000000000004,,,,
particle,30,1,1,40,320,1600,0,0,0.03021803983876319,0.014395981178881538,0.027405360604472153,-0.011583301944590499,0,none,,,9.437894189932445,none,,,-0.00973182100558489,14.777916442741382,,,,
franken,30,1,1,40,320,1600,0,0,0.0900561337409268,0.04355727771617664,0.08273767988542036,-0.0362388238606702,0,none,,,9.285927916332025,none,,3,-0.05371510614119407,13.645648118041105,0.08971947382254655,0.057330761855774,0.08040143164008166,-0.04801271967330911
truth,30,1,2,,,,,0,,,,,0,none,,,,none,,,7.018861225637661,0,,,,
observed,30,1,2,,,,,0,0.27612986916597876,0,0.27612986916597876,0,0,none,,,,none,,,6.87893596275511,3,,,,
ideal,30,1,2,40,320,1600,0,0,0.0038074491783749278,0.017018491771750632,0.00044338851685177553,-0.01365443111022748,0,none,,,1.063589988872922,none,,,5.227477242208575,2.2404347605316914,,,,
particle,30,1,2,40,320,1600,0,0,28.033833968174957,29.673125441801137,1.3276991018969955,-2.9669905755231705,0,none,0.317494913,,1.996253865005812,none,,,2.4646492956072166,1.6771581841372576,,,,
model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,30,1,1,,,,,0,,,,,0,none,,,,none,,,6.786425856414608,0,,,,
observed,30,1,1,,,,,0,,,,,0,none,,,,none,,,5.648636981571835,0,,,,
ideal,30,1,1,40,320,1600,0,0,,,,,0,none,,,9.657309769353636,none,,,0,15.000000000000004,,,,
particle,30,1,1,40,320,1600,0,0,0.03504684768352175,0.021045237490872663,0.033068205776132426,-0.019066595583483326,0,none,,,9.804906370501646,none,,,0.019239558281023847,14.973637070335679,,,,
franken,30,1,1,40,320,1600,0,0,0.17915803864624502,0.04586954326767869,0.16994322150626914,-0.03665472612770281,0,none,,,9.651403889515628,none,,3,0.2306534982931356,16.166906232277128,0.237576920063747,0.07115954050440552,0.22655339123978155,-0.060136011680440075
truth,30,1,2,,,,,0,,,,,0,none,,,,none,,,4.915754083283017,0,,,,
observed,30,1,2,,,,,0,0.3619402945409388,0,0.3619402945409388,0,0,none,,,,none,,,5.639499589635136,3,,,,
ideal,30,1,2,40,320,1600,0,0,0.00399080059765246,0.013021716152221741,0.0002867068288052554,-0.009317622383374538,0,none,,,0.966020468736743,none,,,4.313724142509044,2.2404347605316914,,,,
particle,30,1,2,40,320,1600,0,0,44.42825290810252,46.379982257813175,1.4000502229691147,-3.3517795726797677,0,none,0.651595095,,2.0698292461308974,none,,,2.4621197292672514,6.013152058171365,,,,
franken,30,1,2,40,320,1600,0,0,0.12844830794068696,0.21384229754439385,0.03369119678590247,-0.11908518638960934,0,none,0.258092942,,1.0003385117770187,none,,3,4.67420421445101,2.522046727162208,,,,
truth,30,1,3,,,,,0,,,,,0,none,,,,none,,,2.4800698321389527,0,,,,
observed,30,1,3,,,,,0,0.4171376739182164,3172065784643304e-32,0.4171376739182164,0,0,none,,,,none,,,7.742917244030538,3,,,,
ideal,30,1,3,40,320,1600,1,0,0.0044875641614135495,0.01789439972123097,0.00019134263975292362,-0.013598178199570344,0,none,,,0.8393884026750318,none,,,5.245914755088807,1.4561552805714753,,,,
particle,30,1,3,40,320,1600,1,0,6.474656438357256,7.130446337239229,0.35213536225336517,-1.0079252611353382,0,none,0.695555779,,0.9655716452666443,none,,,2.230462979092738,5.35298455610094,,,,
franken,30,1,3,40,320,1600,1,0,0.091778480759562,0.20533095217084257,0.007968764593605513,-0.12152123600488607,0,none,0.020573042,,0.792762967185121,none,,3,5.1073943526059535,1.2762107962519542,,,,
truth,30,1,4,,,,,0,,,,,0,none,,,,none,,,2.4538939248878773,0,,,,
observed,30,1,4,,,,,0,0.20801565394101326,-3172065784643304e-32,0.20801565394101326,0,0,none,,,,none,,,1.95176663347346,3,,,,
ideal,30,1,4,40,320,1600,1,0,0.0035709203335237867,0.006013433350023645,0.00015038991989670383,-0.0025929029363965616,0,none,,,0.6052548343271021,none,,,3.006334677708044,1.3126002234401124,,,,
particle,30,1,4,40,320,1600,1,0,4.708465229026786,6.118335415385011,0.2998867388730337,-1.709756925231258,0,none,0.05408542,,0.613172628071771,none,,,1.1884134373751642,1.5986036126507956,,,,
franken,30,1,4,40,320,1600,1,0,0.06583029637407377,0.28818643891078743,0.002089880034159644,-0.2244460225708733,0,none,0.011594012,,0.5829649539823144,none,,3,2.8999191886983455,1.112343578409731,,,,
truth,30,1,5,,,,,0,,,,,0,none,,,,none,,,3.563622584138775,0,,,,
observed,30,1,5,,,,,0,0.35293181791125,-6344131569286608e-32,0.3529318179112501,0,0,none,,,,none,,,5.137472371234537,3,,,,
ideal,30,1,5,40,320,1600,1,0,0.0025317921005597243,-0.010950774900627791,0.00014559748524369778,0.013336969515943816,0,none,,,0.569370480688882,none,,,3.6462319023719703,1.2833839659166648,,,,
