model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,8,1,1,,,,,0,,,,,0,none,,,,none,,,24.369852747089514,0,,,,
observed,8,1,1,,,,,0,,,,,0,none,,,,none,,,23.7638353893232,0,,,,
ideal,8,1,1,400,32000,160000,0,0,,,,,0,none,,,0.8660077098783266,none,,,24,1.2000000000000002,,,,
particle,8,1,1,400,32000,160000,0,0,27601767616904213e-21,0.00124497464201756,10862103505470013e-22,-0.0012184590847512029,0,none,,,0.8544153707662805,none,,,23.99957272179207,1.1996486863145297,,,,
franken,8,1,1,400,32000,160000,0,0,0.00011600120687748836,-0.005639930942178295,68139195852558e-19,0.005749118229470528,0,none,,,0.8530091863086787,none,,5,24.009065465245364,1.2186542250361454,Inf,Inf,5685179311017558e-21,0.006833722776377732
truth,8,1,2,,,,,0,,,,,0,none,,,,none,,,145.82344110933712,0,,,,
observed,8,1,2,,,,,0,0.7906629451407631,0,0.7906629451407631,0,0,none,,,,none,,,146.10177389453688,30,,,,
ideal,8,1,2,400,32000,160000,0,0,0.0025091448423611366,-0.015164076475714716,2155831699379947e-21,0.017671065486376474,0,none,,,11.005672845300476,none,,,147.70972152192067,0.2555637621792652,,,,
particle,8,1,2,400,32000,160000,0,0,1945868768573562e10,1945868768573562e10,8057731068824221e-29,-80.85498959640815,0,none,19.729018999,,2.7391767299511196,none,,,145.90126337959046,31644281492807394e-30,,,,
franken,8,1,2,400,32000,160000,0,0,NaN,NaN,NaN,NaN,0,none,1.082595431,,NaN,none,,5,NaN,NaN,,,,
truth,8,1,3,,,,,0,,,,,0,none,,,,none,,,36015.0087874541,0,,,,
observed,8,1,3,,,,,0,7.502188933981817,0,7.502188933981817,0,0,none,,,,none,,,36015.2889851682,30,,,,
ideal,8,1,3,400,32000,160000,1,0,0.0035796928449853636,-0.019944705347799463,7996170729584524e-21,0.023516402022055242,0,none,,,37.39436687321117,none,,,36013.644834096325,0.2995382898150467,,,,
particle,8,1,3,400,32000,160000,1,0,NaN,NaN,NaN,NaN,0,none,35.167237356,,NaN,none,,,NaN,NaN,,,,
franken,8,1,3,400,32000,160000,1,0,NaN,NaN,NaN,NaN,0,none,0.272690042,,NaN,none,,5,NaN,NaN,,,,
truth,8,1,4,,,,,0,,,,,0,none,,,,none,,,488513592629.181,0,,,,
observed,8,1,4,,,,,0,3666738024321603e-25,0,3666738024321603e-25,0,0,none,,,,none,,,488513592629.62634,30,,,,
