model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,9,1,1,,,,,0,,,,,0,none,,,,none,,,23.661814931728735,0.0,,,,
observed,9,1,1,,,,,0,,,,,0,none,,,,none,,,23.985375848856737,0.0,,,,
ideal,9,1,1,80,1280,16,0,0,,,,,0,none,,,0.6496083991912333,none,,,24.0,1.2000000000000002,,,,
particle,9,1,1,80,1280,16,0,0,1.340266109762176,2.017703381959781,0.010004869455823531,-0.6874421416534288,0,none,,,0.5969719529591022,none,,,23.53313517989391,0.804384578173085,,,,
franken,9,1,1,80,1280,16,0,0,0.002244094859223659,-0.016351518831119034,0.0001288172571121267,0.018466796433230567,0,none,,,0.6624739057689902,none,,4,24.00414518968913,1.2316085736919602,0.005205571357169643,-0.006664315435114587,0.00012371973779504806,0.011746167054489182
truth,9,1,2,,,,,0,,,,,0,none,,,,none,,,24.663141841916193,0.0,,,,
observed,9,1,2,,,,,0,0.00020561618219225297,0.0,0.00020561618219225297,0.0,0,none,,,,none,,,24.469240327745595,300.0,,,,
ideal,9,1,2,80,1280,16,0,0,0.001589400100536859,0.004307687265949915,6.728172665679517e-5,-0.0027855688920698507,0,none,,,0.3523705385003453,none,,,24.468719528269737,0.029966703662594796,,,,
particle,9,1,2,80,1280,16,0,0,4.772795075771167e53,4.772795075771167e53,4.978054712075867e-30,0.0,0,none,0.892059641,,1.3502003411344372,none,,,22.884815276885234,1.4587650273043558e-55,,,,
franken,9,1,2,80,1280,16,0,0,NaN,NaN,NaN,NaN,0,none,0.37095346,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,3,,,,,0,,,,,0,none,,,,none,,,25.83300725548024,0.0,,,,
observed,9,1,3,,,,,0,0.00036351537580568954,0.0,0.00036351537580568954,0.0,0,none,,,,none,,,25.996134110360405,300.0,,,,
ideal,9,1,3,80,1280,16,1,0,0.002111174691217591,0.00871624271481227,8.777541326485134e-5,-0.006692843436859532,0,none,,,0.12291801237583717,none,,,25.998385709606886,0.029966703662594796,,,,
particle,9,1,3,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.021955889,,NaN,none,,,NaN,NaN,,,,
franken,9,1,3,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.070888593,,NaN,none,,4,NaN,NaN,,,,
model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,9,1,1,,,,,0,,,,,0,none,,,,none,,,25.008731088047103,0.0,,,,
observed,9,1,1,,,,,0,,,,,0,none,,,,none,,,25.00738545129444,0.0,,,,
ideal,9,1,1,80,1280,16,0,0,,,,,0,none,,,0.7318559699646664,none,,,24.0,1.2000000000000002,,,,
particle,9,1,1,80,1280,16,0,0,0.44567235118928933,0.7556921808646633,0.012317813177793055,-0.322337642853167,0,none,,,0.6594996001564528,none,,,24.206658253611014,1.1310571755475893,,,,
franken,9,1,1,80,1280,16,0,0,0.00282071986394178,0.007829235854612296,0.0001769846496211207,-0.005185500640291637,0,none,,,0.727041519117941,none,,4,24.024409353153153,1.244612691309587,0.00450623317663339,0.005673101531634472,0.00018603774190589263,-0.0013529060969069764
truth,9,1,2,,,,,0,,,,,0,none,,,,none,,,25.824215794307104,0.0,,,,
observed,9,1,2,,,,,0,0.0007628837583072807,0.0,0.0007628837583072807,0.0,0,none,,,,none,,,25.929664980395554,300.0,,,,
ideal,9,1,2,80,1280,16,0,0,0.0017589378722568476,-0.024016491605845403,5.197074371408394e-5,0.025723458734388166,0,none,,,0.17939391722888187,none,,,25.927523287853493,0.029966703662594796,,,,
particle,9,1,2,80,1280,16,0,0,2.3010910459948446e89,2.3010910459948446e89,3.580029409263614e-31,0.0,0,none,0.885635876,,1.1958817089417513,none,,,22.20528265325089,5.199000434649168e-75,,,,
franken,9,1,2,80,1280,16,0,0,NaN,NaN,NaN,NaN,0,none,0.335535545,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,3,,,,,0,,,,,0,none,,,,none,,,0.9992472979596778,0.0,,,,
observed,9,1,3,,,,,0,0.0002694513060377044,0.0,0.0002694513060377044,0.0,0,none,,,,none,,,1.3699337457566427,300.0,,,,
ideal,9,1,3,80,1280,16,1,0,0.002337824039475403,-0.001114747944296927,0.0001587754110862274,0.003293796572686103,0,none,,,0.20558761130964814,none,,,1.3703305495554234,0.029966703662594796,,,,
particle,9,1,3,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.015856008,,NaN,none,,,NaN,NaN,,,,
franken,9,1,3,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.054298343,,NaN,none,,4,NaN,NaN,,,,
