model,mod,M,MEquiv,r,sampType,mhType,hpl,nIter,useForward,overlap,isFuzzed,rejuv,version,dimension,rep,startTime,step,checksum,putime,samptime,klerror,kl,covdiv,meandiv,entropydiv,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,v0101,v0202,v0303,v0404,v0505,v0606,v0707,v0808,v0909,v1010,v1111,v1212,v1313,v1414,v1515,v0102,v0203,v0304,v0405,v0506,v0607,v0708,v0809,v0910,v1011,v1112,v1213,v1314,v1415,v0103,v0204,v0305,v0406,v0507,v0608,v0709,v0810,v0911,v1012,v1113,v1214,v1315,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,o01,o02,o03,o04,o05,o06,o07,o08,o09,o10,o11,o12,o13,o14,o15
Block PF,block,33800,260,5,,,,,,,,,1.1,15,1,2019-01-24T19:38:25.846,1,7.833989691403445,9.48790486,0,,13.151204774137002,16.03629369047821,0.03167059472051357,-2.91675951106172,-0.82785119927187,0.11321222395307462,0.5468567086570779,-0.06978931994011361,-0.2662992220881817,0.29915067341616464,-0.13069461269139548,-0.3647169865251385,0.14607675816541565,0.30282717768933676,0.3476420419146944,-0.06546291290320205,-0.032398894453598004,-0.03383994831829451,-0.259226339487201,0.1657079688310081,0.14984902593491556,0.13594226471610946,0.16196084062791904,0.17315923302657474,0.16289053876892728,0.15345019607312646,0.14330894827458437,0.158979492544382,0.17294887158790612,0.15257189172106642,0.15506609149376524,0.14825979760173402,0.1590687254564223,0.16133759085028526,0.04883177496730683,0.04184249694526604,0.03270110483477,0.03823414518757938,0.0,0.041426750631980626,0.04885783878278009,0.03636437234699464,0.03830903202322382,0.0,0.034753034627783834,0.042088573471766526,0.043930604062387954,0.04503656270240897,-0.10294024414180745,-0.11401327142791734,-0.11466777572187396,0.0,0.0,-0.10497912076503481,-0.10875784944185748,-0.1173239485182244,0.0,0.0,-0.10979002384674703,-0.10869108945813606,-0.10733478378000018,8.112875252570259,7.887625929330944,8.164930015043005,8.451160592253553,7.761142287957583,7.229742752205544,8.00595586855637,8.782561728173746,8.143477153705566,7.38331359687803,7.842473308860685,8.41199075035262,8.060882205870444,7.709718082515523,8.008282049593063,6.89102058137962,8.272172896869193,8.782680154367862,8.77190843722179,7.252095662591176,7.610463709614784,7.118556374890007,8.989985657806521,8.002665006596244,7.391763434325997,8.761194790676868,8.350858658012577,8.60026041192761,7.547205495351735,7.824951352379855
Block PF,block,33800,260,5,,,,,,,,,1.1,15,1,2019-01-24T19:38:25.846,2,3.250591159805233,8.874718343,0,,0.8334222174394258,1.3382862344584427,0.16474003490945352,-0.6696040519284702,-0.056479098282093076,0.7211032672529746,-1.4611886874594617,-0.1733176493252433,1.422705966930268,0.8777936247906448,-0.062039879472021386,-0.40336010684448453,-0.8807229435901363,0.24872336192667976,0.8199714012409185,-0.6511492425910961,-0.38087596682658387,-0.5603756236785635,1.271793958531919,0.5755870498370705,0.49412495699015435,0.5605353216959881,0.3850166390302962,0.36032450575166636,0.24984924142236278,0.30179987536062924,0.2818796481445054,0.3597954602329805,0.5115928317163706,0.23188538797812092,0.28716982751122033,0.3467134907824599,0.32386908448131485,0.3874026743254132,0.1789209051482526,0.0953931948558071,-0.16938479689103456,0.05123510361774942,0.0,0.004448388446626836,0.19936627051350722,0.014378833506879393,-0.029623629231987074,0.0,-0.08376634781055045,0.053688051872357936,-0.015581015063839635,-0.008988577239160267,0.011241757807340241,-0.15453176004227692,0.07654486864343275,0.0,0.0,-0.005653853197278049,0.011710660014046708,-0.00403945447075271,0.0,0.0,0.03862907471331279,0.02304118359220431,-0.007443804142992523,-8.786315603718629,0.1784190749739377,13.716820556551959,11.544181064844736,-6.320796594271733,1.4696738832806353,2.4171416275668687,4.533529040956503,10.27316549807519,7.437924940534768,-9.281288721698793,0.6261574810333062,-0.8903191489920635,13.388784322282616,2.719221730154885,-8.95858257065293,0.34590691047252314,12.150069454902766,11.353090771237841,-4.819638459861059,1.8676398295484176,3.125847730646246,3.86963488351037,9.466604081160312,7.183605115176774,-9.090100258405204,-0.6389693231170672,-1.0138596620949363,13.096826538331158,3.7438625310723377
Block PF,block,33800,260,5,,,,,,,,,1.1,15,1,2019-01-24T19:38:25.846,3,11.73449453222498,8.706209499,0,,1886.9554058922542,1891.3908104079483,0.12156564277880873,-4.556970158472438,0.07996363344416046,-0.04950618037815335,-0.04959764973922365,-1.4499131659195976,0.6037771015945341,0.40597697316975,0.7591491163246644,1.4858134332710002,-0.8084076352300162,-0.664646477731079,-1.1819509197944231,0.3890814607250972,-0.4118542589819363,0.6408124955972347,-0.1085786684718002,0.011617543652919579,0.03154827256298037,0.017147243523362662,0.004162865042022094,0.03618826605655045,0.13267028895879698,0.6954927527359321,0.24568138394137143,0.182719151757436,0.12841882947534988,0.7534767375785952,0.657115524181876,0.0726192225896859,0.4497188189492236,1.2515561816703251,0.007245158498225747,-0.01969306676228486,0.00558979566363692,0.006517850740830843,0.0,-0.1962139724351866,-0.23269511812830174,0.05197352259386684,0.10314291783125083,0.0,0.31807669632903296,-0.08499450508633018,0.05281438722484737,0.5607221226681808,-0.0022194863964166765,-0.009497210810782607,0.015457272740086236,0.0,0.0,0.04590529091019869,-0.20460968295113838,0.050966768861106106,0.0,0.0,0.07452947731179002,0.0888705106587199,0.09719644480235073,3.0097949903728893,-5.887485361013882,5.9938644956112235,0.029141530146098535,2.908748273233532,-8.4564368922525,-5.292948125217942,0.38202930046155636,-0.7426750824177626,7.595430841796742,1.9004590147731164,-1.7991979931807611,-3.3030484201662285,-5.173899388873886,11.354509478613984,3.542076132654011,-5.620010753571957,5.534380016087715,0.248286840491434,2.5982640178789085,-7.882288145677367,-4.452850391232621,0.7444492621979651,-1.2515906324539894,6.882222241501595,1.4944121326360063,-1.4321345692332155,-3.711839676681196,-5.6222630222117065,11.786885228382587
Block PF,block,33800,260,5,,,,,,,,,1.1,15,1,2019-01-24T19:38:25.846,4,4.526494444812145,8.814378487,0,,5.050018282510742e6,5.050026017214279e6,1.4822593702244833,-9.216962907457715,1.6616590609045772,-0.47089789944748706,-0.9794893687067345,1.8363935035191306,0.8113446960019619,-0.09782724766321049,-0.2220178064185463,0.6174949529506384,0.8438142474853707,0.4518085081921397,-2.4641428255469173,0.8283746474230677,-0.10835532489885669,-2.175504552452737,-0.21094461439591328,0.7658044362513999,0.13457930341760851,0.15862519332667985,0.7306127487308955,0.5658333678621545,0.39189356914715856,0.021960903630067037,0.04196379207625332,0.08500652371267337,0.027038594649736392,0.0005378551595035408,0.000978593226998616,0.00020188371538021536,0.0011927076358887356,0.00028626700787251497,-0.043040317930181475,0.10360370085778225,-0.16753040934802702,0.42918638990850483,0.0,0.03587966118641284,0.01829575829805863,0.04045686795857289,-0.01735777049515458,0.0,0.0003384694926287056,-0.0003946482103569325,0.0004857289970568165,0.0005721037139944712,0.2104026981217178,-0.30189689682303544,0.0957819390208323,0.0,0.0,-0.06028956781760808,0.04092446693487134,0.011396357223434423,0.0,0.0,-2.879092673063717e-5,-0.0010136124379028343,0.00022656620871165374,0.08648054473135487,-1.785424628455985,5.5512018482389305,1.1527141187197487,-5.4962562400022135,4.07635902167164,6.565205099670958,-2.156678882979428,0.20919260705966253,7.129381392819601,1.5159833041396102,-0.8378549425722396,3.949671230143726,4.842303168520187,5.2673525524614995,-0.47097446555684114,-2.0177753743154154,5.5570021094468895,1.2528198957385004,-4.772102735796681,5.213278416299591,6.725608607231715,-1.6396969452515566,0.09338046997454567,7.002712609418235,1.7867411201364223,-1.5849989493488703,5.514852083075265,5.53331565289864,4.735060880197117
Block PF,block,33800,260,5,,,,,,,,,1.1,15,1,2019-01-24T19:38:25.846,5,-3.3409443633833913,8.865595849,0,,1.0689470522017907e9,1.0689470734640409e9,0.1519785269564973,-21.41422875073694,-2.2076564859405012,-2.1604485552277515,1.532241428592621,1.6046058948136166,2.4561861816287918,-2.3305489045429457,-2.4332425649441833,1.7979265312627835,0.9185448508659619,-0.9371894141283157,1.827918284575951,1.3892050231293367,1.0949049314914001,-3.245771272201239,1.4817303900731018,1.603264897418242e-7,3.3537859650401966e-6,3.486584819242795e-8,2.6008219455064005e-8,5.902218892166011e-5,0.0077481132022732555,0.028935911988589157,0.03320065958985373,0.0010390433507566283,0.017897596197242013,0.0006265641263965011,0.0011059508989843061,0.0013032225892461878,0.001476068083938438,0.0015657777861290457,-7.291519267038082e-7,3.3033906806708293e-7,-2.374740311471438e-8,-1.142181174626849e-6,0.0,0.014964590363126983,-0.030722956014803557,0.0048384544597737476,-0.003130210917212751,0.0,2.2313104480691617e-5,-0.0007399483815546811,0.0013714407206022337,-0.0014981975138647346,-6.986972949771195e-8,-2.680704332813197e-7,1.3675013778731305e-6,0.0,0.0,-0.0159602716577788,-0.004878267800346684,-0.02406111105887457,0.0,0.0,0.00069197039889084,-0.0009139286859286647,-0.001360623325255983,3.3770030176198116,6.188478393978307,3.9022226839068157,-1.7392673871001518,1.2120488851377784,0.020055952908617523,6.38270912972575,7.918222619468487,3.1671939287115802,5.010796762411995,-0.28753289038668534,1.8785254535635763,6.212536590050505,1.5369354147158216,-3.3232877073047704,4.0523833141849,6.877278139661531,3.9701238879670204,-2.8949815869543345,1.843161013583067,-0.2621609013040735,6.127474754180629,7.848547427282726,3.6732762786543587,4.679731879797691,-0.3556363060835741,2.374397763333568,6.41968122678607,0.8685189931435277,-3.3540821859970182
Block PF,block,33800,260,5,,,,,,,,,1.1,15,1,2019-01-24T19:38:25.846,6,0.810396496770555,8.60580145,0,,2.2603726376313105e9,2.260372659236561e9,0.0012448893171778418,-21.60649559548158,0.9237106621896647,0.6184425263628217,-0.5157493030235982,-0.8132517544931985,0.49863241456174645,2.261875794171761,4.38181917533391,1.0071396257375413,-1.3562586324616404,-3.9234500556883143,-0.4652616441609556,-0.8180148895354294,-2.991588029194113,1.828142340746148,-0.8096808177477027,0.0007543430885263001,0.003385889171052313,0.0005426045460624986,1.2915110668743313e-5,0.0006439505289998787,0.0004745596628331327,0.0001904016885214865,0.0005893177621435473,4.0920562606170765e-5,0.00030966467948517296,3.1011568599323367e-6,3.824227579249783e-5,0.00017434474740897352,8.011042992484349e-5,0.0002015149249242823,-0.001425635091832673,0.0013123428519110677,4.999448004357086e-5,-7.810786510883417e-6,0.0,0.0003001704079356359,-0.00033460126425899063,-0.00015526451772484697,-0.00011142048321733739,0.0,-1.1343634248690829e-6,1.4924833582294082e-5,0.00010996112259020794,0.00012703500775651462,-0.0006010166297783849,8.911644826558203e-5,-0.0004954414698354479,0.0,0.0,-0.0005288254830969804,8.807927743222008e-5,0.00042164610416291383,0.0,0.0,-2.31788251743599e-5,-1.0527077034798395e-5,0.00017564443095081453,5.878113956642128,4.914853973637262,-2.856186180373199,2.467529138359945,6.602278511002773,7.002071299485378,-5.198656296594571,-4.057651249990227,-1.6445399940042238,3.267948068958468,7.9179466214071805,1.5039576820538474,-0.9548074529173417,-1.6421184923112593,1.1832415456368888,5.993157569327814,4.485681189280369,-2.7278853653779738,3.369436975398079,7.555286719948543,7.676951313832221,-4.9989777639298785,-5.846811089899832,-1.3391147829587626,4.038467016720984,7.261473082483246,1.250497785978415,-3.454709274104935,-1.965404047065038,0.8286073316995417
Block PF,block,33800,260,5,,,,,,,,,1.1,15,1,2019-01-24T19:38:25.846,7,4.684586277110229,8.518165001,0,,1.1626997643710226e10,1.1626997672985826e10,0.023819364372528174,-29.299418749314537,-2.2989935795296974,-0.8721793397345152,0.9997406769873676,2.204105786627417,-0.7697322185042896,-5.314489652713173,-3.026621573700077,-1.0560015777005134,2.6910397914551636,-0.5117412610242527,-1.9510758950034708,-1.0993658152638583,-2.7837769484312913,-2.4823160572229885,1.3541160124577436,6.820959093574322e-6,0.00019072778615083258,1.7771507122288833e-5,0.008769163706225479,0.021938830743404133,4.472943148635353e-7,1.1267442216142144e-9,6.242058556006013e-8,2.8559828488694988e-8,3.773785285138361e-8,0.009440948286128941,0.0012699328656258343,0.0009905891200903075,0.0017344001236554772,4.630194670800941e-5,-3.606483611370949e-5,5.81979006336787e-5,0.0003943072671828949,-0.013870196848655378,0.0,-2.0910119661144686e-8,-7.81667875565987e-9,-4.214453442800022e-8,3.2777276445759835e-8,0.0,0.002972748068380647,0.0009369188815770733,0.001302022866370616,-0.00020449999266068355,-1.1001548049600031e-5,0.0012929748646141634,-0.0006237904623953844,0.0,0.0,1.6706486441050332e-7,5.1774443245141724e-9,-4.851788722668483e-8,0.0,0.0,0.0014613871266245123,0.0012887675690198778,-0.00016740986155225582,3.3577836138194597,-2.6851803477598692,2.6673945510475057,2.5753589315710337,8.56754554567151,2.3819336576563654,3.5187367201750828,3.2702609404184173,2.6916460004894365,5.395087424351863,6.412319064548153,-0.5639973742409021,3.5531078618931096,4.642698759962808,4.463539433847042,3.5386443884005314,-4.6236783883412835,2.1111821095546546,2.0481511129721293,8.401690961157724,2.8595223769548737,3.9131714765799974,3.795911544066569,4.358139409882217,5.100833701959688,6.563191441876708,-1.650774402973102,3.2599137363647195,4.952860406740994,4.749072997413449
Block PF,block,33800,260,5,,,,,,,,,1.1,15,1,2019-01-24T19:38:25.846,8,-2.2877536495530997,8.483820833,0,,517458.5427966905,517472.34217820916,0.7323404319537783,-14.531721950613678,-4.701679250349229,-4.031241224187561,-0.6180624495955183,-1.7906022530551517,1.752403388386524,3.5794812557217113,4.597582642793116,-3.908136820241462,-0.3237125884271874,-0.6729288270173068,1.9345715512903847,2.6260957915347274,-2.227542588858856,0.25355585674255554,0.4190187643092469,0.10204106359761861,9.78282433974215e-5,0.036308158442577815,0.030398597950438117,0.016928473142518097,7.266924963676515e-5,0.0008368167519974919,0.0001666550286566178,0.003366476632132087,0.0008343752816127846,0.006960904670576765,0.09376729005173234,0.0005970242672035244,0.017600139481269622,0.00291888063986686,0.003067558893581939,-0.0018001995920626168,-0.03312526396414188,0.022633712318485915,0.0,-0.000244610092982276,-0.00033462814271775223,0.0007486942143236637,-0.001634490560904342,0.0,0.024702251772124817,0.0013906483045289292,-0.0012392445724442726,0.005141390048206515,-0.060727775025945056,0.0016209135213014047,-0.02464259092988293,0.0,0.0,0.00010350504854301235,-0.0014821978712083927,-0.00036136061781839364,0.0,0.0,-8.060618038990808e-5,-0.039766366163807056,-0.001062591000976033,4.195548300423925,4.3502743713886804,4.6099128467402295,7.331071143276103,-4.535612101864792,0.5693059883156598,0.05168099943475182,10.168664359160546,0.641225264051947,-3.7414927797669586,1.4053361587797826,2.5029668162508414,5.882356020873692,4.278369859287997,-2.999271443919379,4.763496837331136,2.9809619112602395,5.209908306330375,7.049288050227733,-4.5200615882443635,0.31636073806823367,1.0781975191820203,10.338535845954572,0.7963442767403103,-4.251904638776333,1.5961126740606608,2.028426650166306,5.064310972382241,3.56772285964842,-2.2915863761549184
Block PF,block,33800,260,5,,,,,,,,,1.1,15,1,2019-01-24T19:38:25.846,9,0.31030175072598926,8.586687646,0,,950603.7218475789,950619.8735853786,0.13109914112312937,-16.282836940850117,0.31277123476023316,-0.4383950220839248,5.1092107160301765,-7.357863817973492,0.5628107774535063,4.258627577190053,0.2125828344047047,1.704584156988274,9.535968023445974,5.003171306202478,-5.656092870879052,3.582299371019642,3.5953674710966075,-2.5567138055941334,0.6103862919096568,0.005780026668136442,0.00011419575550600304,0.0009015226966121643,0.0005301791852492199,5.690224085793568e-5,0.00613968809054091,0.007611230500131346,0.008184794471738855,0.0033420127785055505,0.002419095978141507,0.005917358704763304,0.004513586247670166,0.02365772262451275,0.0379282870669865,0.0072862657020496486,0.00032359882902252226,-0.00017659253281385843,-0.0005211182392192645,0.00014557920175793171,0.0,-0.006834762841107455,0.00789243779982557,-0.0052288505049610445,0.0028401244990955295,0.0,1.3726999406912812e-5,-0.0032654270491212054,-0.029780414955123936,-0.010939538277368061,-0.00195339063362562,0.00011852853177577637,-7.943548480890514e-5,0.0,0.0,-0.007086296553192618,-0.005042482322030105,-0.004447624046663733,0.0,0.0,-0.010913965635324843,0.0034498474178437386,0.009394031264878977,3.7396022908618063,7.407772342183232,-2.4658215939353214,5.178151196377439,0.30318930506092917,-0.7219156893816328,6.618068853674927,-1.2362254912176718,-3.323017138068186,-2.2942404106388508,6.732299771724229,3.3131486956676013,-4.90485506896025,-0.2692521625389278,-0.2153366837227011,5.2386050175929775,7.771137231472384,-1.3765361445403004,4.789025369843104,0.6975714655353629,0.4318250664739578,6.260117982342047,-1.3825004238440186,-2.750062349259526,-0.20027570053321542,5.770338636069817,2.940941748743602,-4.00091653685603,-0.10718692570330501,0.3059442077526625
Block PF,block,33800,260,5,,,,,,,,,1.1,15,1,2019-01-24T19:38:25.846,10,6.718564926923911,8.4638967,0,,209674.6338896992,209691.26353619635,0.0643330905814575,-16.693979587753947,-6.322373107703548,-1.2437101146332012,-4.100820139218235,-7.296705375008898,2.169776327597151,7.671113323270756,-6.54449156753222,-3.185853210972251,1.0255417387734038,3.582659928702717,-2.179588548485569,2.6753476194350796,0.27492010676916784,3.7116342690962023,0.9562099067972882,0.00010777632526905941,5.299949170713426e-5,1.643821565469028e-5,0.0008435071909703971,0.0033917097481265873,3.421029710994999e-5,0.003195920146252006,0.0009674454692663737,1.532575138322339e-5,3.3362309083520204e-6,0.009707619004978739,0.06107084081825433,0.004048007878296035,0.003447045250334085,0.02001034343323332,5.797089208522225e-5,-2.610338183731972e-5,4.550083454787983e-5,-0.0016654346303815455,0.0,0.0002886413384157146,-0.0017525633094302483,0.00010394433228337487,-4.506595170723536e-6,0.0,-0.00852273662566716,0.006211411230519344,0.003299332357022116,-0.0001920259736683721,-3.6379223125203364e-5,-1.7877679080736933e-5,-0.0001274014945153341,0.0,0.0,-0.00016458880625091644,-0.00017894164889425108,-5.228565146864779e-5,0.0,0.0,-0.0025979916097593598,0.007576239710634891,0.0014797260905637293,8.554973951482035,-2.40213545619476,2.566110765126567,7.298263584302317,4.1522366106445086,2.7745429828864054,5.630239022383558,1.4760204221381896,2.6168116500561376,3.5097474850539276,4.66165666509729,-2.3059787735281607,-0.6024093750744467,-0.6759190081812172,6.367801616130315,8.819602139533485,-2.1226834266724968,2.266711165867999,8.050192730457857,3.1524030474867617,3.922336661752937,5.753412939596761,1.479785234289875,2.1233367504359526,2.7717935551518575,4.598990713826363,-1.166254249191092,-0.28408446089684064,-0.4975481617869142,6.715276785574009
