model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,48,1,1,,,,,0,,,,,0,none,,,,none,,,1.0507890403555802,0
observed,48,1,1,,,,,0,,,,,0,none,,,,none,,,2.54288387540302,0
ideal,48,1,1,100,5000,20000,0,0,,,,,0,none,,,1.976350983193935,none,,,0,3
particle,48,1,1,100,5000,20000,0,0,0.0002194265347481795,-0.0015749266557150143,6160967245277941e-20,0.0017327435180104142,0,none,,,1.9681246083922357,none,,,-0.011654678550255025,2.9922227269969803
franken,48,1,1,100,5000,20000,0,0,0.0007503185556281402,0.0020022992552677504,0.0002272830568644466,-0.0014792637565040566,0,none,,,1.96952356246706,none,,4,0.002519560723317561,2.8917470224877393
truth,48,1,2,,,,,0,,,,,0,none,,,,none,,,2.487748620122385,0
observed,48,1,2,,,,,0,0.9278890171824502,4163336342344337e-32,0.9278890171824503,0,0,none,,,,none,,,1.593752249837828,27
ideal,48,1,2,100,5000,20000,0,0,0.003361385033075429,0.003621092085616201,0.00107117033976146,-0.0013308773923022322,0,none,,,1.6480673677441606,none,,,2.243250216200662,2.9415108036066497
particle,48,1,2,100,5000,20000,0,0,1.3528691951777698,-0.5937008932057141,1.0557236519223652,0.8908464364611188,0,none,0.601151253,,1.731207510331639,none,,,1.916847526116749,1.3071544811426943
franken,48,1,2,100,5000,20000,0,0,1.3310365184958657,-0.5864374677883832,1.0392919943239547,0.8781819919602941,0,none,0.494402871,,1.441656639550726,none,,4,1.9888004829763832,1.896583646461574
truth,48,1,3,,,,,0,,,,,0,none,,,,none,,,-0.5117555627023298,0
observed,48,1,3,,,,,0,0.6502314042202686,0,0.6502314042202686,0,0,none,,,,none,,,0.1724630383012129,27
