model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,36,1,1,,,,,0,,,,,0,none,,,,none,,,-0.9215488330494411,0
observed,36,1,1,,,,,0,,,,,0,none,,,,none,,,1.5322747676761201,0
ideal,36,1,1,200,112,450,0,0,,,,,0,none,,,1.8574617112496048,none,,,0,3
particle,36,1,1,200,112,450,0,0,0.010897699723653531,0.03152997567900001,0.00285146873833993,-0.023483744693686404,0,none,,,1.8550377476083997,none,,,-0.07918026337084985,3.3781144047946414
franken,36,1,1,200,112,450,0,0,0.04573492759469286,0.06502724766705285,0.013238746899833469,-0.032531066972193455,0,none,,,1.8694099828299773,none,,4,0.13293351623018865,3.189435515038852
truth,36,1,2,,,,,0,,,,,0,none,,,,none,,,0.03502254977181507,0
observed,36,1,2,,,,,0,3.4750221132515313,0,3.4750221132515313,0,0,none,,,,none,,,1.477275111318489,27
ideal,36,1,2,200,112,450,0,0,0.004012231618904456,0.0007791351664553173,0.001146084581970192,0.0020870118704789478,0,none,,,1.5856918849800925,none,,,0.7307326172897751,2.941301710936264
particle,36,1,2,200,112,450,0,0,1.3174712129933206,-0.5957540280253203,1.018516018450506,0.8947092225681347,0,none,0.140639864,,2.0112535990508666,none,,,0.05733434036360522,0.22903026125881293
franken,36,1,2,200,112,450,0,0,1.3075067108346141,-0.5237655712270234,1.0068044786071955,0.824467803454442,0,none,0.228653985,,1.3493817876375174,none,,4,0.07080611170205696,1.6041141870005697
truth,36,1,3,,,,,0,,,,,0,none,,,,none,,,-2.2872378260358097,0
observed,36,1,3,,,,,0,2.121001107301708,0,2.121001107301708,0,0,none,,,,none,,,-3.1532379332359577,27
ideal,36,1,3,200,112,450,1,0,0.0038648646755190933,-1943879414325241e-20,0.0013495895168359688,0.002534713952826376,0,none,,,1.6507157750263668,none,,,-1.6213005284736761,2.8490169485476837
particle,36,1,3,200,112,450,1,0,2.058459897225999,-0.4418082056455241,1.8536769649911207,0.6465911378804027,0,none,0.006191189,,1.997161429521231,none,,,-0.17265554990567256,0.584785261530018
franken,36,1,3,200,112,450,1,0,1.3730346762985228,-0.5367273469238777,1.133429264337708,0.7763327588846926,0,none,0.003104069,,1.4539617563712934,none,,4,-1.518859660985271,1.6858611738591258
truth,36,1,4,,,,,0,,,,,0,none,,,,none,,,-3.464899276924449,0
observed,36,1,4,,,,,0,5.597589941513822,0,5.597589941513822,0,0,none,,,,none,,,0.10732331727787825,27
ideal,36,1,4,200,112,450,1,0,0.005219080249106875,0.0029924303368183782,0.0012116178110130305,0.0010150321012754651,0,none,,,1.9125438675643505,none,,,-0.33284244650589623,2.835377031318763
particle,36,1,4,200,112,450,1,0,1.5139876703587227,-0.42859438634448893,1.3305949869788647,0.6119870697243465,0,none,0.018800389,,1.384934238144786,none,,,-2.845051326035532,0.05605799714760884
franken,36,1,4,200,112,450,1,0,1.5177601984599016,-0.4655852942969476,1.2768985565543294,0.7064469362025202,0,none,0.007191021,,1.649563992244741,none,,4,0.4707550771633336,1.9694492690111494
