model,mod,M,MEquiv,version,dimension,rep,startTime,step,checksum,putime,samptime,klerror,kl,covdiv,meandiv,entropydiv,d01,d02,d03,d04,d05,v0101,v0202,v0303,v0404,v0505,v0102,v0203,v0304,v0405,v0103,v0204,v0305,t01,t02,t03,t04,t05,o01,o02,o03,o04,o05
Bootstrap PF,boot,9765625,3125,2.1,5,1,2019-01-31T19:11:37.159,1,4.7006569458621,133.058436166,0,,19.56566825308297,24.25144876718975,0.05347022651938105,-4.73925074062616,0.01575045199922087,0.199187848262393,0.05363854634728504,-0.02998234598385796,0.04982558747649435,0.10103900201053134,0.10075827819501397,0.10256407487769752,0.10187969124718187,0.1010425994590347,0.026829407229274366,0.0262856989496108,0.0274418294247778,0.02633793486920821,-0.038571096843169825,-0.03777584203276415,-0.03782002044528406,7.9351218780374815,7.906680484080733,8.117362901343784,7.918627521537166,7.592277595009691,9.074067406645641,7.008514794860645,9.106920053218564,7.611958098016234,4.334063273180112
Bootstrap PF,boot,9765625,3125,2.1,5,1,2019-01-31T19:11:37.159,2,8.96053880452916,121.221796904,0,,38.638583870469496,43.29564978960383,0.16414296956011634,-4.821208888694447,0.25369415639919524,0.2654889947137935,-0.08468157249326858,-0.15155855443209632,0.159030725286037,0.13520164791308903,0.1431796658418549,0.14185601771217193,0.14307090748863627,0.13839365671921552,0.04574405678928122,0.04423319063695318,0.046190284176419474,0.053392714826176864,-0.08247423167201458,-0.08630057065280877,-0.07773177553203675,7.999332802305233,8.117137233646842,8.068314320091334,7.74917853773725,7.55594725681409,7.652921234736041,10.108352946847068,7.697298173318034,7.547128537457454,9.40393648616326
Bootstrap PF,boot,9765625,3125,2.1,5,1,2019-01-31T19:11:37.159,3,8.037781687370055,99.144765032,0,,85.23226032299377,90.045202160894,0.1526604682747475,-4.965602306174969,-0.04543647498430836,-0.06424586376418517,0.0016751016438432131,0.11220808059697696,0.16655754203040019,0.18158320255578697,0.19353313378198328,0.19303103944696798,0.19664031127347928,0.19023937986402925,0.06128057663725332,0.06258530486689169,0.06473957110517731,0.07604573453868278,-0.12887746251918922,-0.13443259049792158,-0.12331159960213828,8.208322471256215,8.278034361470231,7.884254935532112,7.514957517246069,7.612593642176302,6.46015524203162,7.3564422925435995,8.265450351851058,6.434377643335924,7.910084432663137
Bootstrap PF,boot,9765625,3125,2.1,5,1,2019-01-31T19:11:37.159,4,8.698749121682198,87.873145357,0,,180.3728817642224,185.57621902205165,0.029559149224019185,-5.23289640705325,0.005124699330515625,-0.1380863668549832,-0.046185481333445466,0.13907567849788016,0.22984615572036304,0.20805193513048006,0.23159774803227606,0.2353259162993417,0.2177803593212917,0.21533127369280938,0.059073922050399436,0.08120295279777034,0.0826063839696869,0.08643843342196096,-0.1638714352928364,-0.15355670674003613,-0.1466408199150335,8.530705290210587,8.265257600683512,7.506183680955576,7.319856086744636,7.862802551387643,9.207547643504139,7.278101250034205,8.772898889979318,6.43047356726304,8.815225625788973
Bootstrap PF,boot,9765625,3125,2.1,5,1,2019-01-31T19:11:37.159,5,10.701160368915799,86.95418096,0,,304.79555304406057,310.2188299152238,0.04394818129547618,-5.467225052458734,0.22988652114442765,-0.946545075600568,-0.7265703645704118,0.3050270381572311,0.9782631072454446,0.24307710899818757,0.2953864952288698,0.24047864093424395,0.2199393455209832,0.21216259008043536,0.07578475774486067,0.10493323398034433,0.10958092247375385,0.08511508345741871,-0.1733435789610166,-0.14839972276389043,-0.13092057087816383,8.828636715255447,7.898469431353639,6.981738887438552,7.338665637928295,8.37890514210537,8.123883452837457,7.236536701120878,5.205074643701282,6.9975908470549975,10.896016503269173
Bootstrap PF,boot,9765625,3125,2.1,5,1,2019-01-31T19:11:37.159,6,8.373496668835017,85.83573429,0,,419.9713443678409,425.3862919415286,0.18094361507744666,-5.595891188765165,-0.7537707208970765,-1.1952810778361105,-0.14176797743278957,0.7964975861184529,0.6874348351431046,0.3096140795783938,0.3199514254384219,0.2583275738059774,0.22104796309652122,0.23446190582341553,0.09363893928929999,0.14530321539087057,0.1191818982328196,0.046258081913664595,-0.18053748468714495,-0.1241627235603987,-0.17439649760645237,8.793793481298158,7.044508769103447,6.532567780938948,7.764581376989653,9.135287537805809,7.397076682347881,4.347985889970985,6.771197243348442,6.722223123671964,8.022749647185975
Bootstrap PF,boot,9765625,3125,2.1,5,1,2019-01-31T19:11:37.159,7,10.770372902039838,88.341006672,0,,514.6036031824707,519.7420185545159,0.6800251504767292,-5.818440522521869,-0.3121887722277892,0.09317384962061315,0.32898031716157483,0.2100427943488583,-0.20530295805378707,0.29805095174783636,0.2966053366362781,0.22506358452041028,0.19075583209116828,0.2216698752895571,0.10308271768894714,0.13766994848270925,0.092246663806573,0.03411592605003828,-0.14889486181388767,-0.1165859804038228,-0.17074967464246824,7.9512115023434715,5.833350110280338,6.5046191416478045,8.737611771241408,9.877873429949151,9.319773969175602,7.2446134459606,7.999673915099634,8.791769739317537,11.035460548299014
Bootstrap PF,boot,9765625,3125,2.1,5,1,2019-01-31T19:11:37.159,8,9.224285734773355,90.822398487,0,,415.89664306805076,421.4401308503384,0.1657789547846365,-5.709266737072231,0.6916008358162564,0.8773252093629313,0.2769483991723867,-0.5583687364068108,-0.5201838522128899,0.33973709477980446,0.28225889561509293,0.2131557280997357,0.18400375183246848,0.2590984463721517,0.12823339683079693,0.14104451491709713,0.06905123831248552,0.016730487361263972,-0.12746173329249952,-0.12204275990137055,-0.19995922397142044,5.931460493357092,4.817795272003037,7.173621357030733,10.257510372281125,9.911907034179315,7.456105511407756,5.493635708911125,7.515493261790113,9.124855329054023,9.05435906178566
Bootstrap PF,boot,9765625,3125,2.1,5,1,2019-01-31T19:11:37.159,9,7.574904047323717,85.466699811,0,,592.7424748032587,598.7676855625202,0.01322714515736917,-6.0384379044188154,1.1015365532446344,0.8235798901607074,0.2179448830480606,-0.7446942279092283,-0.1426864975848181,0.34347386129040985,0.2190519057277579,0.1844596597703507,0.17266664003948445,0.33980557631488667,0.1623451899143736,0.12565367071353756,0.010355928985227515,0.00868512506662575,-0.05923611566793928,-0.13657501138862593,-0.22688091371675081,3.1507820727124347,4.623238846056309,8.679557335776115,11.885644386479276,8.04251023915629,4.381637889976655,5.387883058035678,8.809512133959016,11.782551331952252,7.477305164985486
Bootstrap PF,boot,9765625,3125,2.1,5,1,2019-01-31T19:11:37.159,10,2.384868002218984,84.406498695,0,,563.6975904236423,569.7325324561145,0.1557899267877512,-6.190731959260033,0.5746003690352512,0.46775390714590515,0.1781403230204308,-0.5061200053893948,0.046677454073378755,0.26051406087310097,0.18572657509398113,0.1452800331903449,0.21876687892595587,0.4485850050330847,0.19603173233292673,0.09019663482678904,-0.07860560471437503,0.05470706492494018,0.02410419203144401,-0.17859244180829448,-0.2012993855555661,1.2061989996356013,5.108340880784158,11.05273725427224,12.215327003092343,3.4246644318963435,1.3813646556038932,5.030923317175956,10.046490729977194,11.569819184369306,2.2049506880318255
