model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,8,1,1,,,,,0,,,,,0,none,,,,none,,,25.03625558715116,0,,,,
observed,8,1,1,,,,,0,,,,,0,none,,,,none,,,24.289345875971343,0,,,,
ideal,8,1,1,400,32000,160000,0,0,,,,,0,none,,,0.6591781176333033,none,,,24,1.2000000000000002,,,,
particle,8,1,1,400,32000,160000,0,0,1921602245089039e-20,0.001969341986916895,1912594753322692e-21,-0.0019520385592193272,0,none,,,0.6526655976068362,none,,,24.004169166998217,1.1959483758732057,,,,
franken,8,1,1,400,32000,160000,0,0,0.00010941070057001725,-0.005320354585982234,10005324639082255e-21,0.005419759961913169,0,none,,,0.6525958987317951,none,,5,23.99452039513578,1.1988797329768301,Inf,Inf,10058074963299852e-21,0.0033631687410421054
truth,8,1,2,,,,,0,,,,,0,none,,,,none,,,153.05201876106315,0,,,,
observed,8,1,2,,,,,0,3767010696781995e-20,2220446049250313e-31,376701069675979e-19,0,0,none,,,,none,,,153.12620153427915,30,,,,
ideal,8,1,2,400,32000,160000,0,0,0.0034554924161491196,0.01769916157604534,12149757038263662e-21,-0.014255818916934487,0,none,,,0.18884345449331658,none,,,153.12719854746194,0.2993935527851814,,,,
particle,8,1,2,400,32000,160000,0,0,-98850652384706e5,-98850652384706e5,0.00011644694143289882,0,0,none,19.586577625,,1.340011437391199,none,,,154.46227605298975,0.00016482562392227572,,,,
franken,8,1,2,400,32000,160000,0,0,NaN,NaN,NaN,NaN,0,none,1.025503744,,NaN,none,,5,NaN,NaN,,,,
truth,8,1,3,,,,,0,,,,,0,none,,,,none,,,38710.332909629775,0,,,,
observed,8,1,3,,,,,0,0.2776928182556728,-2220446049250313e-31,0.27769281825567305,0,0,none,,,,none,,,38709.99161909191,30,,,,
ideal,8,1,3,400,32000,160000,1,0,0.002730345130110525,0.04972462737728156,8034859242316161e-21,-0.04700231710641335,0,none,,,1.3747500981106426,none,,,38712.200157426734,0.29670329670329565,,,,
particle,8,1,3,400,32000,160000,1,0,NaN,NaN,NaN,NaN,0,none,23.511729701,,NaN,none,,,NaN,NaN,,,,
franken,8,1,3,400,32000,160000,1,0,NaN,NaN,NaN,NaN,0,none,0.266100431,,NaN,none,,5,NaN,NaN,,,,
truth,8,1,4,,,,,0,,,,,0,none,,,,none,,,495176530971.22144,0,,,,
observed,8,1,4,,,,,0,24575406063.6455,-2220446049250313e-31,24575406063.6455,0,0,none,,,,none,,,495176530972.4646,30,,,,
ideal,8,1,4,400,32000,160000,1,0,0.003474801210832698,-0.013245064717072985,14196326172894803e-21,0.016705669601732788,0,none,,,124242448925.39204,none,,,495177224360.85657,0.29670329670329565,,,,
particle,8,1,4,400,32000,160000,1,0,NaN,NaN,NaN,NaN,0,none,0.390557046,,NaN,none,,,NaN,NaN,,,,
franken,8,1,4,400,32000,160000,1,0,NaN,NaN,NaN,NaN,0,none,0.105699999,,NaN,none,,5,NaN,NaN,,,,
truth,8,1,5,,,,,0,,,,,0,none,,,,none,,,113054993818501e19,0,,,,
observed,8,1,5,,,,,0,17364609254094908e34,-2220446049250313e-31,17364609254094908e34,0,0,none,,,,none,,,113054993818501e19,30,,,,
ideal,8,1,5,400,32000,160000,1,0,4052156154692829e60,499998.5,4052156154692829e60,0,0,none,,,8778774678458931e35,none,,,11305500058567404e17,0.29670329670329565,,,,
particle,8,1,5,400,32000,160000,1,0,NaN,NaN,NaN,NaN,0,none,0.476961821,,NaN,none,,,NaN,NaN,,,,
franken,8,1,5,400,32000,160000,1,0,NaN,NaN,NaN,NaN,0,none,0.067146928,,NaN,none,,5,NaN,NaN,,,,
truth,8,1,6,,,,,0,,,,,0,none,,,,none,,,2148054465205065e82,0,,,,
observed,8,1,6,,,,,0,12967132237267852e160,-2220446049250313e-31,12967132237267852e160,0,0,none,,,,none,,,2148054465205065e82,30,,,,
ideal,8,1,6,400,32000,160000,1,0,Inf,499998.5,Inf,0,0,none,,,6555605742174348e161,none,,,2148054469036933e82,0.29670329670329565,,,,
