model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,9,1,1,,,,,0,,,,,0,none,,,,none,,,22.320712817712163,0,,,,
observed,9,1,1,,,,,0,,,,,0,none,,,,none,,,22.60597498356384,0,,,,
ideal,9,1,1,800,128000,1600,0,0,,,,,0,none,,,0.7608414622642439,none,,,24,1.2000000000000002,,,,
particle,9,1,1,800,128000,1600,0,0,0.004068381833564529,0.009835195739745894,0.0003242333282830251,-0.00609104723446439,0,none,,,0.7640555060043056,none,,,24.04381917875855,1.1536654646764508,,,,
franken,9,1,1,800,128000,1600,0,0,3309748555163465e-20,-0.0034207238367394144,328205290829303e-20,0.003450539269382756,0,none,,,0.7581374384778955,none,,4,23.99362489681021,1.2082318811883235,4077689870329534e-20,-0.0033895174814508877,48877546097472194e-22,0.003425406625544436
truth,9,1,2,,,,,0,,,,,0,none,,,,none,,,132.31931826207526,0,,,,
observed,9,1,2,,,,,0,0.031032030628432718,0,0.031032030628432718,0,0,none,,,,none,,,132.48123084283569,60,,,,
ideal,9,1,2,800,128000,1600,0,0,0.002481582008304411,-0.004032842254013828,8330855952709927e-21,0.006506093406365529,0,none,,,0.48110642406217824,none,,,132.59790912547197,0.14917127071823266,,,,
particle,9,1,2,800,128000,1600,0,0,8040361404928483e125,8040361404928483e125,3472221793937605e-43,0,0,none,0.122215515,,10.204717653045991,none,,,136.8923876656235,25083756970104808e-148,,,,
franken,9,1,2,800,128000,1600,0,0,NaN,NaN,NaN,NaN,0,none,28.429021599,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,3,,,,,0,,,,,0,none,,,,none,,,29967.18305736942,0,,,,
observed,9,1,3,,,,,0,2.73644901689853,0,2.73644901689853,0,0,none,,,,none,,,29967.81156226857,60,,,,
ideal,9,1,3,800,128000,1600,1,0,0.004629990096072285,0.03762651463804908,4685822652606028e-20,-0.03304338276850285,0,none,,,4.308595372083867,none,,,29968.69428931747,0.14917127071823266,,,,
particle,9,1,3,800,128000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.006760327,,NaN,none,,,NaN,NaN,,,,
franken,9,1,3,800,128000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.731747922,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,4,,,,,0,,,,,0,none,,,,none,,,351571124218.3497,0,,,,
observed,9,1,4,,,,,0,589157350446.5911,0,589157350446.5911,0,0,none,,,,none,,,351571124217.97205,60,,,,
ideal,9,1,4,800,128000,1600,1,0,0.0032107962955572346,-0.01521728858058243,0.0001266517510937995,0.018301433125045865,0,none,,,595184274756.1353,none,,,351571679411.4925,0.14917127071823266,,,,
particle,9,1,4,800,128000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.004770982,,NaN,none,,,NaN,NaN,,,,
franken,9,1,4,800,128000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.431940048,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,5,,,,,0,,,,,0,none,,,,none,,,5163442321650083e17,0,,,,
observed,9,1,5,,,,,0,25750957079789965e34,0,25750957079789965e34,0,0,none,,,,none,,,5163442321650083e17,60,,,,
