model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,20,1,1,,,,,0,,,,,0,none,,,,none,,,22.567779818823396,0.0,,,,
observed,20,1,1,,,,,0,,,,,0,none,,,,none,,,22.790836712990917,0.0,,,,
ideal,20,1,1,200,20000,1600,0,0,,,,,0,none,,,0.6667663302324564,none,,,24.0,1.2000000000000002,,,,
particle,20,1,1,200,20000,1600,0,0,0.0027440487697423647,0.006771235724683899,0.00021898388965148254,-0.004246170844593019,0,none,,,0.6798409773547894,none,,,23.97256041728331,1.1540636099354995,,,,
franken,20,1,1,200,20000,1600,0,0,0.00017766587707503836,-0.0009937624472387367,8.512508860434186e-6,0.001162915815453341,0,none,,,0.6813028399117841,none,,5,23.98608616282719,1.2100340540639365,0.00024260012263876084,0.00143851105826589,1.0653372996949961e-5,-0.001206564308624079
truth,20,1,2,,,,,0,,,,,0,none,,,,none,,,24.42219825802623,0.0,,,,
observed,20,1,2,,,,,0,4.19894746619322,0.0,4.19894746619322,0.0,0,none,,,,none,,,24.27381687569951,75.0,,,,
ideal,20,1,2,200,20000,1600,0,0,0.00308601600443832,-0.0001334316474380278,0.0008367789242779482,0.0023826687275984,0,none,,,1.666597603645065,none,,,24.272605296603494,0.11946902654866776,,,,
particle,20,1,2,200,20000,1600,0,0,Inf,Inf,1.482855676937205e-29,0.0,0,none,0.098027903,,2.9468919289348623,none,,,26.257176556285835,0.0,,,,
franken,20,1,2,200,20000,1600,0,0,1.6549033168836135e13,1.6549033168862656e13,0.34221582710198156,-26.86377347685946,0,none,4.304793366,,3.6583400254074765,none,,5,25.621041809093434,0.005501594365818631,,,,
model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,20,1,1,,,,,0,,,,,0,none,,,,none,,,23.317693767527928,0.0,,,,
observed,20,1,1,,,,,0,,,,,0,none,,,,none,,,23.274541247634982,0.0,,,,
ideal,20,1,1,200,20000,1600,0,0,,,,,0,none,,,1.1619420499815107,none,,,24.0,1.2000000000000002,,,,
particle,20,1,1,200,20000,1600,0,0,0.002953759570138275,-0.02515436523210677,0.0002732837451954169,0.02783484105704963,0,none,,,1.182678310857155,none,,,24.015827014763772,1.1896696945166014,,,,
franken,20,1,1,200,20000,1600,0,0,0.00013037743268428224,0.0015475403595319366,1.3459190819059009e-5,-0.0014306221176667135,0,none,,,1.1720318207915192,none,,5,23.99882639481571,1.206198225791137,0.00016286465437671902,0.0008146307687168619,1.6441071878028954e-5,-0.0006682071862181716
truth,20,1,2,,,,,0,,,,,0,none,,,,none,,,5.284140472870662,0.0,,,,
observed,20,1,2,,,,,0,0.8583271102991386,0.0,0.8583271102991386,0.0,0,none,,,,none,,,5.337420495622542,75.0,,,,
ideal,20,1,2,200,20000,1600,0,0,0.005430128860069757,0.01801764781374582,0.001580034871172379,-0.014167553824848439,0,none,,,1.6370808660392715,none,,,5.419998281040139,0.11946902654866776,,,,
particle,20,1,2,200,20000,1600,0,0,NaN,NaN,NaN,NaN,0,none,0.092543794,,NaN,none,,,NaN,NaN,,,,
franken,20,1,2,200,20000,1600,0,0,-1.9617829645449052e20,-1.9617829645449052e20,32.46545131343616,-27.68727221247334,0,none,4.113778048,,2.924349328542182,none,,5,8.18406413620953,8.824138677046538e-8,,,,
truth,20,1,3,,,,,0,,,,,0,none,,,,none,,,-0.6183539496924322,0.0,,,,
observed,20,1,3,,,,,0,0.23101750479759278,0.0,0.23101750479759278,0.0,0,none,,,,none,,,-0.07347010255514785,75.0,,,,
ideal,20,1,3,200,20000,1600,1,0,0.0044059484200331825,0.009011647898349443,0.00010896438402986316,-0.0047146638623461225,0,none,,,0.7544783951795281,none,,,0.001571616033164247,0.11946902654866776,,,,
particle,20,1,3,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.114216586,,NaN,none,,,NaN,NaN,,,,
franken,20,1,3,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,3.997656117,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,4,,,,,0,,,,,0,none,,,,none,,,1.7012330507201487,0.0,,,,
observed,20,1,4,,,,,0,0.18650930666745988,0.0,0.18650930666745988,0.0,0,none,,,,none,,,1.4645865669881877,75.0,,,,
ideal,20,1,4,200,20000,1600,1,0,0.005699322294864505,0.006395355045436942,0.002833141098406496,-0.0035291738489789336,0,none,,,0.744404798268895,none,,,1.4927703619342854,0.11946902654866776,,,,
particle,20,1,4,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.127851636,,NaN,none,,,NaN,NaN,,,,
franken,20,1,4,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,3.988315239,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,5,,,,,0,,,,,0,none,,,,none,,,7.325987513360399,0.0,,,,
observed,20,1,5,,,,,0,0.019338210420108574,0.0,0.019338210420108574,0.0,0,none,,,,none,,,7.040544637105938,75.0,,,,
ideal,20,1,5,200,20000,1600,1,0,0.00368063310103661,-0.015220916306154297,0.00042001943589728934,0.018481529971293615,0,none,,,0.6388799744105346,none,,,7.0396299937462805,0.11946902654866776,,,,
