model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,20,1,1,,,,,0,,,,,0,none,,,,none,,,24.92088177331614,0.0,,,,
observed,20,1,1,,,,,0,,,,,0,none,,,,none,,,24.66630382562445,0.0,,,,
ideal,20,1,1,200,20000,1600,0,0,,,,,0,none,,,0.7336426778262183,none,,,24.0,1.2000000000000002,,,,
particle,20,1,1,200,20000,1600,0,0,0.003546318248932613,-8.967208894881118e-5,0.0003192457050812979,0.003316744632800127,0,none,,,0.7421642666092242,none,,,23.95339843570213,1.1749644559771601,,,,
franken,20,1,1,200,20000,1600,0,0,0.00019336950896575773,0.004790720087078371,4.750560456727083e-6,-0.00460210113856934,0,none,,,0.7373630340961729,none,,5,23.99601198876323,1.1768249469271461,0.00020229965670367787,0.00316137364672775,6.018537219271632e-6,-0.0029650925272433444
truth,20,1,2,,,,,0,,,,,0,none,,,,none,,,-4.708211179628659,0.0,,,,
observed,20,1,2,,,,,0,0.07536979816543578,0.0,0.07536979816543578,0.0,0,none,,,,none,,,-4.858554637888661,75.0,,,,
ideal,20,1,2,200,20000,1600,0,0,0.003379718125971712,0.0001705088303389409,0.0003587928235108209,0.00285041647212195,0,none,,,1.2850064781556916,none,,,-4.730861918251989,0.11946902654866776,,,,
particle,20,1,2,200,20000,1600,0,0,NaN,NaN,NaN,NaN,0,none,0.149437884,,NaN,none,,,NaN,NaN,,,,
franken,20,1,2,200,20000,1600,0,0,4.310868286924406e17,4.310868286924406e17,0.10031308037328963,-22.896547242649405,0,none,6.48661868,,6.292401946755098,none,,5,-6.100682250855626,0.0005530363563572893,,,,
truth,20,1,3,,,,,0,,,,,0,none,,,,none,,,0.782144050981312,0.0,,,,
observed,20,1,3,,,,,0,0.40984250058537636,0.0,0.40984250058537636,0.0,0,none,,,,none,,,0.9327211532449332,75.0,,,,
ideal,20,1,3,200,20000,1600,1,0,0.0045584863134072754,0.03172018650391998,0.0006475406291562649,-0.02780924081966897,0,none,,,1.0469608876214485,none,,,0.9473347484914179,0.11946902654866776,,,,
particle,20,1,3,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.158126274,,NaN,none,,,NaN,NaN,,,,
franken,20,1,3,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,6.472530152,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,4,,,,,0,,,,,0,none,,,,none,,,14.631284843172082,0.0,,,,
observed,20,1,4,,,,,0,0.8641226584135341,0.0,0.8641226584135341,0.0,0,none,,,,none,,,15.177650628662708,75.0,,,,
ideal,20,1,4,200,20000,1600,1,0,0.0025329234727198054,0.028038373339071887,0.0005828308540334444,-0.026088280720385524,0,none,,,0.6372811131518207,none,,,15.194406637409443,0.11946902654866776,,,,
particle,20,1,4,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.139920335,,NaN,none,,,NaN,NaN,,,,
franken,20,1,4,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,6.59411238,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,5,,,,,0,,,,,0,none,,,,none,,,3.560978170795422,0.0,,,,
observed,20,1,5,,,,,0,0.1762818610666967,0.0,0.1762818610666967,0.0,0,none,,,,none,,,4.060674537584816,75.0,,,,
ideal,20,1,5,200,20000,1600,1,0,0.003859945442897068,0.023440747084243412,0.0010661292929678998,-0.020646930934314234,0,none,,,0.7957265203806215,none,,,4.069814824081426,0.11946902654866776,,,,
particle,20,1,5,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.149717767,,NaN,none,,,NaN,NaN,,,,
franken,20,1,5,200,20000,1600,1,0,Inf,Inf,0.001242194550824139,-7.195930360557907,0,none,6.412798454,,9.927905663717045,none,,5,-3.9040387029617563,0.00035817291878598395,,,,
truth,20,1,6,,,,,0,,,,,0,none,,,,none,,,1.8142843327084774,0.0,,,,
observed,20,1,6,,,,,0,0.4748285273095766,0.0,0.4748285273095766,0.0,0,none,,,,none,,,1.7584912065875655,75.0,,,,
ideal,20,1,6,200,20000,1600,1,0,0.0025641121017717177,-0.020883288327260534,9.751570828281451e-5,0.023349884720749437,0,none,,,0.6302174531771144,none,,,1.762632493193295,0.11946902654866776,,,,
particle,20,1,6,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.135658491,,NaN,none,,,NaN,NaN,,,,
franken,20,1,6,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,6.710120015,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,7,,,,,0,,,,,0,none,,,,none,,,-0.48373384557382426,0.0,,,,
observed,20,1,7,,,,,0,0.6025101151935639,0.0,0.6025101151935639,0.0,0,none,,,,none,,,0.2882548777028964,75.0,,,,
ideal,20,1,7,200,20000,1600,1,0,0.004691353935915511,0.005418176889904314,0.00030299117389194133,-0.0010298141278807446,0,none,,,0.9201618116162109,none,,,0.34614125802695916,0.11946902654866776,,,,
particle,20,1,7,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.149250763,,NaN,none,,,NaN,NaN,,,,
franken,20,1,7,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,6.600180937,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,8,,,,,0,,,,,0,none,,,,none,,,8.062632898535007,0.0,,,,
observed,20,1,8,,,,,0,0.1481863917686056,0.0,0.1481863917686056,0.0,0,none,,,,none,,,7.7691895119385865,75.0,,,,
ideal,20,1,8,200,20000,1600,1,0,0.004778308673702333,0.008174352045435854,0.0019207862082559867,-0.005316829579989509,0,none,,,0.6421233732915356,none,,,7.726823108179226,0.11946902654866776,,,,
particle,20,1,8,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.134398773,,NaN,none,,,NaN,NaN,,,,
franken,20,1,8,200,20000,1600,1,0,6.19602253666819e32,6.19602253666819e32,0.0452611776168035,-19.507861860483246,0,none,7.048126649,,8.452432721734302,none,,5,5.018681113040089,0.00584012288392441,,,,
truth,20,1,9,,,,,0,,,,,0,none,,,,none,,,17.96084196905252,0.0,,,,
observed,20,1,9,,,,,0,0.2590642784892479,0.0,0.2590642784892479,0.0,0,none,,,,none,,,18.199616238154437,75.0,,,,
ideal,20,1,9,200,20000,1600,1,0,0.004650966839992549,-0.005715442124721378,0.0029283134001575964,0.007438095564556331,0,none,,,0.5418416539359646,none,,,18.09973471081975,0.11946902654866776,,,,
particle,20,1,9,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.1493204,,NaN,none,,,NaN,NaN,,,,
franken,20,1,9,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,6.76633871,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,10,,,,,0,,,,,0,none,,,,none,,,6.582790776603596,0.0,,,,
observed,20,1,10,,,,,0,0.1978945480031955,0.0,0.1978945480031955,0.0,0,none,,,,none,,,6.5362801072126775,75.0,,,,
ideal,20,1,10,200,20000,1600,1,0,0.004172942012473697,0.009235112949482835,0.0017750145919107816,-0.00683718552891992,0,none,,,0.48327969461726844,none,,,6.543606302484754,0.11946902654866776,,,,
particle,20,1,10,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.149782169,,NaN,none,,,NaN,NaN,,,,
