model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,9,1,1,,,,,0,,,,,0,none,,,,none,,,23.28748090841228,0.0,,,,
observed,9,1,1,,,,,0,,,,,0,none,,,,none,,,23.28729750411177,0.0,,,,
ideal,9,1,1,200,1280,16,0,0,,,,,0,none,,,0.7279934356859006,none,,,24.0,1.2000000000000002,,,,
particle,9,1,1,200,1280,16,0,0,0.25622758549682983,0.48304906329139374,0.009408163643895682,-0.23622964143845965,0,none,,,0.8228004623841783,none,,,23.525737504075305,0.95728859323177,,,,
franken,9,1,1,200,1280,16,0,0,0.0033596644825573244,0.028539412659379353,0.0005688955937617053,-0.025748643770583734,0,none,,,0.7469844801314272,none,,5,23.948772357696928,1.1060220673659442,Inf,Inf,0.0005194332384895855,-0.041958597185501524
truth,9,1,2,,,,,0,,,,,0,none,,,,none,,,15.266918722992067,0.0,,,,
observed,9,1,2,,,,,0,4.316641005308176,0.0,4.316641005308176,0.0,0,none,,,,none,,,14.933050999569696,75.0,,,,
ideal,9,1,2,200,1280,16,0,0,0.0049842195196596805,0.023424602753950346,0.0014138218307050263,-0.019854205064995693,0,none,,,0.5571629892813119,none,,,14.97317024293443,0.11946902654866776,,,,
particle,9,1,2,200,1280,16,0,0,NaN,NaN,NaN,NaN,0,none,0.000822475,,NaN,none,,,NaN,NaN,,,,
franken,9,1,2,200,1280,16,0,0,NaN,NaN,NaN,NaN,0,none,0.119366642,,NaN,none,,5,NaN,NaN,,,,
truth,9,1,3,,,,,0,,,,,0,none,,,,none,,,-8.164457320841342,0.0,,,,
observed,9,1,3,,,,,0,3.665103082750319,0.0,3.665103082750319,0.0,0,none,,,,none,,,-8.817071621896208,75.0,,,,
ideal,9,1,3,200,1280,16,1,0,0.005866614367825803,0.0023545410189011276,0.0022376197745879738,0.0012744535743367015,0,none,,,1.2313943301053332,none,,,-8.731279022119642,0.11946902654866776,,,,
particle,9,1,3,200,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.000767915,,NaN,none,,,NaN,NaN,,,,
franken,9,1,3,200,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.168650773,,NaN,none,,5,NaN,NaN,,,,
truth,9,1,4,,,,,0,,,,,0,none,,,,none,,,4.9415737277783345,0.0,,,,
observed,9,1,4,,,,,0,0.3897880071922689,0.0,0.3897880071922689,0.0,0,none,,,,none,,,4.513468998657354,75.0,,,,
ideal,9,1,4,200,1280,16,1,0,0.0024599023801151697,-0.010494197829968336,0.0005230607212384201,0.012431039488845086,0,none,,,0.6028569102081596,none,,,4.567100278487913,0.11946902654866776,,,,
particle,9,1,4,200,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.000940662,,NaN,none,,,NaN,NaN,,,,
franken,9,1,4,200,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.114413231,,NaN,none,,5,NaN,NaN,,,,
truth,9,1,5,,,,,0,,,,,0,none,,,,none,,,6.295371962609176,0.0,,,,
observed,9,1,5,,,,,0,0.1922160875492862,0.0,0.1922160875492862,0.0,0,none,,,,none,,,6.184990046387684,75.0,,,,
ideal,9,1,5,200,1280,16,1,0,0.0045906592850166635,-0.016632045569671645,0.001762964209013007,0.0194597406456753,0,none,,,0.4732584404039808,none,,,6.191816054974564,0.11946902654866776,,,,
particle,9,1,5,200,1280,16,1,0,Inf,Inf,7.019000843445646e-32,0.0,0,none,0.000758244,,4.6971487385433495,none,,,6.5454483289709975,0.0,,,,
franken,9,1,5,200,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.08761177,,NaN,none,,5,NaN,NaN,,,,
finkel,9,1,2,200,1280,16,80,3131,3.592088059643778,-0.30595228948577474,3.5270856011192273,0.37095474801032524,10,bkf.SampleUniform,0.0,,89.01257752679383,bkf.MhSampled,1.0,,14.624041962005084,0.13760836873012783,,,,
finkel,9,1,3,200,1280,16,80,3210,0.968040299755765,-0.05170727165671677,0.8616437854732691,0.15810378593921282,10,bkf.SampleUniform,0.0,,48.73907205301936,bkf.MhSampled,1.0,,-8.660429103994352,0.13162322125427026,,,,
finkel,9,1,4,200,1280,16,80,3261,0.13830730602946445,-0.1605761993883077,0.03700557381835446,0.2618779315994177,10,bkf.SampleUniform,0.0,,45.83093769798893,bkf.MhSampled,1.0,,4.297410108229241,0.17106778452313393,,,,
finkel,9,1,5,200,1280,16,80,6705,0.6203838089044349,-0.23523031790029977,0.5392568849192235,0.31635724188551106,10,bkf.SampleUniform,0.0,,0.6312453829436343,bkf.MhSampled,1.0,,6.183134985721577,0.131420701220505,,,,
