model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,9,1,1,,,,,0,,,,,0,none,,,,none,,,23.847308089441366,0.0,,,,
observed,9,1,1,,,,,0,,,,,0,none,,,,none,,,23.846377200970842,0.0,,,,
ideal,9,1,1,80,1280,16,0,0,,,,,0,none,,,0.742306978958714,none,,,24.0,1.2000000000000002,,,,
particle,9,1,1,80,1280,16,0,0,0.5853625223475111,0.8482007824670026,0.03724115285672042,-0.30007941297621193,0,none,,,0.6745896791352605,none,,,23.3044561155686,1.252452293575398,,,,
franken,9,1,1,80,1280,16,0,0,0.0017710533909103706,-0.026195836709351033,0.00017791944284940904,0.027788970657411993,0,none,,,0.7375889259387939,none,,4,23.966282269697977,1.2844137008756766,0.0036427662335530905,-0.041357339263205506,0.00015055763871883588,0.04484954785803976
truth,9,1,2,,,,,0,,,,,0,none,,,,none,,,24.09888356272971,0.0,,,,
observed,9,1,2,,,,,0,0.0003108646061853211,0.0,0.0003108646061853211,0.0,0,none,,,,none,,,24.343543415310172,300.0,,,,
ideal,9,1,2,80,1280,16,0,0,0.002801150731284879,0.027126001485515916,1.5643974579463107e-5,-0.024340494728810502,0,none,,,0.3869117934487247,none,,,24.343162124061216,0.029966703662594796,,,,
particle,9,1,2,80,1280,16,0,0,-4.3638353202440503e20,-4.3638353202440503e20,1.552566632366769e-6,0.0,0,none,1.025052596,,0.8188679808641184,none,,,22.612849391104536,2.7685290413106396e-6,,,,
franken,9,1,2,80,1280,16,0,0,NaN,NaN,NaN,NaN,0,none,0.354605984,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,3,,,,,0,,,,,0,none,,,,none,,,29.21536763421776,0.0,,,,
observed,9,1,3,,,,,0,0.0010544658603404142,0.0,0.0010544658603404142,0.0,0,none,,,,none,,,29.59396630900196,300.0,,,,
ideal,9,1,3,80,1280,16,1,0,0.003021611236929874,-0.008639708802169613,0.00010652103605379904,0.011554799003045688,0,none,,,0.1431461433553231,none,,,29.59144466638944,0.029966703662594796,,,,
particle,9,1,3,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.007132162,,NaN,none,,,NaN,NaN,,,,
franken,9,1,3,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.050892288,,NaN,none,,4,NaN,NaN,,,,
