model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType
ideal,25,1,1,800,160,800,0,0,0.00469367406149716,0.006301309777003328,0.001998007062925679,-0.0036056427784318472,0,none,,,1.9131794442939876,none
particle,25,1,1,800,160,800,0,0,0.004901616747713968,0.03504026124043827,0.0015838808380547506,-0.03172252533077905,0,none,,,1.9000974451161634,none
franken,25,1,1,800,160,800,0,0,0.026544291136519738,0.02123367697655329,0.012255220731961926,-0.006944606571995481,0,none,,,1.9977559103390352,none
ideal,25,1,2,800,160,800,0,0,0.005614946970957307,-0.004869422675520735,0.002326861963373621,0.008157507683104422,0,none,,,1.703096787339152,none
particle,25,1,2,800,160,800,0,0,2.783470109094103,-0.6728523602184538,2.366621296746841,1.0897011725657153,0,none,0.142216275,,2.7884341976183817,none
franken,25,1,2,800,160,800,0,0,2.806496616042587,-0.6742343440048072,2.368720745797409,1.112010214249986,0,none,0.272618332,,2.925221557684522,none
ideal,25,1,3,800,160,800,0,0,0.008440957819476498,-0.004231705414321468,0.004442267042199957,0.008230396191598007,0,none,,,2.4528551227638,none
particle,25,1,3,800,160,800,0,0,2.194001936409671,-0.27720308847273434,1.7969564971337697,0.6742485277486353,0,none,0.009772584,,3.7386538177292157,none
franken,25,1,3,800,160,800,0,0,2.0990844383398723,-0.26241562871898094,1.7139145742812916,0.6475854927775617,0,none,0.005647119,,3.2028341974914882,none
ideal,25,1,4,800,160,800,0,0,0.0054207171872705205,0.03588427271929284,0.002181851891192835,-0.03264540742321516,0,none,,,2.5048884778282763,none
particle,25,1,4,800,160,800,0,0,3.9249529057335084,-0.22441498432470228,3.5015968828014556,0.6477710072567555,0,none,0.016870699,,4.5647047622807575,none
franken,25,1,4,800,160,800,0,0,2.3837160150729306,-0.2750263826958498,1.9765081659508026,0.6822342318179774,0,none,0.011986553,,3.612155274679993,none
ideal,25,1,5,800,160,800,0,0,0.008383153850314986,-0.011593743849299176,0.004313119160743293,0.015663778538870868,0,none,,,3.3147150192797605,none
particle,25,1,5,800,160,800,0,0,2.803901335325127,0.361372838273748,2.4017650376438486,0.0407634594075302,0,none,0.014553327,,3.310299040122432,none
franken,25,1,5,800,160,800,0,0,2.9477411913177565,-0.19212182112903156,2.5120976198860645,0.6277653925607233,0,none,0.001928824,,3.7820866008885163,none
ideal,25,1,6,800,160,800,0,0,0.008846949635849217,0.009983723991719956,0.0052879416830800595,-0.006424716038950799,0,none,,,4.085128749027674,none
particle,25,1,6,800,160,800,0,0,7.220498418186668,0.10136635100107469,6.794656350008896,0.3244757171766952,0,none,0.01095611,,6.534596822071065,none
franken,25,1,6,800,160,800,0,0,4.564903228530976,-0.18353398378029737,4.105734040403511,0.6427031719077622,0,none,0.001486278,,5.491853913674197,none
ideal,25,1,7,800,160,800,0,0,0.00440552584314392,-0.019422683533764168,0.0012218379553804357,0.02260637142152765,0,none,,,3.0619626220629614,none
particle,25,1,7,800,160,800,0,0,14.55632056309998,-0.25403832033425394,14.06380540348691,0.7465534799473232,0,none,0.028265222,,7.712283196129878,none
franken,25,1,7,800,160,800,0,0,6.922975166458931,-0.20478904518287647,6.466953208031583,0.6608110036102244,0,none,0.001210897,,5.431674318113697,none
ideal,25,1,8,800,160,800,0,0,0.00740206027048097,-0.0018874538774002747,0.005130829274894364,0.004158684872986883,0,none,,,3.0808768929843375,none
particle,25,1,8,800,160,800,0,0,26.863367966230054,-0.4134743882672546,26.284430799878937,0.9924115546183727,0,none,0.008788237,,5.744930664093086,none
franken,25,1,8,800,160,800,0,0,11.237639910111687,-0.24510630432208252,10.815783155808464,0.6669630586253046,0,none,0.001696227,,5.047946164608655,none
ideal,25,1,9,800,160,800,0,0,0.00431616782693474,0.0002923992362747485,0.001941233621693635,0.0020825349689663564,0,none,,,2.733374614680296,none
particle,25,1,9,800,160,800,0,0,12.192536448586914,0.3060967167744288,11.769792502820966,0.11664722899152119,0,none,0.008438348,,4.181183916951617,none
franken,25,1,9,800,160,800,0,0,13.772027226287,-0.2525248839911032,13.41047714815769,0.6140749621204122,0,none,0.001591479,,5.389692063126114,none
ideal,25,1,10,800,160,800,0,0,0.00577553043652697,0.0031530914085130257,0.002412818516102031,0.0002096205119119154,0,none,,,2.425841846685645,none
particle,25,1,10,800,160,800,0,0,8.099477145843704,0.4487690790510287,7.6330759019879295,0.017632164804744964,0,none,0.007702085,,5.736936677325451,none
franken,25,1,10,800,160,800,0,0,13.119613017061901,-0.1548667488975702,12.663457346703986,0.6110224192554828,0,none,0.001989122,,7.396858574886203,none
finkel,25,1,2,800,160,800,20,20303,0.2572316202564049,0.11102120415907052,0.22128514060629503,-0.07507472450896069,3,bkf.SampleUniform,65.463040654,,1.5208716067724897,bkf.MhSampled
finkel,25,1,3,800,160,800,20,19702,0.44490724453777236,0.13030977046281822,0.393708349588497,-0.07911087551354282,3,bkf.SampleUniform,43.886403517,,2.2724755696141945,bkf.MhSampled
finkel,25,1,4,800,160,800,20,16699,0.8676993853296153,0.11077880721865821,0.8104588757014093,-0.05353829759045199,3,bkf.SampleUniform,39.36596419,,2.7373767586998703,bkf.MhSampled
