model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType
ideal,25,1,1,80,32,160,0,0,0.004119687007957435,0.012444677488080147,0.0012178465550415666,-0.00954283703516428,0,none,,,1.9005926320813809,none
particle,25,1,1,80,32,160,0,0,0.03559167578320478,0.04333149200513889,0.014069179469471052,-0.021808995691405157,0,none,,,1.9188631315073514,none
franken,25,1,1,80,32,160,0,0,0.1891735564378052,0.22200675868279884,0.038937064454587174,-0.07177026669958082,0,none,,,1.8342733440990877,none
ideal,25,1,2,80,32,160,0,0,0.004298364590498934,-0.010506449735882273,0.0007114593736815053,0.014093354952699704,0,none,,,1.5598253649077676,none
particle,25,1,2,80,32,160,0,0,4.599384166227039,-0.6338516054007367,4.233668293357065,0.9995674782707112,0,none,0.126120319,,3.3915771420198433,none
franken,25,1,2,80,32,160,0,0,4.099810527199907,-0.44164252847093177,3.716513525625021,0.8249395300458177,0,none,0.207386359,,3.1053599949658026,none
ideal,25,1,3,80,32,160,1,0,0.003925527379204475,-0.006911488929656789,0.0015835933656621734,0.009253422943199089,0,none,,,1.6489832124359516,none
particle,25,1,3,80,32,160,1,0,1.541454077297479,-0.3203688651070217,1.2001517350641444,0.6616712073403561,0,none,0.001762029,,2.4400378517175443,none
franken,25,1,3,80,32,160,1,0,2.2450258273270944,0.034318708411095106,1.7933662791532294,0.4173408397627699,0,none,962635e-9,,2.2218043549460793,none
ideal,25,1,4,80,32,160,1,0,0.006198819791997077,-0.008265151343468752,0.002870292021369297,0.011593679114096533,0,none,,,1.52828806142579,none
particle,25,1,4,80,32,160,1,0,3.9067865375716124,-0.17011863909082736,3.5705965523019705,0.5063086243604689,0,none,0.001811726,,3.3919427463375307,none
franken,25,1,4,80,32,160,1,0,2.855235287184873,-0.28697605841659163,2.5452655659514125,0.5969457796500517,0,none,735098e-9,,3.121521403098265,none
ideal,25,1,5,80,32,160,1,0,0.002483079477127472,0.019644254646407622,0.0005849550246325802,-0.017746130193912732,0,none,,,1.6076332203462695,none
particle,25,1,5,80,32,160,1,0,3.3537309774183717,0.009139639245438924,3.048322158794024,0.2962691793789093,0,none,0.0027693,,3.1524535621089824,none
franken,25,1,5,80,32,160,1,0,1.3689266373863298,0.02520190928776625,0.933779866488758,0.4099448616098056,0,none,649534e-9,,2.468358922801151,none
ideal,25,1,6,80,32,160,1,0,0.004243178569254056,0.00224484029798927,0.0014657631916617036,0.0005325750796030823,0,none,,,2.348741330625995,none
particle,25,1,6,80,32,160,1,0,4.628961228847931,-0.19388152164096817,4.318236021239126,0.5046067292497732,0,none,0.002783872,,5.207420781020658,none
franken,25,1,6,80,32,160,1,0,3.6462065209481644,-0.11385139470864633,3.243488709965216,0.5165692056915941,0,none,0.001188452,,4.776649550817936,none
ideal,25,1,7,80,32,160,1,0,0.004736504327099897,0.025336356266375704,0.002592714798725259,-0.023192566738001068,0,none,,,2.543597329431904,none
particle,25,1,7,80,32,160,1,0,5.097744290569309,-0.2462192835127125,4.769551087967109,0.5744124861149118,0,none,0.004882167,,5.431725186154463,none
franken,25,1,7,80,32,160,1,0,3.6449090272357405,-0.3266898226090813,3.266711617393688,0.7048872324511333,0,none,0.0010245,,4.451499233846061,none
ideal,25,1,8,80,32,160,1,0,0.005688621192000642,0.009563943566055305,0.002487835719411869,-0.006363158093466531,0,none,,,1.8540302033368383,none
particle,25,1,8,80,32,160,1,0,6.911173855898594,-0.2579361602532469,6.61478330699874,0.5543267091531003,0,none,0.002695533,,5.189493871391802,none
franken,25,1,8,80,32,160,1,0,3.816901694001541,0.00995843401661646,3.4458832783854403,0.3610599815994845,0,none,0.001071085,,4.110319404618562,none
ideal,25,1,9,80,32,160,1,0,0.006485856173086852,-0.003972572488331549,0.00396590670119855,0.006492521960219854,0,none,,,2.3625950729651093,none
particle,25,1,9,80,32,160,1,0,8.184511852699377,-0.17490185107593584,7.8401960157161135,0.5192176880591994,0,none,0.001765064,,5.929280633630214,none
franken,25,1,9,80,32,160,1,0,8.43369015735321,-0.11495946833553586,8.143372744294085,0.40527688139466245,0,none,732186e-9,,5.416252772471171,none
ideal,25,1,10,80,32,160,1,0,0.004999356692504306,-0.009984443897450762,0.0027402766996696055,0.012243523890285461,0,none,,,2.4226635244916035,none
particle,25,1,10,80,32,160,1,0,15.226437533850737,-0.22601082885280355,14.859450586652171,0.5929977760513707,0,none,0.001927341,,5.824021771600191,none
franken,25,1,10,80,32,160,1,0,8.919901596431822,0.07831068972300889,8.515192910913388,0.3263979957954257,0,none,727148e-9,,4.771096500524416,none
model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType
ideal,25,1,1,80,32,160,0,0,0.005582567087878007,0.040588565375838825,0.0009154746245439568,-0.035921472912504776,0,none,,,1.7415318337555479,none
particle,25,1,1,80,32,160,0,0,0.02891817251612455,0.04908346568002489,0.009939946658114481,-0.030105239822014816,0,none,,,1.7765179635421038,none
franken,25,1,1,80,32,160,0,0,0.22519663609783563,0.34910384204759404,0.05271244214009383,-0.17661964808985223,0,none,,,1.8275519347135871,none
ideal,25,1,2,80,32,160,0,0,0.004623964160364565,-0.013627610536741303,0.0014170065915712177,0.016834568105534648,0,none,,,1.8947902115977868,none
particle,25,1,2,80,32,160,0,0,1.5185136243260797,-0.6050086027869358,1.1664414032817312,0.9570808238312841,0,none,0.098242048,,3.195840955488632,none
franken,25,1,2,80,32,160,0,0,2.1609532770937143,-0.4538278331058144,1.7896721163836224,0.8251089938159064,0,none,0.213235058,,3.2904456363164405,none
ideal,25,1,3,80,32,160,1,0,0.0036977670899610757,0.005647791133105845,0.001267049343504324,-0.0032170733866490934,0,none,,,1.7857813012661656,none
particle,25,1,3,80,32,160,1,0,3.8032377042658605,-0.2692223192205634,3.5064260294149836,0.5660339940714394,0,none,0.001223742,,3.9818878132142324,none
franken,25,1,3,80,32,160,1,0,4.906960172036747,-0.27778946869830845,4.611099117140335,0.5736505235947209,0,none,520801e-9,,3.735842280914484,none
ideal,25,1,4,80,32,160,1,0,0.005265561445039768,0.010550713995987615,0.002577537882859422,-0.00786269043380727,0,none,,,1.9049798983060093,none
particle,25,1,4,80,32,160,1,0,5.852966288217128,-0.028566118921341005,5.528090718358955,0.3534416887795142,0,none,0.001702575,,4.914825581720369,none
franken,25,1,4,80,32,160,1,0,2.269800611843718,-0.2589849807509693,1.9598884944352084,0.568897098159479,0,none,889311e-9,,3.0683517165820433,none
ideal,25,1,5,80,32,160,1,0,0.004670052084975254,0.009541128942087002,0.0021095591557183965,-0.006980636012830144,0,none,,,2.01357620874908,none
particle,25,1,5,80,32,160,1,0,4.768948115381968,-0.15732075026745004,4.42623957414005,0.5000292915093671,0,none,0.007160675,,4.309804708022606,none
franken,25,1,5,80,32,160,1,0,2.6482771254631423,-0.16019711604149559,2.3919085227216788,0.41656571878295845,0,none,457214e-9,,2.950123926117444,none
ideal,25,1,6,80,32,160,1,0,0.005053823288263965,0.009448435849113007,0.0022106958670349564,-0.006605308427883999,0,none,,,1.7574749620030576,none
particle,25,1,6,80,32,160,1,0,3.4364582349844253,-0.17898412311552434,3.14622765854665,0.46921469955329936,0,none,0.001531569,,3.5324752671207627,none
franken,25,1,6,80,32,160,1,0,1.9604471777657597,-0.1106320371964104,1.623361454236796,0.44771776072537406,0,none,686171e-9,,2.6189345326046776,none
ideal,25,1,7,80,32,160,1,0,0.006455874306002925,0.02320606146597104,0.0037204448808744652,-0.020470632040842582,0,none,,,2.204036191028953,none
particle,25,1,7,80,32,160,1,0,6.18837591534381,-0.24405223918476474,5.8931281468072685,0.5393000077213066,0,none,0.002660649,,5.27279523426295,none
franken,25,1,7,80,32,160,1,0,5.0786987571210656,0.027439658829880587,4.596224047456329,0.45503505083485535,0,none,0.001030879,,4.478141459389838,none
ideal,25,1,8,80,32,160,1,0,0.00642756725674893,0.016749751893317982,0.003132176548988885,-0.013454361185557937,0,none,,,2.3929249535311654,none
particle,25,1,8,80,32,160,1,0,4.709122727311969,-0.0021200778300279888,4.470853513501702,0.24038929164029424,0,none,0.002195419,,5.164298013255203,none
franken,25,1,8,80,32,160,1,0,8.588768335395885,0.061075433895179165,8.059945632810155,0.4677472686905512,0,none,0.004538026,,6.258167941743274,none
ideal,25,1,9,80,32,160,1,0,0.005325399945002652,0.006359503757390111,0.001643931238987153,-0.0026780350513746116,0,none,,,1.8310929279431036,none
particle,25,1,9,80,32,160,1,0,4.552959950615837,-0.13839090430101667,4.205278155335163,0.4860726995816911,0,none,0.001944531,,4.698674408796988,none
franken,25,1,9,80,32,160,1,0,7.952042292601512,-0.24381670557165888,7.5544170071671095,0.6414419910060624,0,none,0.001002232,,4.980850704106575,none
ideal,25,1,10,80,32,160,1,0,0.006171709662720878,0.002775405289558386,0.003082687955493966,0.00031361641766852657,0,none,,,1.9022884284900776,none
particle,25,1,10,80,32,160,1,0,5.913699758792093,-0.2463781028778698,5.601592253185147,0.5584856084848149,0,none,0.003708887,,5.1787658119772155,none
franken,25,1,10,80,32,160,1,0,7.331948551145969,0.00361292763513843,6.913283863291557,0.41505176021927487,0,none,0.00330645,,5.364885956789892,none
finkel,25,1,2,80,32,160,40,42014,0.24981159059240174,-0.31121960630768886,0.13780564029071457,0.423225556609376,3,bkf.SampleUniform,8.311875599,,2.2649757857750843,bkf.MhSampled,true
finkel,25,1,3,80,32,160,40,35000,1.269210810507178,-0.18423334195057128,1.1173727798152266,0.33607137264252257,3,bkf.SampleUniform,2.404261218,,2.092259330612278,bkf.MhSampled,true
finkel,25,1,4,80,32,160,40,38264,1.1929452343920368,-0.3126005689918666,1.047527242811686,0.45801856057221746,3,bkf.SampleUniform,1.981823742,,2.6271650322561837,bkf.MhSampled,true
finkel,25,1,5,80,32,160,40,38990,0.9807310414443872,-0.2536873907627071,0.8250673900670265,0.4093510421400678,3,bkf.SampleUniform,1.727968015,,2.4707112339456447,bkf.MhSampled,true
finkel,25,1,6,80,32,160,40,37605,0.6900028353727458,-0.20761860965974932,0.5591686572306545,0.3384527878018407,3,bkf.SampleUniform,1.940578529,,2.4446853684243623,bkf.MhSampled,true
finkel,25,1,7,80,32,160,40,35451,1.5861205026591634,-0.2836703156545311,1.399059984368996,0.4707308339446986,3,bkf.SampleUniform,1.823889556,,3.066023080742906,bkf.MhSampled,true
finkel,25,1,8,80,32,160,40,31729,1.1017986971153984,-0.4203787328232269,0.8996037754611017,0.6225736544775234,3,bkf.SampleUniform,2.339658924,,3.8731335234902504,bkf.MhSampled,true
finkel,25,1,9,80,32,160,40,30433,0.8303870006280312,-0.10211109359992968,0.5349374758015061,0.3975606184264548,3,bkf.SampleUniform,2.323233321,,3.0210337380433128,bkf.MhSampled,true
finkel,25,1,10,80,32,160,40,31096,1.3368540392809007,-0.2351654761359359,1.0675898814813574,0.504429633935479,3,bkf.SampleUniform,2.188341859,,3.153850714345489,bkf.MhSampled,true
finkel,25,1,2,80,32,160,40,48897,0.2991321418697491,-0.1602672313480559,0.18212995394727646,0.2772694192705286,9,bkf.SampleUniform,2.199863836,,2.1062593534270646,bkf.MhSampled,true
finkel,25,1,3,80,32,160,40,41913,1.23954747242526,-0.11478659076516443,1.0644106970148317,0.2899233661755929,9,bkf.SampleUniform,2.176203827,,2.0163247349483333,bkf.MhSampled,true
finkel,25,1,4,80,32,160,40,43514,0.9060292005409989,-0.3388520414139495,0.77497847443371,0.4699027675212382,9,bkf.SampleUniform,2.000327493,,2.584415080901534,bkf.MhSampled,true
finkel,25,1,5,80,32,160,40,44934,0.5599453502499243,-0.24518971839083223,0.42224055232594604,0.38289451631481053,9,bkf.SampleUniform,1.975535054,,2.5223884145589803,bkf.MhSampled,true
finkel,25,1,6,80,32,160,40,44375,0.5082198370834756,-0.2535455295823982,0.3795414165697289,0.38222395009614485,9,bkf.SampleUniform,1.95145188,,2.373805759267616,bkf.MhSampled,true
finkel,25,1,7,80,32,160,40,42842,1.526464907202742,-0.17488054340575976,1.359991868738163,0.3413535818703389,9,bkf.SampleUniform,1.933343782,,3.0084339622053577,bkf.MhSampled,true
finkel,25,1,8,80,32,160,40,40118,1.427336223232782,-0.42066413559834026,1.2501346527099146,0.5978657061212078,9,bkf.SampleUniform,2.243098399,,3.787904600499801,bkf.MhSampled,true
finkel,25,1,9,80,32,160,40,41593,1.1142328690711192,-0.1562539144888686,0.8695972161647366,0.40088956739525117,9,bkf.SampleUniform,2.259179073,,3.024156893136719,bkf.MhSampled,true
finkel,25,1,10,80,32,160,40,41638,1.490617575980732,-0.18394255430776077,1.3165370447300038,0.35802308555848905,9,bkf.SampleUniform,2.074393989,,3.1229536582476434,bkf.MhSampled,true
finkel,25,1,2,80,32,160,10,5727,0.19208499337296714,-0.056766208568440446,0.09383042268888606,0.15502077925252153,3,bkf.SampleUniform,1.675506038,,1.9891112949565148,bkf.MhSampled,true
finkel,25,1,3,80,32,160,10,4439,1.4158302762065071,0.023579937756325664,1.2570643832878141,0.13518595516236742,3,bkf.SampleUniform,1.772494259,,2.075911420484161,bkf.MhSampled,true
finkel,25,1,4,80,32,160,10,5349,1.4929738159183032,-0.14780573928511215,1.3864684526533708,0.2543111025500444,3,bkf.SampleUniform,2.02777586,,2.2428306415211456,bkf.MhSampled,true
finkel,25,1,5,80,32,160,10,5027,0.9386835510356059,-0.1780317019816446,0.8221431025717864,0.2945721504454644,3,bkf.SampleUniform,1.805264875,,2.401545634229727,bkf.MhSampled,true
finkel,25,1,6,80,32,160,10,5178,1.0072619816340378,-0.14052811517108918,0.8857562562195859,0.262033840585541,3,bkf.SampleUniform,2.373398054,,2.2124137172165184,bkf.MhSampled,true
finkel,25,1,7,80,32,160,10,5223,1.8155745403471226,-0.12520496415556745,1.69407530398661,0.24670420051608002,3,bkf.SampleUniform,3.034495966,,2.5089760614279233,bkf.MhSampled,true
finkel,25,1,8,80,32,160,10,4839,2.348550888043217,-0.05427911251181869,2.2189046507679064,0.18392534978712965,3,bkf.SampleUniform,4.345750246,,3.498662272494878,bkf.MhSampled,true
finkel,25,1,9,80,32,160,10,4983,1.1321435436135456,0.06284456510080913,0.9771507176374484,0.09214826087528791,3,bkf.SampleUniform,2.039067633,,2.556909909943937,bkf.MhSampled,true
finkel,25,1,10,80,32,160,10,5291,1.4488269349160325,0.05434811618929086,1.309852759831502,0.08462605889523986,3,bkf.SampleUniform,1.756062777,,2.674722862295376,bkf.MhSampled,true
finkel,25,1,2,80,32,160,10,5954,0.27175175969804743,-0.07746250101095875,0.19243890547212017,0.15677535523688604,9,bkf.SampleUniform,1.887003471,,1.8681185040435437,bkf.MhSampled,true
finkel,25,1,3,80,32,160,10,5585,0.7728342769997315,0.06985821482509572,0.6259828272527684,0.07699323492186742,9,bkf.SampleUniform,1.899120266,,1.9293079627238998,bkf.MhSampled,true
finkel,25,1,4,80,32,160,10,5404,0.8830356542618323,-0.13319831213296135,0.758984646471287,0.2572493199235066,9,bkf.SampleUniform,1.646424076,,2.1891841800603506,bkf.MhSampled,true
finkel,25,1,5,80,32,160,10,5608,0.6181430241795907,-0.11673331826524436,0.5105114266746514,0.22436491577018366,9,bkf.SampleUniform,2.228485157,,2.4498319388431526,bkf.MhSampled,true
finkel,25,1,6,80,32,160,10,5586,0.8800143725229397,-0.09095944856243204,0.7608482551515319,0.2101255659338399,9,bkf.SampleUniform,1.988455635,,2.23375265982074,bkf.MhSampled,true
finkel,25,1,7,80,32,160,10,5256,1.3205487227498618,-0.1204234198343376,1.2022444285622975,0.2387277140219019,9,bkf.SampleUniform,1.751054311,,2.876050647330682,bkf.MhSampled,true
finkel,25,1,8,80,32,160,10,5719,1.1792272217269186,0.0014180064771088519,1.0280308984655109,0.14977831678429887,9,bkf.SampleUniform,1.733283126,,3.469918249441451,bkf.MhSampled,true
finkel,25,1,9,80,32,160,10,5670,1.0276657788491215,-0.006844036401371156,0.8330520115170146,0.20145780373347816,9,bkf.SampleUniform,1.678986225,,2.5647408889107512,bkf.MhSampled,true
finkel,25,1,10,80,32,160,10,5803,1.6120468841096685,0.04969295771720275,1.4713449434361943,0.09100898295627119,9,bkf.SampleUniform,2.019016891,,2.6109053057228526,bkf.MhSampled,true
finkel,25,1,2,80,32,160,5,1722,0.2470185039560988,0.0634053570744261,0.15181420924844713,0.03179893763322557,3,bkf.SampleUniform,1.663526666,,2.000108472983532,bkf.MhSampled,true
finkel,25,1,3,80,32,160,5,1692,0.866166050286051,0.16160653749319592,0.6598469236856996,0.04471258910715565,3,bkf.SampleUniform,1.6106577,,1.9235124720333285,bkf.MhSampled,true
finkel,25,1,4,80,32,160,5,1669,1.3536062238657305,-0.13166552224488035,1.223513588638634,0.2617581574719771,3,bkf.SampleUniform,1.50505952,,2.2443579792002764,bkf.MhSampled,true
finkel,25,1,5,80,32,160,5,1626,0.9640114335756707,-0.050929822229444865,0.841053936996838,0.1738873188082775,3,bkf.SampleUniform,1.544852701,,2.399801535760359,bkf.MhSampled,true
finkel,25,1,6,80,32,160,5,1462,0.9773941637424415,-0.11872245389807978,0.8445538643259056,0.2515627533146155,3,bkf.SampleUniform,1.594489607,,2.3122533527893094,bkf.MhSampled,true
finkel,25,1,7,80,32,160,5,1611,1.6957209901414432,-0.12750395135152548,1.5934608762516431,0.22976406524132556,3,bkf.SampleUniform,1.48198308,,2.8922117550664135,bkf.MhSampled,true
finkel,25,1,8,80,32,160,5,1562,2.132244129344652,0.11978751608065624,1.9470657964571394,0.06539081680685617,3,bkf.SampleUniform,1.634511388,,3.674102306665732,bkf.MhSampled,true
finkel,25,1,9,80,32,160,5,1530,1.1187965292952238,0.010947166432610927,0.999747844999596,0.10810151786301678,3,bkf.SampleUniform,1.63510968,,2.700885756304272,bkf.MhSampled,true
finkel,25,1,10,80,32,160,5,1567,1.8131056158708614,0.09410326691391885,1.7247782770162678,-0.005775928059325527,3,bkf.SampleUniform,2.054621786,,2.9012114118369188,bkf.MhSampled,true
finkel,25,1,2,80,32,160,5,1754,0.3234485156987263,0.03869332276138224,0.2352084144454293,0.04954677849191468,9,bkf.SampleUniform,1.827289137,,1.754412051041679,bkf.MhSampled,true
finkel,25,1,3,80,32,160,5,1834,0.7180172811757006,0.13021942921061616,0.5863655593424658,0.001432292622618474,9,bkf.SampleUniform,1.606773977,,1.8540234755804086,bkf.MhSampled,true
