model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize
ideal,25,1,1,80,32,160,0,0,0.0037064126257711633,0.014584058917845338,0.0013506215265146875,-0.012228267818588861,0,none,,,1.8266462067785774,none,,
particle,25,1,1,80,32,160,0,0,0.03832064911807477,0.057343804563430384,0.010083654956063344,-0.02910681040141895,0,none,,,1.8097736135362403,none,,
franken,25,1,1,80,32,160,0,0,0.18707756433750167,0.2613515543871626,0.057030450386149484,-0.1313044404358104,0,none,,,1.878865947902403,none,,4
ideal,25,1,2,80,32,160,0,0,0.005051491872383877,-0.0013541268255800043,0.0014309504243485325,0.004974668273615349,0,none,,,1.5387364722495571,none,,
particle,25,1,2,80,32,160,0,0,1.9525919828796479,-0.5539434832033229,1.687174470428328,0.819360995654643,0,none,0.259583607,,2.970523377741709,none,,
franken,25,1,2,80,32,160,0,0,NaN,NaN,NaN,NaN,0,none,0.353694316,,NaN,none,,4
ideal,25,1,3,80,32,160,1,0,0.0037260757635226133,-0.010505132692063407,0.0017065810378472932,0.012524627417738726,0,none,,,1.357960881855583,none,,
particle,25,1,3,80,32,160,1,0,1.0139949487807223,-0.4418529634153884,0.7449899706532127,0.7108579415428979,0,none,0.00512368,,2.425452453571847,none,,
franken,25,1,3,80,32,160,1,0,NaN,NaN,NaN,NaN,0,none,0.00111421,,NaN,none,,4
ideal,25,1,4,80,32,160,1,0,0.004336526186560455,0.009968465124255144,0.001001404963882126,-0.006633343901576816,0,none,,,1.6485609132466688,none,,
particle,25,1,4,80,32,160,1,0,1.3949658458399115,-0.26454041489001734,1.2017524926668437,0.4577537680630852,0,none,0.020344847,,2.175135826991949,none,,
franken,25,1,4,80,32,160,1,0,NaN,NaN,NaN,NaN,0,none,0.002061182,,NaN,none,,4
ideal,25,1,5,80,32,160,1,0,0.004474160522282716,0.01644013357158597,0.0011918339615329075,-0.01315780701083616,0,none,,,1.8917015152522496,none,,
particle,25,1,5,80,32,160,1,0,0.9274519812567008,-0.31149426831532534,0.7462562039093117,0.4926900456627147,0,none,0.002986636,,2.324246977787568,none,,
franken,25,1,5,80,32,160,1,0,NaN,NaN,NaN,NaN,0,none,0.001093964,,NaN,none,,4
ideal,25,1,6,80,32,160,1,0,0.005195162768189781,0.015201545495457103,0.002100054686497796,-0.012106437413765119,0,none,,,1.4427519345585373,none,,
particle,25,1,6,80,32,160,1,0,1.4198218302853278,-0.4080481645141727,1.1658589981068932,0.6620109966926074,0,none,0.006265265,,2.380985250026389,none,,
franken,25,1,6,80,32,160,1,0,NaN,NaN,NaN,NaN,0,none,0.002685024,,NaN,none,,4
ideal,25,1,7,80,32,160,1,0,0.0041466412759341865,-0.0062400739334508015,0.0011565940414411029,0.009230121167943885,0,none,,,2.2657185194642713,none,,
particle,25,1,7,80,32,160,1,0,1.0902623954193829,-0.4201480012862954,0.8536008380569481,0.6568095586487304,0,none,0.00256576,,2.890479608781685,none,,
franken,25,1,7,80,32,160,1,0,NaN,NaN,NaN,NaN,0,none,0.001288836,,NaN,none,,4
ideal,25,1,8,80,32,160,1,0,0.0037175924349190617,0.014037443572452152,0.0007697887965903722,-0.011089639934123464,0,none,,,2.5580383116844705,none,,
particle,25,1,8,80,32,160,1,0,1.3176601980320486,-0.3611963424512861,1.0930222836706813,0.5858342568126532,0,none,0.003513984,,3.664745448082653,none,,
franken,25,1,8,80,32,160,1,0,NaN,NaN,NaN,NaN,0,none,0.001043693,,NaN,none,,4
ideal,25,1,9,80,32,160,1,0,0.003629775108077085,-0.0030680181533745965,0.0004987555657000372,0.006199037695751643,0,none,,,2.5520313789359816,none,,
particle,25,1,9,80,32,160,1,0,1.9263505468603939,-0.4511341391542902,1.6524150094144974,0.7250696766001866,0,none,0.003676261,,3.806802053261797,none,,
franken,25,1,9,80,32,160,1,0,NaN,NaN,NaN,NaN,0,none,0.001497918,,NaN,none,,4
ideal,25,1,10,80,32,160,1,0,0.00426471550875286,0.017663991496500775,0.0010323045309981128,-0.014431580518746028,0,none,,,1.6100854980652684,none,,
particle,25,1,10,80,32,160,1,0,2.7914444367708193,-0.4174906324022674,2.506712968077136,0.7022221010959503,0,none,0.003381712,,2.7070683378109606,none,,
franken,25,1,10,80,32,160,1,0,NaN,NaN,NaN,NaN,0,none,908742e-9,,NaN,none,,4
