model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,60,1,1,,,,,0,,,,,0,none,,,,none,,,-1.9858887897491009,0
observed,60,1,1,,,,,0,,,,,0,none,,,,none,,,-2.9036377228843593,0
ideal,60,1,0,80,1280,160,0,0,,,,,0,none,,,1.950127571994637,none,,,0,3
particle,60,1,1,80,1280,160,0,0,0.028145934807552765,0.08633359916009388,0.00743994975223717,-0.06562761410477827,0,none,,,1.9211694327705935,none,,,-0.11275560756375977,3.169251485376023
franken,60,1,1,80,1280,160,0,0,0.003650343042589676,-0.0012125200565817119,0.0010495260902748708,0.0038133370088965176,0,none,,,1.9626028812999086,none,,4,-0.0019199584991890575,3.113036660510014
truth,60,1,2,,,,,0,,,,,0,none,,,,none,,,-1.3173906826474413,0
observed,60,1,2,,,,,0,,,,,0,none,,,,none,,,-2.256991275864828,0
ideal,60,1,2,80,1280,160,0,0,0.004054757138834586,0.02808644228437961,0.001169826517530863,-0.025201511663075882,0,none,,,1.5708310440827404,none,,,-2.018755230085354,2.9894398743051074
particle,60,1,2,80,1280,160,0,0,1.7011447219596871,-0.5492583200324854,1.4214040094447342,0.8289990325474383,0,none,0.194640806,,2.5532945061845873,none,,,-1.7147017268811662,0.03858080203070472
franken,60,1,2,80,1280,160,0,0,1.7439192070327312,-0.5822173823913557,1.462854427554113,0.863282161869974,0,none,0.25104601,,2.5492805690889115,none,,4,-1.8856411623798666,1.7544004810596237
truth,60,1,3,,,,,0,,,,,0,none,,,,none,,,-0.34438473241659695,0
observed,60,1,3,,,,,0,,,,,0,none,,,,none,,,-3.3792153082913394,0
ideal,60,1,3,80,1280,160,1,0,0.003941811527088571,-0.003822842225461498,0.0009262323735013173,0.006838421379048751,0,none,,,1.5343341678898201,none,,,-2.6731176299099872,3.1168404455330143
particle,60,1,3,80,1280,160,1,0,1.8637343865886404,-0.3193351645623038,1.6497003718778287,0.5333691792731151,0,none,0.004706424,,3.0764596883396704,none,,,0.8636608608155932,2.0352344480387057
franken,60,1,3,80,1280,160,1,0,1.1643509643124792,-0.4796722943102994,0.9147207899530075,0.7293024686697711,0,none,0.07747232,,2.6426015507415554,none,,4,-2.0541577517082055,1.806623580946738
truth,60,1,4,,,,,0,,,,,0,none,,,,none,,,-1.399828621055332,0
observed,60,1,4,,,,,0,,,,,0,none,,,,none,,,0.974869083058285,0
ideal,60,1,4,80,1280,160,1,0,0.0043478572456552445,-0.0011092038124247306,0.0015655291285886692,0.0038915319294913044,0,none,,,1.5451962464522913,none,,,-0.37716380994910664,3.154425739169827
particle,60,1,4,80,1280,160,1,0,2.1901885877896343,-0.41881563115020326,1.9384197232188485,0.6705844957209891,0,none,0.001822116,,3.0911227663576155,none,,,-0.5496127600216784,0.0020566078718022747
franken,60,1,4,80,1280,160,1,0,1.426695282947962,-0.4625080704831772,1.180023787020523,0.7091795664106164,0,none,0.060305766,,2.6639017661879683,none,,4,-0.19159398622611878,1.6560136721586036
truth,60,1,5,,,,,0,,,,,0,none,,,,none,,,-3.0142626319464774,0
observed,60,1,5,,,,,0,,,,,0,none,,,,none,,,-1.434953434136816,0
ideal,60,1,5,80,1280,160,1,0,0.0040574768840920565,0.003987884156493882,0.0014180647439604708,-0.0013484720163622957,0,none,,,1.4612456881949578,none,,,-1.8285525083358574,3.1641677242050235
particle,60,1,5,80,1280,160,1,0,2.2003663136783636,-0.299245284736684,2.0120975938882752,0.48751400452677257,0,none,0.002220004,,2.976637158048905,none,,,-2.930744543102352,0.3349416996017049
