model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,48,1,1,,,,,0,,,,,0,none,,,,none,,,-0.37471575260219137,0
observed,48,1,1,,,,,0,,,,,0,none,,,,none,,,-0.26600711333310834,0
ideal,48,1,1,100,5000,20000,0,0,,,,,0,none,,,1.764073074066998,none,,,0,3
particle,48,1,1,100,5000,20000,0,0,0.00021690489196857248,-0.0011833307606125831,669059960903371e-19,0.0013333296564908188,0,none,,,1.7764210481770333,none,,,-0.019930703377274397,3.009304894285901
franken,48,1,1,100,5000,20000,0,0,0.0008702716923594761,0.00445768922682073,0.0002735864212725818,-0.003861003955733836,0,none,,,1.778793778594231,none,,4,0.042607060317302436,3.0216274066522923
truth,48,1,2,,,,,0,,,,,0,none,,,,none,,,-0.12556451262723,0
observed,48,1,2,,,,,0,0.8506063157539477,0,0.8506063157539477,0,0,none,,,,none,,,1.9083310358330698,27
ideal,48,1,2,100,5000,20000,0,0,0.00453745256949235,0.012627395060286678,0.0014582203876015913,-0.00954816287839592,0,none,,,1.5069772696177373,none,,,1.3180021062439213,2.989318466860442
particle,48,1,2,100,5000,20000,0,0,2.117195840296281,-0.585673234611361,1.8352218750366829,0.8676471998709595,0,none,0.847465284,,1.443551788620255,none,,,1.548514725538305,0.44881163297874777
franken,48,1,2,100,5000,20000,0,0,2.150627439468664,-0.5855471576373907,1.8688574177853885,0.8673171793206658,0,none,0.64502573,,1.3028307731240913,none,,4,1.2948979974689183,1.941136827960916
truth,48,1,3,,,,,0,,,,,0,none,,,,none,,,-2.1447606316722574,0
observed,48,1,3,,,,,0,1.2171261401756464,0,1.2171261401756464,0,0,none,,,,none,,,-1.9419297438243164,27
ideal,48,1,3,100,5000,20000,1,0,0.003961782035708482,0.011516087728952101,0.001348948949580691,-0.00890325464282431,0,none,,,1.3149793323654846,none,,,-1.866269404541681,3.1166868507782306
particle,48,1,3,100,5000,20000,1,0,2.156142505719426,-0.4168820259900091,1.9382578934505497,0.6347666382588854,0,none,0.779407944,,1.2130632717198409,none,,,0.09359617336424762,1.1696673932196624
franken,48,1,3,100,5000,20000,1,0,1.6701071169353268,-0.4838037720365191,1.4215586923089054,0.7323521966629405,0,none,0.301129622,,1.10886324586238,none,,4,-1.450550837066021,1.8325967278255488
truth,48,1,4,,,,,0,,,,,0,none,,,,none,,,1.5918219981304136,0
observed,48,1,4,,,,,0,1.9459216491775424,0,1.9459216491775424,0,0,none,,,,none,,,2.8509424929375564,27
ideal,48,1,4,100,5000,20000,1,0,0.003927423349349976,0.010951816570731396,0.0006080846570850076,-0.007632477878466428,0,none,,,1.5368159332324252,none,,,-0.11950899370240844,3.154264455727636
particle,48,1,4,100,5000,20000,1,0,1.6909524728017886,-0.37266280393398654,1.4789093379389102,0.5847059387968649,0,none,0.494641444,,1.5531421814842459,none,,,-0.2966114730923651,1.0046765304982876
franken,48,1,4,100,5000,20000,1,0,1.482368968604635,-0.4706478196548917,1.2340740311580198,0.7189427571015069,0,none,0.325788497,,1.3352384224514198,none,,4,-0.12341170887210198,1.8040777059259319
truth,48,1,5,,,,,0,,,,,0,none,,,,none,,,2.12138904142495,0
observed,48,1,5,,,,,0,1.053863597095613,-4163336342344337e-32,1.053863597095613,0,0,none,,,,none,,,4.502510055132953,27
ideal,48,1,5,100,5000,20000,1,0,0.005518439893176097,0.04827670393419542,0.0014857678140592437,-0.04424403185507857,0,none,,,1.7983324266782934,none,,,3.012746065540542,3.164004606363714
particle,48,1,5,100,5000,20000,1,0,2.487137287186082,-0.3714752691243264,2.280751094846078,0.5778614614643304,0,none,0.753840775,,1.8479808032855007,none,,,1.4742201123516805,1.1112443787861115
franken,48,1,5,100,5000,20000,1,0,1.9543733447452034,-0.47594001312867595,1.707476580348809,0.7228367775250703,0,none,0.33432896,,1.607425645297699,none,,4,2.3817442137270337,1.7925559061468515
