model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,30,1,1,,,,,0,,,,,0,none,,,,none,,,0.028108404441238077,0
observed,30,1,1,,,,,0,,,,,0,none,,,,none,,,0.5398452950298758,0
ideal,30,1,1,40,320,1600,0,0,,,,,0,none,,,8.921247184636313,none,,,0,15.000000000000004
particle,30,1,1,40,320,1600,0,0,0.0311129845048365,0.007867986409783796,0.02859840088200874,-0.005353402786956037,0,none,,,8.838337295250746,none,,,-0.0611284628233579,15.142596753144892
franken,30,1,1,40,320,1600,0,0,0.19501145210341544,0.04100603479819503,0.18472569336633266,-0.03072027606111224,0,none,,,8.914297785366765,none,,3,-0.26895629537321325,13.94877082381776
truth,30,1,2,,,,,0,,,,,0,none,,,,none,,,0.7128517776438985,0
observed,30,1,2,,,,,0,0.19640164282633726,0,0.19640164282633726,0,0,none,,,,none,,,2.0676509436783017,3
ideal,30,1,2,40,320,1600,0,0,0.0030505105794788006,0.008864504601067247,0.0004287754962422867,-0.006242769517830732,0,none,,,0.8995869844386098,none,,,1.489902252559909,2.2404347605316914
particle,30,1,2,40,320,1600,0,0,102.83326561082076,105.53632758564389,1.3268248922556716,-4.029886867078789,0,none,0.116952545,,1.8956265754439967,none,,,-0.6300179613880168,5.722666281112925
franken,30,1,2,40,320,1600,0,0,0.08284880285285656,0.02124105266482149,0.02448801487914807,0.037119735308887,0,none,0.217170158,,0.9039104869804703,none,,3,1.3327044555101584,1.7450675130358761
truth,30,1,3,,,,,0,,,,,0,none,,,,none,,,0.004693052220870686,0
observed,30,1,3,,,,,0,0.19164194747339364,3172065784643304e-32,0.19164194747339364,0,0,none,,,,none,,,2.034741564669962,3
ideal,30,1,3,40,320,1600,1,0,0.003717116697989508,0.010969455537867035,0.00018377513873287809,-0.007436113978610405,0,none,,,0.47864001517880317,none,,,1.7748605517562317,1.4561552805714753
particle,30,1,3,40,320,1600,1,0,12.895511294183828,14.903395263699917,0.23571769618834063,-2.243601665704428,0,none,0.031082646,,0.9338679012887979,none,,,2.3229915090585767,3.186128172033329
franken,30,1,3,40,320,1600,1,0,0.053879094060328134,0.0937058126506036,0.0031956895272544604,-0.043022408117529935,0,none,0.017447515,,0.4723416597818278,none,,3,1.5570620398174086,1.151664305055728
truth,30,1,4,,,,,0,,,,,0,none,,,,none,,,0.8017139028395144,0
observed,30,1,4,,,,,0,0.12573111103881895,-3172065784643304e-32,0.12573111103881898,0,0,none,,,,none,,,0.5187921024785582,3
ideal,30,1,4,40,320,1600,1,0,0.002466876715597639,0.0012519578315273617,0.00032396796320341984,0.0008909509208668571,0,none,,,0.4530116369706664,none,,,0.6323250229981126,1.3126002234401124
particle,30,1,4,40,320,1600,1,0,39.54411781189111,44.61896461403017,0.10037166556399343,-5.175218467703047,0,none,0.023292112,,0.632748391664482,none,,,0.7009397962012658,0.3300292227562052
franken,30,1,4,40,320,1600,1,0,0.036722051815500756,0.06423889519597004,0.002882656951064811,-0.03039950033153409,0,none,0.036465738,,0.43238125512639874,none,,3,0.4114240567277826,1.1127115242223626
truth,30,1,5,,,,,0,,,,,0,none,,,,none,,,3.38203063663952,0
observed,30,1,5,,,,,0,0.16979523482430578,-6344131569286608e-32,0.16979523482430586,0,0,none,,,,none,,,1.0885001337831768,3
ideal,30,1,5,40,320,1600,1,0,0.003286334182231191,0.00809360874633156,0.00023074342285757848,-0.005038017986957948,0,none,,,0.6170559604272274,none,,,0.52514906717778,1.2833839659166648
particle,30,1,5,40,320,1600,1,0,3.0136718459955047,4.384585115272138,0.06812638149516018,-1.4390396507717929,0,none,0.017535807,,0.8113096192934108,none,,,0.47917157397871507,1.7371547112981376
franken,30,1,5,40,320,1600,1,0,0.03365352831198702,0.061313310711298384,0.0017947393891597527,-0.02945452178847113,0,none,0.006634365,,0.6362100352394218,none,,3,0.31277842152608737,1.1297100374530857
truth,30,1,6,,,,,0,,,,,0,none,,,,none,,,2.7953480498395455,0
observed,30,1,6,,,,,0,0.3219139508200861,-12688263138573217e-32,0.3219139508200862,0,0,none,,,,none,,,3.282417907511021,3
ideal,30,1,6,40,320,1600,1,0,0.00313313692388199,-0.02076974863813048,0.00014359214765936098,0.02375929341435311,0,none,,,0.48982563026380077,none,,,1.54561832689385,1.2772059305087158
particle,30,1,6,40,320,1600,1,0,56.95251262433239,61.19574423309781,0.12969689149538755,-4.372928500260822,0,none,0.02037762,,0.8132547255202757,none,,,0.4927425985735034,0.1091943422542367
franken,30,1,6,40,320,1600,1,0,0.048731064202568626,0.004954772146419595,0.003980268485258901,0.039796023570890134,0,none,0.005868882,,0.5268594061588233,none,,3,1.445581506813117,1.2581189290846502
truth,30,1,7,,,,,0,,,,,0,none,,,,none,,,5.015822712319666,0
observed,30,1,7,,,,,0,0.39636710143925163,-12688263138573217e-32,0.39636710143925163,0,0,none,,,,none,,,6.19233864846564,3
ideal,30,1,7,40,320,1600,1,0,0.0030140831675672165,0.013739342820895372,0.00024395211478248348,-0.01096921176811064,0,none,,,0.5450728066088498,none,,,4.178052434779097,1.2758741605832842
particle,30,1,7,40,320,1600,1,0,96.00160502921213,100.55884339875807,0.16850315819861555,-4.7257415277445745,0,none,0.019733942,,0.7720194104668948,none,,,2.0578197413454418,0.5024959659506351
franken,30,1,7,40,320,1600,1,0,0.06808177882447951,0.154279194853492,0.00781387317323661,-0.09401128920224908,0,none,0.034848042,,0.5015952835565309,none,,3,4.211383041518803,1.3997894311483066
truth,30,1,8,,,,,0,,,,,0,none,,,,none,,,2.7675095100236913,0
observed,30,1,8,,,,,0,0.18167385840089234,-9516197353929913e-32,0.18167385840089248,0,0,none,,,,none,,,5.876929466854168,3
ideal,30,1,8,40,320,1600,1,0,0.0035665124984422016,0.005353150109955717,0.00013515804881350312,-0.0019217956603270199,0,none,,,0.6353032348802808,none,,,4.217645909248461,1.2755910224513713
particle,30,1,8,40,320,1600,1,0,28.883886193553327,32.58729702886415,0.08616408183421398,-3.789574917145038,0,none,0.016891149,,0.5446047947694267,none,,,2.562394065262582,0.2120181750143958
franken,30,1,8,40,320,1600,1,0,0.06597286899243925,0.16168670280552178,0.0039905139202565275,-0.09970434773333905,0,none,0.004712443,,0.6291901221897317,none,,3,4.162492240109828,1.1561804575658616
truth,30,1,9,,,,,0,,,,,0,none,,,,none,,,1.3986982420752323,0
observed,30,1,9,,,,,0,0.2418989457877345,0,0.2418989457877345,0,0,none,,,,none,,,1.7332478012451222,3
ideal,30,1,9,40,320,1600,1,0,0.0033033876216629053,-0.013887399547388424,0.00038854908821519174,0.016802238080836137,0,none,,,0.5840796416199876,none,,,2.793518740754883,1.275532877497802
particle,30,1,9,40,320,1600,1,0,1.5089184639753976,2.416591473795286,0.052555217738361644,-0.9602282275582501,0,none,0.019939088,,0.5919420522044914,none,,,1.9836486558856534,0.5790481093185014
franken,30,1,9,40,320,1600,1,0,0.026394939087641987,0.07258064577782286,0.001907170368133771,-0.048092877058314644,0,none,0.010693602,,0.5805231849527125,none,,3,2.914588032424076,1.16743315768211
truth,30,1,10,,,,,0,,,,,0,none,,,,none,,,0.4127752454903342,0
observed,30,1,10,,,,,0,0.17363634777098128,0,0.17363634777098128,0,0,none,,,,none,,,1.849736581429147,3
ideal,30,1,10,40,320,1600,1,0,0.003665668789694957,0.027044506210692276,0.00029900014088584255,-0.023677837561883158,0,none,,,0.6092978256577769,none,,,2.203456441607389,1.2755214071981638
particle,30,1,10,40,320,1600,1,0,1.601913290273526,2.208792445082648,0.06391899577591001,-0.6707981505850321,0,none,0.018311793,,0.8248875121381295,none,,,1.7124184185282205,1.1361411170804687
franken,30,1,10,40,320,1600,1,0,0.03927654415384981,0.0631910241712189,0.001501541315372236,-0.025416021332741318,0,none,0.003874609,,0.6409613077013606,none,,3,2.4194600314146237,1.1746310899417012
finkel,30,1,2,40,320,1600,40,19636,0.16706789430011965,0.19957915153302425,0.038309842245547135,-0.0708210994784518,15,bkf.SampleLog,1.334423499,,0.8656356783252679,bkf.MhCompromise,1.0,,1.0618178049236238,1.1797164014117536
finkel,30,1,3,40,320,1600,40,23653,0.17784099059791805,0.2508743802964075,0.013220044794998966,-0.08625343449348845,15,bkf.SampleLog,0.816650116,,0.4507541049943738,bkf.MhCompromise,1.0,,1.2619948810909198,1.5567919705979174
finkel,30,1,4,40,320,1600,40,24909,0.1923985705246945,0.1709402339939492,0.013736822045276691,0.007721514485468631,15,bkf.SampleLog,0.474941641,,0.4951808328625084,bkf.MhCompromise,1.0,,0.5917679634167036,1.2171230391190275
finkel,30,1,5,40,320,1600,40,23491,0.12291135961399398,0.15857268225095872,0.006262854605241888,-0.041924177242206595,15,bkf.SampleLog,0.480234587,,0.5906690990477343,bkf.MhCompromise,1.0,,0.5539697130085601,0.9737834655094164
finkel,30,1,6,40,320,1600,40,23618,0.161157995197882,0.16090064939584478,0.005018330082699271,-0.00476098428066205,15,bkf.SampleLog,0.463314169,,0.5166659373253626,bkf.MhCompromise,1.0,,1.5139845866164205,1.1441494493507345
finkel,30,1,7,40,320,1600,40,23519,0.13941185927199,0.2877932189626199,0.003219558416022171,-0.15160091810665205,15,bkf.SampleLog,0.483915718,,0.5393612363909692,bkf.MhCompromise,1.0,,3.853388235967356,0.7938676477777525
finkel,30,1,8,40,320,1600,40,22837,0.16926137118816112,0.23364888487689664,0.010819053653263196,-0.07520656734199871,15,bkf.SampleLog,0.4790338,,0.6556826012341542,bkf.MhCompromise,1.0,,3.9269654964538754,1.4863920803065658
finkel,30,1,9,40,320,1600,40,23742,0.15414649779605855,0.10360960766541816,0.007212803566614252,0.043324086564026136,15,bkf.SampleLog,0.45853923,,0.5989761157627269,bkf.MhCompromise,1.0,,2.640723519259575,0.7338921197822785
finkel,30,1,10,40,320,1600,40,24414,0.11693814521049953,0.13079043906444604,0.005913550832068322,-0.01976584468601483,15,bkf.SampleLog,0.450999874,,0.6204135660578011,bkf.MhCompromise,1.0,,1.9156869557478458,1.1349689891709436
finkel,30,1,2,40,320,1600,0,0,0.22964764275013558,0.18333564766067562,0.061521065210498126,-0.015209070121038162,15,bkf.SampleLog,0.074947168,,0.9317272481376291,bkf.MhCompromise,1.0,,1.3955994425513958,2.3983283758396126
finkel,30,1,3,40,320,1600,0,0,0.19135120388739985,0.37285278000415023,0.011242957850448524,-0.19274453396719898,15,bkf.SampleLog,0.003210334,,0.4680713720465463,bkf.MhCompromise,1.0,,1.5273015730329336,1.7708237649521372
finkel,30,1,4,40,320,1600,0,0,0.1726711766349769,0.21966822200257702,0.021249677704646357,-0.06824672307224652,15,bkf.SampleLog,0.0026919,,0.45325529428202327,bkf.MhCompromise,1.0,,0.6587201087239263,1.2139206297845466
finkel,30,1,5,40,320,1600,0,0,0.1365342349512874,0.07904172095224023,0.02024258320972371,0.03724993078932343,15,bkf.SampleLog,0.004340141,,0.5830934526515429,bkf.MhCompromise,1.0,,0.9872858012278789,1.2480737698011486
finkel,30,1,6,40,320,1600,0,0,0.13099998157373938,0.24645167942033175,0.011062805764846343,-0.1265145036114387,15,bkf.SampleLog,0.004082562,,0.49199009210245803,bkf.MhCompromise,1.0,,1.1432150971684554,0.9089660476340095
finkel,30,1,7,40,320,1600,0,0,0.2521644927262387,0.47049577372915347,0.015484887244305698,-0.23381616824722048,15,bkf.SampleLog,0.00299389,,0.613521594492728,bkf.MhCompromise,1.0,,3.76192603727887,0.5817405540387396
finkel,30,1,8,40,320,1600,0,0,0.2797541723788088,0.5825512490053677,0.005476227377549968,-0.3082733040041087,15,bkf.SampleLog,0.003571457,,0.6574366241852536,bkf.MhCompromise,1.0,,3.9626488829338404,0.7246916724690553
