model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,30,1,1,,,,,0,,,,,0,none,,,,none,,,-1.8119473364492675,0,,,,
observed,30,1,1,,,,,0,,,,,0,none,,,,none,,,-1.9576862045572336,0,,,,
ideal,30,1,1,400,32000,160000,0,0,,,,,0,none,,,14.60604461677728,none,,,0,15.000000000000004,,,,
particle,30,1,1,400,32000,160000,0,0,0.00035186677314651686,-0.0029704624500161347,0.00031860712942749015,0.0030037220937351615,0,none,,,14.55029251307846,none,,,0.00752447408759119,14.94370883739167,,,,
franken,30,1,1,400,32000,160000,0,0,0.0022855476547158594,-0.0013519017819435986,0.002125184786627511,0.0015122646500319472,0,none,,,14.559692573076441,none,,3,0.022619108434320044,14.939286651385386,0.0017242123718180205,0.0042049653221658545,0.0016272082674588203,-0.004107961217806654
truth,30,1,2,,,,,0,,,,,0,none,,,,none,,,0.6734154720492664,0,,,,
observed,30,1,2,,,,,0,0.4650833669488571,0,0.4650833669488571,0,0,none,,,,none,,,-0.8996609350041915,3,,,,
ideal,30,1,2,400,32000,160000,0,0,0.0032794174787061535,-0.011864316360416693,0.0003857650733429424,0.014757968765779905,0,none,,,1.4469081044754672,none,,,-0.4519635677588616,2.2404347605316914,,,,
particle,30,1,2,400,32000,160000,0,0,19.087077476335196,19.757091741018588,1.3691695584561712,-2.0391838231395614,0,none,23.641944186,,2.321017756280645,none,,,-0.1580549894865177,1.4698242280102565,,,,
franken,30,1,2,400,32000,160000,0,0,0.06000918709925474,-0.06101078711894831,0.03716321648261186,0.08385675773559119,0,none,8.915507049,,1.617584060157516,none,,3,-0.334975241477661,2.0774056195067163,,,,
truth,30,1,3,,,,,0,,,,,0,none,,,,none,,,1.928917586897704,0,,,,
observed,30,1,3,,,,,0,0.19599580917623674,3172065784643304e-32,0.19599580917623668,0,0,none,,,,none,,,1.5131585202537456,3,,,,
ideal,30,1,3,400,32000,160000,1,0,0.00211987524886542,-0.026910243694740644,0.00010488287835124787,0.028925236065254812,0,none,,,0.5917525575809338,none,,,0.18155300366465427,1.4561552805714753,,,,
particle,30,1,3,400,32000,160000,1,0,0.9401338728100103,1.217145364295007,0.15761003506145843,-0.4346215265464552,0,none,21.340784719,,0.860383140339257,none,,,0.09896586137030035,0.9232418309545478,,,,
franken,30,1,3,400,32000,160000,1,0,0.01188588068622598,0.003097460049199149,0.002648957212927513,0.006139463424099322,0,none,8.28044912,,0.6227146415305649,none,,3,0.16277749445335998,1.3263031267882075,,,,
truth,30,1,4,,,,,0,,,,,0,none,,,,none,,,-1.1161329312745978,0,,,,
observed,30,1,4,,,,,0,0.16296252602786124,-3172065784643304e-32,0.16296252602786127,0,0,none,,,,none,,,-1.1393516256549143,3,,,,
ideal,30,1,4,400,32000,160000,1,0,0.0023203056128667495,0.0011756424453852389,0.00018563090755085692,0.0009590322599306534,0,none,,,0.6468574310442481,none,,,-0.9162469879537366,1.3126002234401124,,,,
particle,30,1,4,400,32000,160000,1,0,0.1797989149045733,0.14783301306457933,0.022576827379769817,0.009389074460224143,0,none,25.976179694,,0.7024246405843165,none,,,-0.7220262721600873,1.3255974781053415,,,,
franken,30,1,4,400,32000,160000,1,0,0.008540114113908967,0.017952128844537358,0.0010095624929024594,-0.01042157722353085,0,none,8.020019737,,0.6427999628262051,none,,3,-0.9395398920220502,1.2143993092258005,,,,
truth,30,1,5,,,,,0,,,,,0,none,,,,none,,,1.9690458854996442,0,,,,
observed,30,1,5,,,,,0,0.5022416740141218,-6344131569286608e-32,0.5022416740141219,0,0,none,,,,none,,,2.912583573019388,3,,,,
