model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,100,1,1,,,,,0,,,,,0,none,,,,none,,,2.587824842368031,0
observed,100,1,1,,,,,0,,,,,0,none,,,,none,,,3.6194071660489646,0
ideal,100,1,1,80,1280,6400,0,0,,,,,0,none,,,2.0815532696100414,none,,,0,3
particle,100,1,1,80,1280,6400,0,0,0.0006611779666111205,0.002231307708503694,0.0002133148948014347,-0.0017834446366940082,0,none,,,2.0806096599787742,none,,,0.02638845236744982,2.991885356160141
franken,100,1,1,80,1280,6400,0,0,0.003150156237196988,0.006499720385290685,0.0012720980508819273,-0.0046216621989756245,0,none,,,2.08892202676616,none,,4,-0.03395276995077836,2.876570608623595
truth,100,1,2,,,,,0,,,,,0,none,,,,none,,,2.6096281363829212,0
observed,100,1,2,,,,,0,,,,,0,none,,,,none,,,2.752817608886407,0
ideal,100,1,2,80,1280,6400,0,0,0.003853684270663356,0.006222484982056841,0.0008530506538290851,-0.003221851365222571,0,none,,,1.6079654121565752,none,,,2.75408316416097,2.8743221773040424
particle,100,1,2,80,1280,6400,0,0,1.4066768365422853,-0.5735473818910963,1.1415867044232169,0.8386375140101646,0,none,0.307002877,,2.6194680570553333,none,,,2.0061507425428684,3.0689093539355072
franken,100,1,2,80,1280,6400,0,0,1.437244289387089,-0.568170390417635,1.1718052312825873,0.8336094485221364,0,none,0.281063717,,2.6204157380016087,none,,4,2.5964224091765966,1.8597920832869397
truth,100,1,3,,,,,0,,,,,0,none,,,,none,,,0.6905101005776244,0
observed,100,1,3,,,,,0,,,,,0,none,,,,none,,,-3.5317167217850614,0
ideal,100,1,3,80,1280,6400,1,0,0.003860241688832809,0.011508634910017718,0.0010701083891712195,-0.008718501610356129,0,none,,,1.5199586410840003,none,,,-1.6219154096966033,2.952734107609102
particle,100,1,3,80,1280,6400,1,0,1.198193401181779,-0.46884367286564566,0.958493190965144,0.7085438830822808,0,none,0.21205663,,2.3918132996717985,none,,,-1.4154388466260857,0.21724160061453293
franken,100,1,3,80,1280,6400,1,0,1.1198423675418074,-0.4815027891662069,0.8870857631172829,0.7142593935907317,0,none,0.074297847,,2.3094313661973276,none,,4,-1.221011879022416,1.6714632047482798
truth,100,1,4,,,,,0,,,,,0,none,,,,none,,,-2.2525171682365475,0
observed,100,1,4,,,,,0,,,,,0,none,,,,none,,,-1.6569200401020168,0
ideal,100,1,4,80,1280,6400,1,0,0.0038598844491030877,-0.0011626353203430008,0.001148555840015924,0.0038739639294301637,0,none,,,1.7331054194623448,none,,,-0.9537787524501211,2.97236657292994
particle,100,1,4,80,1280,6400,1,0,1.7810067554035847,-0.4518943872905829,1.5473753760142557,0.6855257666799116,0,none,0.575488837,,2.8491401763379245,none,,,0.2834671059005489,0.25172430779634125
franken,100,1,4,80,1280,6400,1,0,1.2682022638859478,-0.4823752738264526,1.0330720132767683,0.7175055244356319,0,none,0.078262105,,2.71901397051975,none,,4,-0.5802571195112378,1.7762352498827263
truth,100,1,5,,,,,0,,,,,0,none,,,,none,,,-0.7714638614165384,0
observed,100,1,5,,,,,0,,,,,0,none,,,,none,,,0.3796055050599446,0
ideal,100,1,5,80,1280,6400,1,0,0.003679034178719954,-0.005072339170861247,0.0009865757791621419,0.007764797570419059,0,none,,,1.3501621891355984,none,,,-0.36022173235636545,2.976525357455234
particle,100,1,5,80,1280,6400,1,0,1.5360856169519794,-0.37273237789637204,1.3471787575623106,0.5616392372860406,0,none,0.152540764,,2.3961181776039084,none,,,1.1306263276515938,0.015868465463384027
franken,100,1,5,80,1280,6400,1,0,1.055967958140083,-0.4814616587216858,0.8172535462201713,0.7201760706415972,0,none,0.076488171,,2.20897673701148,none,,4,-0.2625478274903157,1.7049368346854739
truth,100,1,6,,,,,0,,,,,0,none,,,,none,,,0.2869674327366061,0
observed,100,1,6,,,,,0,,,,,0,none,,,,none,,,0.5881799062736788,0
ideal,100,1,6,80,1280,6400,1,0,0.004387946503651778,0.01339606349561487,0.0013846424552018536,-0.010392759447164947,0,none,,,1.3954454359354331,none,,,-0.014802490979488075,2.977385132914949
particle,100,1,6,80,1280,6400,1,0,1.6259315572723028,-0.3675094815833762,1.4402991605190902,0.553141878336589,0,none,0.168423319,,2.239362421367085,none,,,2.2505121421000687,0.22757318022520198
franken,100,1,6,80,1280,6400,1,0,1.2012552538451113,-0.4790285028710272,0.9659649784473039,0.7143187782688347,0,none,0.068217034,,2.2246726862758583,none,,4,0.2729961409449112,1.7510445175421898
truth,100,1,7,,,,,0,,,,,0,none,,,,none,,,-0.5245733755619582,0
observed,100,1,7,,,,,0,,,,,0,none,,,,none,,,-2.47052229790031,0
ideal,100,1,7,80,1280,6400,1,0,0.003723206672459723,0.00452526963437562,0.0009213098642764872,-0.0017233728261923829,0,none,,,1.464997926288875,none,,,-0.9390075753530107,2.977562427120631
particle,100,1,7,80,1280,6400,1,0,1.8225115372222582,-0.42421996397826217,1.605550490816442,0.6411810103840786,0,none,0.150574415,,2.657542866006841,none,,,1.3232287509748226,0.1331174295101575
franken,100,1,7,80,1280,6400,1,0,1.370121495585599,-0.47948214925029126,1.1298530958981996,0.7197505489376907,0,none,0.071466614,,2.4897177422298973,none,,4,-0.48970307165614685,1.4859605976700725
truth,100,1,8,,,,,0,,,,,0,none,,,,none,,,-3.891637428123804,0
observed,100,1,8,,,,,0,,,,,0,none,,,,none,,,-2.6494352361692846,0
ideal,100,1,8,80,1280,6400,1,0,0.004228694240851791,0.007288151347182983,0.001116378895563939,-0.004175836001895133,0,none,,,1.7539515337722682,none,,,-2.071838949242757,2.977599025717396
particle,100,1,8,80,1280,6400,1,0,2.08159227738023,-0.3721558143074736,1.8909869159979078,0.5627611756897957,0,none,0.177485739,,2.8649578129022877,none,,,-0.6970777784019576,0.003953464569120007
franken,100,1,8,80,1280,6400,1,0,1.4351074360306384,-0.482212359390551,1.197375955539559,0.7199438398816305,0,none,0.074870432,,2.777370189155606,none,,4,-1.3992278033833523,1.689173259724824
truth,100,1,9,,,,,0,,,,,0,none,,,,none,,,-2.8870301060837136,0
observed,100,1,9,,,,,0,,,,,0,none,,,,none,,,0.014029480108055603,0
ideal,100,1,9,80,1280,6400,1,0,0.00405733204888847,-0.00022755781059602073,0.0009325124049296303,0.003352377454554859,0,none,,,1.3726510452870069,none,,,0.012997863220788664,2.9776065913251593
particle,100,1,9,80,1280,6400,1,0,1.4775959885479628,-0.3649225599297189,1.2917945035051235,0.5507240449725579,0,none,0.173959512,,2.40556105890816,none,,,-1.2411865582229304,17523636496556676e-22
franken,100,1,9,80,1280,6400,1,0,1.0078185228916436,-0.4891234011908563,0.7712840439595163,0.7256578801229838,0,none,0.067298544,,2.059673334351732,none,,4,0.3532134016059973,1.6826358189237665
truth,100,1,10,,,,,0,,,,,0,none,,,,none,,,0.5568212535806838,0
observed,100,1,10,,,,,0,,,,,0,none,,,,none,,,1.7173324002069787,0
ideal,100,1,10,80,1280,6400,1,0,0.004128303313205096,0.004948043969213038,0.0012491316265058536,-0.0020688722825137947,0,none,,,1.415243247545858,none,,,1.2977551441197939,2.9776081572078326
particle,100,1,10,80,1280,6400,1,0,1.7526278146502146,-0.3586176876221445,1.5683171935425784,0.5429283087297809,0,none,0.483193566,,2.5001963186432548,none,,,2.035599659349329,0.04482881308134031
franken,100,1,10,80,1280,6400,1,0,1.6432126842360704,-0.47900554606617135,1.405348407969797,0.7168698223324449,0,none,0.070747484,,2.479926687261782,none,,4,1.21671132842486,1.619893405015963
truth,100,1,11,,,,,0,,,,,0,none,,,,none,,,0.41039367261147053,0
observed,100,1,11,,,,,0,,,,,0,none,,,,none,,,-0.842258240862414,0
ideal,100,1,11,80,1280,6400,1,0,0.004373799698555716,0.002601407279013156,0.0013211963177370706,0.00045119610180548983,0,none,,,1.619127726483021,none,,,0.22918377503533727,2.977608481649553
particle,100,1,11,80,1280,6400,1,0,1.476730157610291,-0.3617240102717486,1.291440044388706,0.547014123493334,0,none,0.14741902,,2.3727274773800997,none,,,-1.0958966820528693,1.9166381288930054
franken,100,1,11,80,1280,6400,1,0,1.0316618279807708,-0.4868540447541299,0.7940661551245471,0.7244497176103537,0,none,0.075635548,,2.2903165193207093,none,,4,0.3045364025497533,1.7152422493291168
truth,100,1,12,,,,,0,,,,,0,none,,,,none,,,1.1166205758301464,0
observed,100,1,12,,,,,0,,,,,0,none,,,,none,,,3.771389330677973,0
ideal,100,1,12,80,1280,6400,1,0,0.0035724440065240423,9481167097106595e-20,0.0009539799302224954,0.0025236524053304805,0,none,,,1.6482299886031246,none,,,2.0367406604669687,2.977608548936356
particle,100,1,12,80,1280,6400,1,0,1.4000852791660598,-0.39720134546044683,1.1993187549334237,0.5979678696930829,0,none,0.177202699,,2.7199566544586897,none,,,0.8772398459195945,1.0948051773632754
franken,100,1,12,80,1280,6400,1,0,1.115828439933485,-0.4790122393657104,0.8797090630102153,0.7151316162889803,0,none,0.08055597,,2.5283577873955583,none,,4,1.5485411270371123,1.7825967803712928
truth,100,1,13,,,,,0,,,,,0,none,,,,none,,,1.5355081793772296,0
observed,100,1,13,,,,,0,,,,,0,none,,,,none,,,2.1904314841287045,0
ideal,100,1,13,80,1280,6400,1,0,0.0039378225270783815,0.002815366117043953,0.0009771731198299281,0.00014528329020450063,0,none,,,1.47720832015869,none,,,2.287178182475194,2.977608562903692
particle,100,1,13,80,1280,6400,1,0,2.155256840582464,-0.43935994705126796,1.9280180083031928,0.6665987793305393,0,none,0.156005985,,2.68560195344642,none,,,1.9948535317030012,0.21385732971109608
