model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,30,1,1,,,,,0,,,,,0,none,,,,none,,,-0.31735768980843027,0,,,,
observed,30,1,1,,,,,0,,,,,0,none,,,,none,,,-0.5965006151761412,0,,,,
ideal,30,1,1,400,32000,1600,0,0,,,,,0,none,,,10.766601353767623,none,,,0,15.000000000000004,,,,
particle,30,1,1,400,32000,1600,0,0,0.02492769840995111,0.020013031527358466,0.022013256888250787,-0.01709859000565814,0,none,,,10.690175681720747,none,,,-0.001976023369717943,14.572777991246578,,,,
franken,30,1,1,400,32000,1600,0,0,0.001049126731010342,0.000641216310595194,0.0009737124385037233,-0.0005658020180885754,0,none,,,10.805471059601105,none,,3,-0.005782542264029961,15.014853318636797,0.0014538575997464695,-0.00010348053939439923,0.0013788233789434174,0.00017851476019745135
truth,30,1,2,,,,,0,,,,,0,none,,,,none,,,1.0433203091884289,0,,,,
observed,30,1,2,,,,,0,0.3575887378472265,0,0.3575887378472265,0,0,none,,,,none,,,-2.278365314281457,3,,,,
ideal,30,1,2,400,32000,1600,0,0,0.003000145912991167,0.021148901763893835,0.0003635919394993733,-0.01851234779040204,0,none,,,1.2309757511083628,none,,,-1.6894749246377343,2.2404347605316914,,,,
particle,30,1,2,400,32000,1600,0,0,73195.22633031567,73208.2809825178,0.0945936088750599,-13.149245811020638,0,none,0.136321521,,1.671204013078192,none,,,-1.7175407031542584,0.03164054136498599,,,,
franken,30,1,2,400,32000,1600,0,0,0.0337657419371017,-0.06103817174184578,0.01555594517152561,0.07924796850742187,0,none,8.170727069,,1.2145134245431295,none,,3,-1.5828060011642915,2.106291296277337,,,,
truth,30,1,3,,,,,0,,,,,0,none,,,,none,,,2.8872804379795878,0,,,,
observed,30,1,3,,,,,0,0.34176929264352324,3172065784643304e-32,0.34176929264352324,0,0,none,,,,none,,,3.9758969157529918,3,,,,
ideal,30,1,3,400,32000,1600,1,0,0.003493937130859609,0.008330343707641519,0.00011277016549288747,-0.004949176742274796,0,none,,,0.5949011327947786,none,,,1.3334836135203725,1.4561552805714753,,,,
particle,30,1,3,400,32000,1600,1,0,125.64044700672618,132.68108962189646,0.014667452629794851,-7.055310067800066,0,none,0.019916499,,0.8207679718298553,none,,,-0.29661050826476815,0.18500158730650773,,,,
