model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,48,1,1,,,,,0,,,,,0,none,,,,none,,,0.8464432817243241,0
observed,48,1,1,,,,,0,,,,,0,none,,,,none,,,-3.872087373433022,0
ideal,48,1,1,150,11250,45000,0,0,,,,,0,none,,,1.8095407674487982,none,,,0,3
particle,48,1,1,150,11250,45000,0,0,8485993620743746e-20,0.001736771016905711,305987949575981e-19,-0.0016825098756558714,0,none,,,1.8219444565011926,none,,,0.011170007292131065,3.0208167642870474
franken,48,1,1,150,11250,45000,0,0,0.0003806764286263769,-0.0015640253602662163,0.0001226427625070023,0.0018220590263855908,0,none,,,1.8237492062513658,none,,4,-0.02699838393649644,3.002523114536558
truth,48,1,2,,,,,0,,,,,0,none,,,,none,,,-0.6544162862598919,0
observed,48,1,2,,,,,0,0.9442062589041628,4163336342344337e-32,0.9442062589041625,0,0,none,,,,none,,,1.0204163253478287,27
ideal,48,1,2,150,11250,45000,0,0,0.00445692585588812,-0.008940709692583274,0.001335466898523228,0.012062168649948166,0,none,,,1.6872506686104438,none,,,-0.23647354483129052,2.9415108036066497
particle,48,1,2,150,11250,45000,0,0,1.8029768551477054,-0.5910486391920117,1.5063878651701565,0.8876376291695605,0,none,2.031902654,,1.6564611306578712,none,,,-1.4683685271928257,1.1315007314476175
franken,48,1,2,150,11250,45000,0,0,1.8167944153696756,-0.592176749267935,1.519640612239652,0.8893305523979584,0,none,1.701322462,,1.4236136687173742,none,,4,-0.2934711726780539,1.8332761229220158
truth,48,1,3,,,,,0,,,,,0,none,,,,none,,,0.2094871887101346,0
observed,48,1,3,,,,,0,1.3739614106413924,0,1.3739614106413924,0,0,none,,,,none,,,0.5338949990064021,27
ideal,48,1,3,150,11250,45000,1,0,0.0030913604413020297,0.002762627235740403,0.0007683518467838179,-0.0004396186412221918,0,none,,,1.4880955799801359,none,,,0.044921809466953344,2.849242761497168
particle,48,1,3,150,11250,45000,1,0,2.113694635893894,-0.4823945430977625,1.9098425531123266,0.6862466258793303,0,none,2.515659204,,1.5739562984138085,none,,,-1.755705319149738,0.6208122327492558
franken,48,1,3,150,11250,45000,1,0,1.5524321291486858,-0.5453980112797459,1.3157471351182408,0.7820830053101908,0,none,1.50504891,,1.2733156635451595,none,,4,0.24923468491379364,1.812007624848642
truth,48,1,4,,,,,0,,,,,0,none,,,,none,,,-1.7053109354680074,0
observed,48,1,4,,,,,0,0.6964817640977632,0,0.6964817640977632,0,0,none,,,,none,,,-0.6591711103152758,27
ideal,48,1,4,150,11250,45000,1,0,0.0037857749184048903,0.004487715300810435,0.0007938208937873217,-0.001495761276192866,0,none,,,1.2487131991887195,none,,,-0.2723794668281235,2.8356069968065976
particle,48,1,4,150,11250,45000,1,0,2.071685950434409,-0.4127559982766912,1.8935819993841096,0.5908599493269902,0,none,2.896308622,,1.4240920968707715,none,,,-0.12130184197330753,1.297207287180477
franken,48,1,4,150,11250,45000,1,0,1.456196079999019,-0.5444020953084378,1.220936464299583,0.779661711007874,0,none,1.480581805,,1.181252094379709,none,,4,-0.07247866584266421,1.7384244954317034
truth,48,1,5,,,,,0,,,,,0,none,,,,none,,,-0.6280158421490882,0
observed,48,1,5,,,,,0,1.0360376518651426,-13877787807814457e-33,1.0360376518651426,0,0,none,,,,none,,,0.07212335832884831,27
ideal,48,1,5,150,11250,45000,1,0,0.004220770905807671,0.008091884022784171,0.0006832669946625218,-0.004554380111639023,0,none,,,1.3580918605863461,none,,,-0.7320111599237674,2.8349388091086443
particle,48,1,5,150,11250,45000,1,0,1.5086447883878604,-0.4476625791800575,1.3138539494161725,0.6424534181517452,0,none,1.860298226,,1.7080500493125927,none,,,-1.6932026035712069,2.394653501298358
franken,48,1,5,150,11250,45000,1,0,1.3014345014224324,-0.5421347380993708,1.0657186024626661,0.7778506370591372,0,none,1.504179726,,1.2641663867113284,none,,4,-0.6551476814955993,1.7573234130589679
truth,48,1,6,,,,,0,,,,,0,none,,,,none,,,-0.8300506302016062,0
observed,48,1,6,,,,,0,0.9833145461645322,13877787807814457e-33,0.9833145461645322,0,0,none,,,,none,,,-0.010362117901384194,27
ideal,48,1,6,150,11250,45000,1,0,0.003743653679964863,0.01036834961107673,0.0015047397726495404,-0.008129435703761406,0,none,,,1.2060447532541057,none,,,-0.4236215450419096,2.834868872434135
particle,48,1,6,150,11250,45000,1,0,1.5104024951685318,-0.5434299119792163,1.2627575367684294,0.7910748703793186,0,none,1.364349053,,1.3430409653252091,none,,,-1.9011776092778763,0.9608557642586361
franken,48,1,6,150,11250,45000,1,0,1.1632480013687367,-0.5411620765326582,0.9308583243104297,0.7735517535909653,0,none,1.492973419,,1.1540134397698503,none,,4,-0.48983990667446164,1.713209026177411
truth,48,1,7,,,,,0,,,,,0,none,,,,none,,,-1.7371760223884047,0
observed,48,1,7,,,,,0,1.4195478045218024,-27755575615628914e-33,1.4195478045218024,0,0,none,,,,none,,,-1.6323342119047897,27
ideal,48,1,7,150,11250,45000,1,0,0.0029615809916907574,-0.0006760677769824808,0.0008768424535975231,0.0027608063150757157,0,none,,,1.4339963004691918,none,,,-2.423907642709958,2.8348644732445534
particle,48,1,7,150,11250,45000,1,0,1.3580167448807638,-0.42354969169198325,1.1755030720643667,0.6060633645083805,0,none,2.832757895,,1.5428636881490359,none,,,-3.51845721882899,0.9180980655391527
franken,48,1,7,150,11250,45000,1,0,1.2450732397484772,-0.5402286199822516,1.0101339072838957,0.7751679524468328,0,none,1.48937281,,1.1470234741193923,none,,4,-2.0840148825595497,1.7930664230109854
