model,mod,M,MEquiv,r,sampType,mhType,hpl,nIter,useForward,dimension,rep,startTime,step,checksum,putime,samptime,klerror,kl,covdiv,meandiv,entropydiv,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,v11,v22,v33,v44,v55,v66,v77,v88,v99,v1010,v1111,v1212,v1313,v1414,v1515,v1616,v1717,v1818,v1919,v2020,v2121,v2222,v2323,v2424,v2525,v2626,v2727,v2828,v2929,v3030,v12,v23,v34,v45,v56,v67,v78,v89,v910,v1011,v1112,v1213,v1314,v1415,v1516,v1617,v1718,v1819,v1920,v2021,v2122,v2223,v2324,v2425,v2526,v2627,v2728,v2829,v2930,v13,v24,v35,v46,v57,v68,v79,v810,v911,v1012,v1113,v1214,v1315,v1416,v1517,v1618,v1719,v1820,v1921,v2022,v2123,v2224,v2325,v2426,v2527,v2628,v2729,v2830
Block PF,block,320,40,3,,,,,,30,1,2018-08-29T13:37:16.723,1,0.9989908632365132,0.259276044,0.041759902,,0.5491575699244177,-0.015099395739793988,0.21974798741001336,0.34450897825419835,-0.09917908659829555,-0.24284919196328353,0.6648745907927895,0.15275739653131115,0.4157664793097977,-0.029284880653123624,0.5397582211873304,-0.4033997375945535,0.05269152773896246,0.056050561636383334,-0.42173815802617476,0.34059681033413547,0.12081730844558924,0.9402519533444971,-0.21894851930917003,-0.03770485817933822,0.6439226062529184,-0.5740818295315246,-0.07379159953936876,-0.6206076558513126,0.1269502091547623,0.24855874083789375,0.032849382938383354,-0.42379854026249286,0.006375555526184629,-0.03351969174163884,0.11981270842735398,-0.5640903920847316,0.43863294539696884,0.2641290673846026,0.09813860311933656,0.5438922434122399,0.7839708888692635,2.006489269808785,1.1171814453519546,0.2556610415748943,0.7586640825157936,1.1312084922007142,0.8072660472761006,0.7131532644385197,0.24354847528019682,0.45789984649470583,0.7770004292686793,0.5951894678826181,0.5832994845473175,0.06454121093699831,0.7409117090839714,0.8313204494770672,0.8087251839306792,0.5723114343312333,0.11787875287217742,0.7689817032091958,0.7440571443436087,0.7135992848307484,0.8857675101045029,0.11080701785440597,0.9101266155655307,0.7238224666063049,0.7628857073720348,0.7785573128943482,0.011825266382226536,0.08711722367671144,-0.013575407983869909,0.00024319435838221598,0.2781115432108949,0.0469413421130212,0.043963474570981737,0.03371271749228773,0.06547395932015704,-0.30106533919741285,-0.20527518141607848,-0.025405133296407503,0.10251894496508858,-0.13787446847916904,-0.0021346579615188406,0.019863016140075573,-0.08853807002442436,-0.06082486548306511,0.10513244941684713,0.07990145628600129,-0.0017869574846144098,0.07386812527372931,0.03223260300135277,-0.04641152864522649,0.013802222682057802,-0.009881311277995406,0.009965906603487973,0.038328307608551236,0.15112598075607414,0.021507434737213046,-0.01932357332433045,0.0369618506619271,-0.37797903073994654,0.04518089455815079,-0.03372208172301326,0.04413810407975137,0.032467160519612535,-0.03363695083876872,0.2488202415782718,-0.006081748994905729,-0.02581419976847792,-0.02202040018732941,0.006625464051721411,0.01929900590498717,-0.02379770959291066,0.005675375838952771,-0.050170528619688654,-0.13845599348938253,0.006794627224378224,0.009563837783630465,0.0267680701174298,0.02107695066513072,0.010818410804056391,-0.13345763453514692,0.02104355956838197,-0.017080060601703823,0.04762162781422465
Block PF,block,320,40,3,,,,,,30,1,2018-08-29T13:37:16.723,2,0.6227296731420382,0.009263692,0.00110919,,1.9561868465803507,1.5947424113414816,0.4018268906173005,-0.040382455378431624,-0.120085805541722,0.34916730036317967,0.42059538205519564,-0.032341248433132685,1.647051576336186,-0.6885899656892994,0.1930977471625519,-1.3444447811401674,0.306447109833218,1.30987099290661,0.330800394034241,0.9096569395276597,0.4464802699044452,0.39585348198056214,-0.828223755351899,-0.3052419097266921,0.674820814191446,-0.9668948388512661,-0.43858727383223917,0.10404110463001637,0.8504826601703569,0.6378450435940186,0.09048476523544008,-0.9350396481770987,0.4247692288146976,0.13191434710354089,0.13657030753427324,-0.27567222643133865,0.7391814554568665,-0.21930119743719556,0.07271968630088055,0.3254375069491551,1.1386771545677252,0.0483154966635062,0.13775646436901784,0.1491905218736366,0.7108983304079683,0.7765598743038696,0.45902518685962623,0.7106440182252224,0.030687301989278295,0.6190035983666959,0.6261999696729584,0.5319162945680053,0.39382048759594596,0.04140269775417238,0.4919396832230482,0.5426005298758596,0.1406372483589121,0.11123151300572204,0.052718130433311465,0.3945964590526958,0.3630833530028567,0.37574310261634913,0.723737035874412,0.09894773447164569,0.6297407819758982,0.3359226274988323,0.4883828316475242,0.3904011927385179,-0.08792705088201987,0.17249286602802852,0.010659176758019175,-0.018877635908804757,0.1144758588502055,0.020798471237696972,-0.06258223436861608,-0.1374828136481305,0.00462046380880818,-0.029983345172217898,0.023262472438986298,0.051059152272958014,0.05505632719607395,0.010824426063253467,0.006596188992773199,0.0383034795894871,0.03166585567126374,-0.002854212005532844,0.029761893272172664,0.005139771181796624,0.002110286968290432,0.07363449568931439,0.08626818543010854,-0.015646704372223458,-0.07747783082644125,0.14558648809491376,0.0017421853386846192,0.039180806159397466,0.006670622180729901,0.07473640986708421,-0.005471511030698463,-0.005389775132909143,-0.010941670397797351,0.017507245885690678,-0.019035905062045,0.04602097766173699,0.01738619208932245,0.008814225449977238,-0.0005890994580710366,-0.008768398631663569,0.025793784549886636,-0.18716679003997583,-0.0077793189451916146,-0.004630249665986164,-0.02400844986850127,0.009093422246710873,-0.001193809195746376,0.0808025827227934,0.014785489660808369,0.008278588977664442,0.11134417182952996,-0.002668666529022535,0.00500907052902725,-0.2769817790110726,-0.005052225030046984,-0.007884822863852017,0.0418347863722501
Block PF,block,320,40,3,,,,,,30,1,2018-08-29T13:37:16.723,3,0.21575880963633653,0.06778029,0.001002026,Base.LinAlg.SingularException,,,,,-0.3444935312132387,0.26054197883451713,0.22115285463912088,0.7365381521988307,0.9794174920186949,-0.2388311469402732,-0.44281833655360114,-1.2986614146765874,-0.26599381455184146,0.5102691025782758,-0.22563056900510103,0.8484441347743721,0.4603979227868482,0.3182914659148839,-1.1140788448274765,-0.9584985802465815,0.10969186960692057,-0.6626408917163042,-1.0274367237705808,-0.18472621480810703,1.7721386818208569,1.3473570776848987,-0.5979492348757232,-1.0059573021774342,0.5942923691126395,0.2057178651326197,-0.5109574549093598,0.04791694963868831,0.24263657722605314,0.2376274784771244,0.09073166766530966,0.23774354306193707,0.3569699339619569,0.001151641421152404,0.010256615417868185,0.026386509117632073,0.4199900456803784,0.586357562660419,0.4368261377335464,0.14506546126833994,0.028798146172747875,0.12208051222442036,0.0613337795066524,0.059533089413186684,0.2534869351927621,0.018945122828188596,0.5544497471280375,0.33934784780294036,7888609052210118e-44,10366125332669858e-45,1232595164407831e-45,0.2385778904734428,0.35230728767923875,0.3213584672078483,0.6873176835061351,0.14801262757105024,0.5041569247977686,0.18627684154164653,0.26601457127418027,0.22170523638144815,-0.08865405513460822,-0.05011634238806061,-0.0014130518419542056,0.0010609735487873422,0.015900445410716415,0.003933024336789438,0.0009078355971995176,-0.08417476314408136,0.017454437961034772,0.023423728954339876,0.02933198095599864,0.002814807800040643,-0.030772684256969107,-0.09205111312282035,-0.000850970310420509,-0.049320231600586434,-0.14593317956306012,3944304526105059e-46,2859620781426168e-44,-357452597678271e-44,-14593926746588719e-46,0.07668507672892742,0.04652018684688896,-0.0015723816389703162,-0.17153952593228242,0.19853465962676553,-0.0006775155576719049,0.03165738887594186,-0.04542854576905475,0.12201317953396132,-0.000599527562930485,0.0030300717818938063,0.002989925526923575,0.0029393911413852884,0.0031441802636024718,-0.05405749912271092,-0.015354554239072915,-0.004724339747960625,-0.05294148425434793,-0.0007292084328978636,-0.0029567217268864406,0.008213435833976936,-0.0004839375267147753,0.01515304299878504,0.04204504028802746,-4180962797671363e-45,13805065841367708e-47,-9860761315262648e-45,4141519752410312e-45,14544622940012406e-47,0.02776359541058987,0.03524320128010503,-0.004546829332050746,-0.3195900282180876,-0.0035077072885765117,0.001955972492761963,0.0025008182680591284
Block PF,block,320,40,3,,,,,,30,1,2018-08-29T13:37:16.723,4,-0.10296765857181467,0.00425766,0.00231161,Base.LinAlg.SingularException,,,,,-0.5840761474134358,0.14323063858560336,0.1638465016533326,1.1012921401419813,1.707466929402738,-0.5276509406222063,-0.02289162635538422,-1.0650133733012437,-0.26925904485055063,0.455041068962958,1.8442819838949078,0.029169507438927322,0.2960494432415257,0.6599017213980717,-0.39852077270795516,-1.252129984211368,0.20108655731826686,-0.05984564302821684,-2.292745707162215,-0.40637710889697165,0.7450252142456204,1.8519286373059876,-0.37407971145322594,-1.3100455680504979,0.459130092129439,0.32324073362057304,-0.3465753780846907,-0.08389957200298404,-0.6783467412366987,0.137653555836116,0.02896128202281505,0.08768440193099312,0.15967498298548052,17662301094171322e-21,0.0014298577571444278,0.002317934466839538,0.5168300611691744,0.6924828245678687,0.694875080615179,0.0059653053801954,0.010871313915375068,0.16725917614290012,0.021960914647149252,0.03317992640757369,0.06388185581460482,0.0004941656466333406,0.010932705060223683,0.0052310826138317595,7888609052210118e-44,10366125332669858e-45,1232595164407831e-45,0.17003044025257097,0.2531987102928371,0.18225965427307533,0.16645537369010188,0.05379471026283192,1.1469138662094533,0.2120334358835847,0.23247522423242606,0.09686462243040515,0.028304037383162662,0.08695773303977668,9876361031035625e-20,-0.00015891689094782107,0.0018205264562655794,-0.0019434396907058494,0.007887666110478673,-0.0019139794682938166,-0.007168578445803795,-0.007540275725015016,-0.013939378185464738,-0.0027159183323408964,-0.024536817497802888,-0.041134262974233206,-0.0002472127170550682,-0.0023243423296788754,-0.007562399312565174,-18488927466117464e-47,2859620781426168e-44,-357452597678271e-44,-2908924588002481e-46,0.08395553048023045,-0.07284556768856641,0.006883684652132842,-0.04973191923353681,0.1403310901149073,0.02898635114212172,-0.06998831724870123,0.0037887026909858776,0.002927721323777974,13148580303320598e-21,-0.000888627467373628,-0.00020233649317381427,-0.001526394910513029,-0.0012136205428275757,0.037713885237071136,-0.004576456480985633,0.009863325989958678,0.0049776295932114955,0.0002552050564700172,0.003258840373663192,0.026596711001412428,0.00020644809477073819,0.0011627821290304422,0.001607800150036256,-48534667193722756e-45,-12202692127637527e-47,-9860761315262648e-45,5817849176004962e-46,5053640174072107e-46,0.03852422830194746,-0.011211093990383825,-0.0027926112111522146,0.053347242550399236,0.01260214163926448,0.00781403122639284,-0.032093834796899215
Block PF,block,320,40,3,,,,,,30,1,2018-08-29T13:37:16.723,5,0.7383852866669633,0.005748948,0.001317093,Base.LinAlg.SingularException,,,,,0.9788063952674226,-0.23736562661155935,1.1835635161071991,0.9866008161007997,1.55001767745776,-0.4620484566312836,-0.533865300930819,-0.5722534797748225,-0.024152735783839585,0.2886257740338963,1.0107260251927916,0.7547079712884834,-0.1053429110167774,0.5554906152804298,0.09418089023361387,-1.1568966519807073,0.2846654521421006,0.6261187227137687,-2.578005731310371,-0.8388734026012317,0.48796180940615963,1.3736987704958465,-0.4120989665085235,-1.6072871077938022,0.06348882327297867,0.05571862056608001,-0.3876156532781787,-0.5247072081121829,-0.08540303847759301,-0.5052124834829785,0.04808086984371743,0.10410675151737442,0.02244043702157323,5965760595733902e-45,10432685471547881e-44,35622000251386314e-46,0.2904397133824421,0.3205417966210627,0.4946705444513714,0.0015139485931462363,0.0022178619388369706,0.0005878559036364868,0.020955213758018225,0.029716985360329143,0.04723222370216786,23863042382935607e-45,30814879110195774e-45,6933347799794049e-48,7888609052210118e-44,10366125332669858e-45,1232595164407831e-45,0.6254847361983318,0.13570293513764078,0.1840363147156211,31554436208840472e-46,4930380657631324e-47,20830858278492343e-46,0.2520084301224711,0.2256240112568266,0.2246779823713915,-0.06538663046112551,-0.011212806959464817,-12597122580248033e-46,24947726127614498e-45,-19277788371338476e-45,-2465190328815662e-47,0.0429490176238784,0.08018770933255742,0.0014667608429684066,-0.001832410696894886,-0.0011418332777581729,0.00012195374970544855,-0.02248486942802816,-0.03401775403328834,4289431172139252e-46,2711709361697228e-44,4622231866529366e-46,-7395570986446986e-46,2859620781426168e-44,-357452597678271e-44,-6261583435191782e-46,0.03030252046810645,-0.06680786794116762,8283039504820624e-46,-3944304526105059e-46,32047474274603605e-47,9675872040601474e-47,-0.014597638808884547,0.06260858608683709,0.014981256472477273,-11265919802687576e-46,-534206744254354e-44,-4609905914885288e-45,2859620781426168e-46,20756902568627874e-46,0.028218088588586893,0.0006100596145282858,-0.0017752969094256867,0.000943389430873146,-0.0002368792231219674,-0.0001199050812920059,0.02152030662832774,8071033136542478e-45,6212279628615469e-46,4067564042545842e-46,-4930380657631324e-44,-26808944825870323e-47,-9860761315262648e-45,18932661725304286e-46,-24676555191444778e-46,0.24336369493007393,-40330513779424234e-46,-1035379938102578e-46,-25637979419682884e-46,19490411037198827e-48,-13219583138273987e-46,-0.027115659601666987
Block PF,block,320,40,3,,,,,,30,1,2018-08-29T13:37:16.723,6,0.5722107288385876,0.004424069,0.001492746,Base.LinAlg.SingularException,,,,,1.2172116161668811,0.693088555912047,0.8028160097254036,1.5923667349205193,3.1209101853380123,-0.1945405355429508,0.38856071108832013,-0.7065976175667545,-0.3310725675298815,-0.14966410740239466,1.1717975054565115,0.7548755526750279,-0.23262177025125053,0.25587513658641714,0.5558008539577295,-1.3649038254658592,-0.4369920473304063,0.47489868771390426,-2.0308662243817293,-0.893645929989417,1.8991506419149677,1.447239303890101,1.5853186782173574,-1.1371463870271108,-0.032074892745487804,-0.4978109886663248,0.8103602654369488,-0.6175513063269311,0.42464216022014,-0.45433404606162625,0.0027729435777943527,0.00809901014497683,0.0004051338602194146,5965760595733902e-45,10432685471547881e-44,35622000251386314e-46,0.2521453165484993,0.08650733787127514,0.23043644212051728,0.00014208579029527718,0.00020814885510120454,5517094241248577e-20,0.03215635741508944,0.030411770280431696,0.0600681991401068,23863042382935607e-45,30814879110195774e-45,6933347799794049e-48,7888609052210118e-44,10366125332669858e-45,1232595164407831e-45,0.23066668845140548,0.05296833045009058,0.10659176095822719,31554436208840472e-46,4930380657631324e-47,20830858278492343e-46,0.23250347375044794,0.20095896982444716,0.1926767253915288,-0.004699820549775728,-0.0017647758590135752,-4057395132439478e-45,24947726127614498e-45,-19277788371338476e-45,-1371570269194814e-45,0.06784835693090444,-0.02802806345805331,-0.00016154157418723253,-0.00017197381944968182,-0.00010716234645626864,6829412215528962e-20,-0.02335090347416147,-0.034191535623891316,-189511506527704e-45,2711709361697228e-44,4622231866529366e-46,-7395570986446986e-46,2859620781426168e-44,-357452597678271e-44,5282902874651964e-45,0.00886298015463712,0.0023151779603832498,-5275507303665517e-46,-3944304526105059e-46,32047474274603605e-47,-8381647117973251e-47,-0.00509131665365959,0.05502584330105459,0.000993431606593542,-1596210737908141e-45,-16965439842909386e-45,-4609905914885288e-45,7168773476195945e-45,17083768978692536e-46,0.11922523091460929,-9401557875665961e-20,0.00019552216625715564,8853816665152537e-20,-0.00013265240830244795,-7552496465227296e-20,0.010333754364033115,10861012291179604e-45,-61937907011493505e-47,4067564042545842e-46,-4930380657631324e-44,-26808944825870323e-47,-9860761315262648e-45,-15407439555097887e-45,-1195617309475596e-45,0.12722996441566783,-2006664927655949e-45,6594384129581896e-47,-25637979419682884e-46,-12017802852976353e-48,28571555910973523e-46,-0.04785738779705223
Block PF,block,320,40,3,,,,,,30,1,2018-08-29T13:37:16.723,7,0.31534109547839956,0.0136464,0.001134969,Base.LinAlg.SingularException,,,,,1.2416911946667502,0.9942151218117812,0.8504634241258133,1.5460970184324974,2.5085278131830653,0.24592650643636418,-0.03895385820938102,-0.4988301307598187,-0.9942586645434757,-0.25732791074251893,1.6444561077537612,0.9527949358508158,0.8788597754498533,0.17328180367450985,-0.24776762223802207,-1.4036296795469632,-0.8799288299401989,0.33388876600616246,-3.647642680516153,-0.6334959766938848,1.8206983624453124,1.7042527994519658,1.7648203516700816,-0.35715893571705415,-0.9318483197740935,-0.6811643480713521,0.6005249548890842,-0.3558968081872932,-0.5053359532238,-0.17139328057288136,4254379247151404e-46,37286003723336886e-47,2961309882489814e-45,5965760595733902e-45,10432685471547881e-44,35622000251386314e-46,0.030698628263820915,0.061990276022101,0.0646462304303232,0.00014208579029527664,0.0002081488551012036,55170942412486064e-21,0.022615446108204675,0.029311187291416543,0.04238778816037031,23863042382935607e-45,30814879110195774e-45,6933347799794049e-48,7888609052210118e-44,10366125332669858e-45,1232595164407831e-45,0.228295028338908,0.058126823048898726,0.1168872368196507,31554436208840472e-46,4930380657631324e-47,20830858278492343e-46,0.26787430354036784,0.16207789048769716,0.17378141621824203,-3982823124992804e-46,10507873776576759e-46,-42031495106307035e-46,24947726127614498e-45,-19277788371338476e-45,-6058975605042244e-46,0.037357214885044926,-0.03574513956007457,0.000264918088361698,-0.00017197381944968084,-0.00010716234645626773,46042727315290673e-21,-0.02279415062273371,-0.031727321286216185,-1866149078913456e-45,2711709361697228e-44,4622231866529366e-46,-7395570986446986e-46,2859620781426168e-44,-357452597678271e-44,3273772756667199e-45,-0.07182049580068353,-0.034745124711671106,-3287947601057889e-46,-3944304526105059e-46,32047474274603605e-47,25637979419682885e-47,-0.0034762496504526785,0.04701624978291386,-1122431971588881e-45,-14914401489334754e-46,-1757680704445567e-44,-4609905914885288e-45,3304587635777395e-45,-269630192214213e-46,-0.01586757807155329,-5464703002649276e-20,-0.00032064413620947656,8853816665152573e-20,-8943198141266631e-20,-5581157402529056e-20,0.019210817534311753,2196823546644967e-44,-21422503957408103e-46,4067564042545842e-46,-4930380657631324e-44,-26808944825870323e-47,-9860761315262648e-45,-9555077714489506e-45,8206002307045135e-46,0.11652652535203499,12566307701137837e-46,41099345013223614e-48,-25637979419682884e-46,3451266460341927e-47,-2553937180653026e-45,-0.04256663101282592
Block PF,block,320,40,3,,,,,,30,1,2018-08-29T13:37:16.723,8,0.8593211287058794,0.007610923,0.001475671,Base.LinAlg.SingularException,,,,,-0.3102831779567522,1.0638085254680716,1.3668578666232276,1.7233947821979976,3.1048991088655473,0.3586589870698725,-0.37976203093515687,-0.7267772248865741,-1.1516217526503942,-0.5695973829144167,3.5951986418382766,1.2672625224770386,0.48432085837875416,0.48686341156732615,-0.3857287763686373,-1.5856838254610561,-2.5944297769440885,-0.1789042834697974,-2.855044229424017,-1.4295614664318084,2.57632392759102,1.6048564646399557,1.2501721837165127,-0.2679102776893324,-1.646586015949528,-0.9191370686454156,-0.40015434046847465,-0.4436191944376648,-0.5226490876268213,-0.38721272482080965,4254379247151404e-46,37286003723336886e-47,2961309882489814e-45,5965760595733902e-45,10432685471547881e-44,35622000251386314e-46,0.015012433339755311,0.03569317743621251,0.05706751390440035,48148248609680896e-49,44373425918681914e-45,9663546088957395e-45,0.020645432340823056,0.0297772885984392,0.04091638725130934,23863042382935607e-45,30814879110195774e-45,6933347799794049e-48,7888609052210118e-44,10366125332669858e-45,1232595164407831e-45,0.305329179849732,0.08591563279411135,0.10744960983204561,31554436208840472e-46,4930380657631324e-47,20830858278492343e-46,0.14208248934070644,0.041304980464730356,0.17516280924870944,-3982823124992804e-46,10507873776576759e-46,-42031495106307035e-46,24947726127614498e-45,-19277788371338476e-45,-962348674611414e-45,0.011430217734002896,-0.02918685678275315,4529787229198779e-47,-4622231866529366e-46,-2070759876205156e-44,6425518592058024e-45,-0.022949860311264156,-0.03246523812458746,-26426840324903896e-46,2711709361697228e-44,4622231866529366e-46,-7395570986446986e-46,2859620781426168e-44,-357452597678271e-44,1582652191099655e-45,-0.15638866339633573,-0.0698461237371627,-16023737137301802e-46,-3944304526105059e-46,32047474274603605e-47,-9737501798821865e-47,0.012796255885637512,0.039889696466823235,-1122431971588881e-45,-14914401489334754e-46,-1757680704445567e-44,-4609905914885288e-45,52755073036655164e-46,-22420906040578446e-46,0.0009245920552266916,8439425016304868e-47,-44176210692376665e-46,2157041537713704e-46,-13475962932470815e-45,-13685504110420146e-45,0.02176756871117296,2129924444096732e-44,-25983106065717078e-46,4067564042545842e-46,-4930380657631324e-44,-26808944825870323e-47,-9860761315262648e-45,-4851494567109223e-45,23665827156630354e-46,0.11633154441773451,3811184248349014e-45,20029671421627253e-47,-25637979419682884e-46,-20029671421627253e-48,-44009810345181605e-46,-0.011575789667074371
Block PF,block,320,40,3,,,,,,30,1,2018-08-29T13:37:16.723,9,1.0037488591958545,0.003839644,0.001039741,Base.LinAlg.SingularException,,,,,-0.15523803803000474,0.5716174672492902,1.2190370638819348,1.926521161067937,2.8415104781589733,0.06002810226006883,0.6257062408801387,-0.8499255881116008,-0.08011909832245956,-0.407686221571889,2.3829765601591304,2.02290467386473,1.0122369399170361,0.9076495557981614,0.4206998843547309,-1.17996591797039,-2.4926609986362718,-0.5010805968655324,-1.8346611925020118,-1.1562847267929606,0.4461933389612187,1.817020763542863,1.7940465452579257,-0.5854652227098318,-1.4138979506598837,-1.7753811891372784,-1.0059700225197827,-0.7708111724708464,0.5908775772577816,-0.43799976633166804,4254379247151404e-46,37286003723336886e-47,2961309882489814e-45,5965760595733902e-45,10432685471547881e-44,35622000251386314e-46,0.009083473247905033,0.02053534212198678,0.032683181341481606,48148248609680896e-49,44373425918681914e-45,9663546088957395e-45,0.02150554732687049,0.03152110640066937,0.04674317364971639,23863042382935607e-45,30814879110195774e-45,6933347799794049e-48,7888609052210118e-44,10366125332669858e-45,1232595164407831e-45,0.32014988381253034,0.09732323504049814,0.09237104861934048,31554436208840472e-46,4930380657631324e-47,20830858278492343e-46,0.09243235028392555,0.03917616967896956,0.15039036664904037,-3982823124992804e-46,10507873776576759e-46,-42031495106307035e-46,24947726127614498e-45,-19277788371338476e-45,-7407896938091064e-46,0.0097181456695694,-0.012854714787003084,6617495288914543e-47,-4622231866529366e-46,-2070759876205156e-44,4528554634034371e-45,-0.02417194338179292,-0.03534509901555181,-6551243298827622e-46,2711709361697228e-44,4622231866529366e-46,-7395570986446986e-46,2859620781426168e-44,-357452597678271e-44,2383839047964745e-45,-0.1757499971964987,-0.0866508149356212,-13583198711774297e-46,-3944304526105059e-46,32047474274603605e-47,-3993608332681372e-46,4776043564008147e-20,0.03408400797732415,-1122431971588881e-45,-14914401489334754e-46,-1757680704445567e-44,-4609905914885288e-45,3885139958213484e-45,-2669801126107362e-45,-0.0036743203578293534,9876168754817747e-47,-59115264084999575e-46,2157041537713704e-46,-9659848303464172e-45,-10396632062988952e-45,0.02397383263908745,16330653333239353e-45,-8511069610236072e-46,4067564042545842e-46,-4930380657631324e-44,-26808944825870323e-47,-9860761315262648e-45,-6271444196507044e-45,2383839047964745e-45,0.14997929220676096,37224373965116495e-46,16978998389717872e-47,-25637979419682884e-46,-7919423931320315e-47,-8731704144665076e-45,-0.033419460508103356
Block PF,block,320,40,3,,,,,,30,1,2018-08-29T13:37:16.723,10,0.7084419007269529,0.004906419,0.001160488,Base.LinAlg.SingularException,,,,,-1.0677983695378206,0.538538551243227,1.447430606419443,2.237714626689554,1.5842376967059082,0.3386362445214446,-0.5279886036251509,-0.6054613863761802,0.21629232814534965,-0.1654701098202141,0.846477732204,2.045122130763478,1.7389693842259717,0.9696010907062949,0.3672239151953127,-1.1902559517977234,-2.358103540929257,-0.6489835221908694,-1.4940139583278453,-0.7457158967757745,-0.8778427831664242,1.4058101216855596,1.010003720386532,-0.5160702978482674,-1.632958171712591,-2.171794518191283,-0.3043926672981121,-0.97576573271998,0.4225415043748657,-0.08379656212048547,4254379247151404e-46,37286003723336886e-47,2961309882489814e-45,5965760595733902e-45,10432685471547881e-44,35622000251386314e-46,0.0004896396613361529,0.0013793126618207089,0.02684194025150463,48148248609680896e-49,44373425918681914e-45,9663546088957395e-45,0.016042609863466603,0.026769643994741812,0.054252435870410044,23863042382935607e-45,30814879110195774e-45,6933347799794049e-48,7888609052210118e-44,10366125332669858e-45,1232595164407831e-45,0.20336972065269762,0.06351341221914378,0.058970587815285906,31554436208840472e-46,4930380657631324e-47,20830858278492343e-46,0.06099691936598648,0.025196042379754924,0.12314556013955191,-3982823124992804e-46,10507873776576759e-46,-42031495106307035e-46,24947726127614498e-45,-19277788371338476e-45,-5429581699216496e-46,-0.0005955232984845969,-0.001804770320216222,8150535524646783e-47,-4622231866529366e-46,-2070759876205156e-44,9002875080834798e-45,-0.020684149096392324,-0.033483993438733935,-28349688781380112e-46,2711709361697228e-44,4622231866529366e-46,-7395570986446986e-46,2859620781426168e-44,-357452597678271e-44,3742158919142175e-45,-0.11347756945458859,-0.05940036056225371,-5842501079293119e-46,-3944304526105059e-46,32047474274603605e-47,-4289431172139252e-46,-0.0009326153568627156,0.027263432341771938,-1122431971588881e-45,-14914401489334754e-46,-1757680704445567e-44,-4609905914885288e-45,294651874051692e-44,-24060257609240862e-46,-0.0016066186098811664,8811129495571604e-47,-8509837015071666e-45,2157041537713704e-46,-1917918075818585e-44,-1757680704445567e-44,0.026737595321338167,27659435489311726e-45,-35202917895487655e-46,4067564042545842e-46,-4930380657631324e-44,-26808944825870323e-47,-9860761315262648e-45,-10906002014680489e-45,1225199593421384e-45,0.1046702973174722,18784750305575344e-46,7303126349116399e-47,-25637979419682884e-46,-5115269932292499e-47,-8236200888573127e-45,-0.03658676764952413
